num clonetime	clonespace	writetime	writespace	greptime
1   0.137849	96	0.690130	288	2.036
2   0.154293	160	0.693931	320	2.272
3   0.166925	128	0.714984	288	2.262
4   0.176945	192	0.760077	288	2.189
5   0.205777	224	0.787153	256	2.311
6   0.223067	256	0.801813	256	2.279
7   0.248419	224	0.818580	320	2.345
8   0.272922	288	0.708437	256	2.541
9   0.208513	320	0.756655	256	2.330
10  0.242925	352	0.736922	320	2.294
11  0.284275	320	0.768829	320	2.404
12  0.321108	352	0.742966	288	2.783
13  0.315243	384	0.765446	288	2.595
14  0.323198	480	0.843209	256	2.717
15  0.322538	480	0.813802	288	2.842
16  0.315137	576	0.223954	256	3.200
