num clonetime	clonespace	writetime	writespace	greptime
1   0.143237	1	0.713753	256	4.430
2   0.211784	1	0.819029	256	4.693
3   0.252729	128	0.793263	256	5.437
4   0.213656	1	0.831650	256	5.737
5   0.210753	1	0.835729	256	6.295
6   0.239271	32	0.857672	256	7.127
7   0.288033	96	0.882867	256	5.292
8   0.307820	1	2.292014	256	4.553
9   0.277491	32	0.763278	256	6.355
10  0.410191	96	0.833407	256	6.823
11  0.348771	1	0.854545	512	9.523
12  0.951929	256	1.436124	256	9.543
13  0.888543	288	1.623651	256	10.058
14  0.916794	352	1.147287	256	11.100
15  0.946663	256	1.256402	256	11.064
16  0.910789	288	0.783155	256	11.873
