fs, dir.op, time.s
ext4, grep, 68.622
ext4, grep, 68.735
ext4, grep, 68.423
ext4, grep, 68.654
ext4, grep, 68.171

ext4, find, 6.399
ext4, find, 6.437
ext4, find, 6.422
ext4, find, 6.360
ext4, find, 6.302

ext4, rm.rf, 12.748
ext4, rm.rf, 12.718
ext4, rm.rf, 10.658
ext4, rm.rf, 11.173
ext4, rm.rf, 11.119

btrfs, grep, 137.953
btrfs, grep, 138.529
btrfs, grep, 139.311
btrfs, grep, 139.856
btrfs, grep, 138.287

btrfs, find, 2.635
btrfs, find, 2.818
btrfs, find, 2.662
btrfs, find, 2.802
btrfs, find, 2.460

btrfs, rm.rf, 5.330
btrfs, rm.rf, 6.040
btrfs, rm.rf, 5.327
btrfs, rm.rf, 5.484
btrfs, rm.rf, 6.317

xfs, grep, 134.364
xfs, grep, 135.705
xfs, grep, 134.152
xfs, grep, 134.345
xfs, grep, 134.036

xfs, find, 15.459
xfs, find, 15.552
xfs, find, 15.666
xfs, find, 15.361
xfs, find, 15.499

xfs, rm.rf, 26.257
xfs, rm.rf, 26.828
xfs, rm.rf, 26.998
xfs, rm.rf, 28.691
xfs, rm.rf, 26.330

zfs, grep, 432.274
zfs, grep, 445.336
zfs, grep, 468.098
zfs, grep, 473.775
zfs, grep, 444.393

zfs, find, 11.588
zfs, find, 9.728
zfs, find, 9.613
zfs, find, 9.793
zfs, find, 10.371

zfs, rm.rf, 10.041
zfs, rm.rf, 10.941
zfs, rm.rf, 11.286
zfs, rm.rf, 10.194
zfs, rm.rf, 9.442

nilfs2, grep, 9.943
nilfs2, grep, 14.487
nilfs2, grep, 20.239
nilfs2, grep, 20.474
nilfs2, grep, 23.759

nilfs2, find, 7.467
nilfs2, find, 7.223
nilfs2, find, 7.528
nilfs2, find, 7.962
nilfs2, find, 8.215

nilfs2, rm.rf, 10.537
nilfs2, rm.rf, 10.150
nilfs2, rm.rf, 10.200
nilfs2, rm.rf, 11.039
nilfs2, rm.rf, 12.708

betrfs3, grep, 7.074
betrfs3, grep, 7.005
betrfs3, grep, 7.217
betrfs3, grep, 7.148
betrfs3, grep, 7.189

betrfs3, find, 0.382
betrfs3, find, 0.391
betrfs3, find, 0.392
betrfs3, find, 0.387
betrfs3, find, 0.399

betrfs3, rm.rf, 14.266
betrfs3, rm.rf, 14.743
betrfs3, rm.rf, 14.758
betrfs3, rm.rf, 14.967
betrfs3, rm.rf, 14.953

betrfs4, grep, 4.957
betrfs4, grep, 4.687
betrfs4, grep, 4.787
betrfs4, grep, 5.034
betrfs4, grep, 5.089

betrfs4, find, 0.319
betrfs4, find, 0.319
betrfs4, find, 0.324
betrfs4, find, 0.313
betrfs4, find, 0.302

betrfs4, rm.rf, 36.094
betrfs4, rm.rf, 34.163
betrfs4, rm.rf, 37.234
betrfs4, rm.rf, 35.576
betrfs4, rm.rf, 35.235

betrfs5, grep, 4.527
betrfs5, grep, 4.452
betrfs5, grep, 4.772
betrfs5, grep, 4.544
betrfs5, grep, 4.508

betrfs5, find, 0.392
betrfs5, find, 0.358
betrfs5, find, 0.349
betrfs5, find, 0.356
betrfs5, find, 0.360

betrfs5, rm.rf, 2.630
betrfs5, rm.rf, 2.565
betrfs5, rm.rf, 2.644
betrfs5, rm.rf, 2.791
betrfs5, rm.rf, 2.689

