fs,time.s,throughput.fps
ext4,1.782462,56.102178
ext4,1.835552,54.479524
ext4,1.847553,54.125646
ext4,1.770549,56.479657
ext4,1.795931,55.681427

xfs,2.694155,37.117389
xfs,2.835212,35.270731
xfs,2.875743,34.773622
xfs,2.782176,35.943089
xfs,2.872358,34.814602

xfs,0.906810,110.276684
xfs,0.906147,110.357370
xfs,0.905611,110.422687
xfs,0.877561,113.952192
xfs,0.882449,113.320996

zfs,0.938628,106.538480
zfs,1.040703,96.088894
zfs,0.981931,101.840150
zfs,0.947190,105.575439
zfs,1.022699,97.780481

nilfs2,1.044557,95.734364
nilfs2,1.048081,95.412473
nilfs2,1.062232,94.141393
nilfs2,1.020117,98.027971
nilfs2,1.015332,98.489952

betrfs3,1.459740,68.505350
betrfs3,1.467666,68.135393
betrfs3,1.653986,60.460004
betrfs3,1.592492,62.794664
betrfs3,1.460133,68.486912

