fs,time.s,throughput.fps
ext4,1.930602,51.797315
ext4,1.931656,51.769052
ext4,1.941156,51.515695
ext4,1.960247,51.013979
ext4,1.769855,56.501804

btrfs,3.117180,32.080278
btrfs,2.856747,35.00485
btrfs,2.979812,33.559164
btrfs,2.807216,35.622481
btrfs,3.188202,31.365641

xfs,0.958911,104.284965
xfs,0.913648,109.451342
xfs,0.908579,110.061976
xfs,0.903985,110.621305
xfs,0.915995,109.170902

zfs,1.134547,88.140906
zfs,1.101859,90.755714
zfs,1.210088,82.638618
zfs,1.160135,86.196865
zfs,1.170788,85.41256

nilfs2, 1.409685, 70.937834
nilfs2, 1.412925, 70.775165
nilfs2, 1.292177, 77.388779
nilfs2, 1.290536, 77.487184
nilfs2, 1.261512, 79.269955

betrfs3, 1.442272, 69.335049
betrfs3, 1.470517, 68.003294
betrfs3, 1.462158, 68.392062
betrfs3, 1.579142, 63.325527
betrfs3, 1.591718, 62.825199

betrfs4, 1.950518, 51.268432
betrfs4, 2.020700, 49.487801
betrfs4, 1.883082, 53.104432
betrfs4, 1.801957, 55.495220
betrfs4, 1.785827, 55.996466

betrfs5, 1.890123, 52.906610
betrfs5, 2.201658, 45.420315
betrfs5, 2.257469, 44.297397
betrfs5, 1.973990, 50.658818
betrfs5, 2.150406, 46.502846
