fs,  size.MB, time.s, throughput.fps
ext4,12,1.723003,58.038204
ext4,13,1.781761,56.12425
ext4,14,1.747949,57.209907
ext4,15,1.782986,56.08569
ext4,16,1.846433,54.158477
ext4,17,1.74473,57.315459
ext4,18,1.871211,53.441328
ext4,19,1.820146,54.940648
ext4,20,1.722016,58.07147
ext4,21,1.832583,54.567788
ext4,22,1.726171,57.931688
ext4,23,1.724124,58.000469
ext4,24,1.717374,58.228435
ext4,25,1.779566,56.193476
ext4,26,1.744462,57.324264

btrfs,12,3.690005,27.100234
btrfs,13,3.900392,25.638449
btrfs,14,3.992291,25.048274
btrfs,15,3.901979,25.628021
btrfs,16,4.054111,24.66632
btrfs,17,3.763409,26.571654
btrfs,18,3.819473,26.181622
btrfs,19,3.853893,25.947788
btrfs,20,3.913113,25.555102
btrfs,21,3.774431,26.49406
btrfs,22,3.89081,25.701589
btrfs,23,3.620398,27.621273
btrfs,24,3.970254,25.187305
btrfs,25,3.480966,28.727658
btrfs,26,3.826424,26.134061

xfs,12,0.988586,101.154578
xfs,13,0.907935,110.140043
xfs,14,0.9026599,110.783696
xfs,15,0.946298,105.674957
xfs,16,0.91443,109.357742
xfs,17,0.935083,106.942378
xfs,18,0.955227,104.687158
xfs,19,0.916544,109.105509
xfs,20,0.938831,106.515443
xfs,21,0.93858,106.543928
xfs,22,0.94041,106.336598
xfs,23,0.930217,107.501798
xfs,24,0.885194,112.969586
xfs,25,0.892253,112.075835
xfs,26,0.902225,110.837097

zfs,12,1.003666,99.634739
zfs,13,1.003303,99.670787
zfs,14,1.009836,99.025980
zfs,15,1.02908,97.174175
zfs,16,0.994794,100.523324
zfs,17,1.038889,96.256674
zfs,18,1.086584,92.031541
zfs,19,1.360756,73.488561
zfs,20,1.063774,94.004930
zfs,21,1.010136,98.996571
zfs,22,1.008902,99.117655
zfs,23,1.042502,95.923077
zfs,24,1.123502,89.007407
zfs,25,1.256318,79.597681
zfs,26,1.56698,63.817024
