fs, op, time.s
ext4, clone, 46.949
ext4, clone, 45.218
ext4, clone, 47.945
ext4, clone, 51.299
ext4, clone, 52.344

ext4, diff, 81.473
ext4, diff, 82.539
ext4, diff, 87.376
ext4, diff, 85.639
ext4, diff, 86.943

btrfs, clone, 132.218
btrfs, clone, 120.606
btrfs, clone, 125.329
btrfs, clone, 123.545
btrfs, clone, 120.003

btrfs, diff, 117.177
btrfs, diff, 116.274
btrfs, diff, 114.673
btrfs, diff, 116.296
btrfs, diff, 113.283

xfs, clone, 101.731
xfs, clone, 103.463
xfs, clone, 103.796
xfs, clone, 102.638
xfs, clone, 101.960

xfs, diff, 186.992
xfs, diff, 208.173
xfs, diff, 201.836
xfs, diff, 206.079
xfs, diff, 201.712

zfs, clone, 49.103
zfs, clone, 48.874
zfs, clone, 49.923
zfs, clone, 50.433
zfs, clone, 50.932

zfs, diff, 68.309
zfs, diff, 68.299
zfs, diff, 68.214
zfs, diff, 67.348
zfs, diff, 67.035

nilfs2, clone, 67.620
nilfs2, clone, 61.304
nilfs2, clone, 61.902
nilfs2, clone, 63.674
nilfs2, clone, 69.194

nilfs2, diff, 81.911
nilfs2, diff, 80.115
nilfs2, diff, 75.121
nilfs2, diff, 93.446
nilfs2, diff, 113.108

betrfs3, clone, 43.649
betrfs3, clone, 46.785
betrfs3, clone, 43.778
betrfs3, clone, 46.601
betrfs3, clone, 45.956

betrfs3, diff, 43.537
betrfs3, diff, 44.415
betrfs3, diff, 43.749
betrfs3, diff, 43.823
betrfs3, diff, 44.113

betrfs4, clone, 48.105
betrfs4, clone, 49.755
betrfs4, clone, 46.705
betrfs4, clone, 50.919
betrfs4, clone, 48.360

betrfs4, diff, 44.326
betrfs4, diff, 44.401
betrfs4, diff, 44.579
betrfs4, diff, 44.887
betrfs4, diff, 44.078

betrfs5, clone, 45.029
betrfs5, clone, 45.306
betrfs5, clone, 45.170
betrfs5, clone, 45.955
betrfs5, clone, 46.212

betrfs5, diff, 37.459
betrfs5, diff, 37.474
betrfs5, diff, 37.397
betrfs5, diff, 37.649
betrfs5, diff, 37.426

