fs, time.s, throughput.ops
ext4,36.217496,110.443858
ext4,34.67514,115.356420
ext4,35.883154,111.472921
ext4,36.676014,109.063106
ext4,35.112333,113.920086
,,
btrfs,84.857217,47.138006
btrfs,90.229203,44.331545
btrfs,118.445106,33.770918
btrfs,104.749737,38.186253
btrfs,105.605016,37.876989
,,
xfs,65.385181,61.175941
xfs,82.71023,48.361611
xfs,72.979647,54.809802
xfs,73.286234,54.58051
xfs,74.708205,53.541642
,,
zfs,32.969436,121.32449
zfs,32.215118,124.165306
zfs,33.499984,119.403042
zfs,33.500662,119.400626
zfs,33.87782,118.071352
,,
nilfs2,20.670008,193.5171
nilfs2,20.182885,198.187722
nilfs2,19.347526,206.74478
nilfs2,19.717087,202.869724
nilfs2,19.109079,209.324583
,,
betrfs4,24.493843,163.306346
betrfs4,25.014412,159.907816
betrfs4,25.479985,156.985964
betrfs4,25.041648,159.733896
betrfs4,26.443974,151.263195
,,
betrfs5,25.600164,156.248999
betrfs5,25.546998,156.57417
betrfs5,25.830234,154.857289
betrfs5,26.923477,148.569221
betrfs5,25.042594,159.727862
