fs, time.s, throughput.ops
ext4, 70.165895, 57.007753
ext4, 70.246584, 56.942271
ext4, 73.263356, 54.597554
ext4, 81.323668, 49.186173
ext4, 79.115717, 50.558854

btrfs, 198.822019, 20.118496
btrfs, 184.432564, 21.688144
btrfs, 183.103159, 21.845609
btrfs, 198.479936, 20.153171
btrfs, 215.192620, 18.587998

xfs, 96.5632230, 41.423638
xfs, 106.424404, 37.585364
xfs, 124.852342, 32.037845
xfs, 172.902451, 23.134432
xfs, 160.739611, 24.884968

zfs, 41.030754, 97.487850
zfs, 46.121060, 86.728276
zfs, 44.199213, 90.499349
zfs, 45.531354, 87.851550
zfs, 41.689629, 95.947124

nilfs2,  99.226437, 40.311837
nilfs2, 100.858796, 39.659407
nilfs2, 116.537446, 34.323731
nilfs2, 163.490613, 24.466236
nilfs2, 203.783187, 19.628705

betrfs3, 30.182208, 132.528409
betrfs3, 33.316213, 120.061665
betrfs3, 30.797770, 129.879533
betrfs3, 33.424645, 119.672176
betrfs3, 32.291632, 123.871101

betrfs4, 36.773851, 108.772943
betrfs4, 39.686543, 100.789832
betrfs4, 36.495182, 109.603509
betrfs4, 33.951447, 117.815303
betrfs4, 36.225001, 110.420977

betrfs5, 44.163155,  90.573239
betrfs5, 45.876963,  87.189730
betrfs5, 39.298094, 101.786107
betrfs5, 40.686474,  98.312771
betrfs5, 39.030759, 102.483275

