fs, in.place, throughput.MBps
ext4, yes, 15.78
ext4, yes, 15.99
ext4, yes, 13.38
ext4, yes, 13.90
ext4, yes, 13.70

ext4, no, 14.79
ext4, no, 14.95
ext4, no, 14.69
ext4, no, 13.26
ext4, no, 15.08

btrfs, yes, 2.90
btrfs, yes, 2.91
btrfs, yes, 2.90
btrfs, yes, 3.04
btrfs, yes, 3.07

btrfs, no, 3.22
btrfs, no, 3.21
btrfs, no, 3.21
btrfs, no, 3.22
btrfs, no, 3.21

xfs, yes, 1.68
xfs, yes, 1.67
xfs, yes, 1.63
xfs, yes, 1.56
xfs, yes, 1.48

xfs, no, 1.44
xfs, no, 1.50
xfs, no, 1.41
xfs, no, 1.59
xfs, no, 1.59

zfs, yes, 21.54
zfs, yes, 21.29
zfs, yes, 21.42
zfs, yes, 30.41
zfs, yes, 23.74

zfs, no, 24.30
zfs, no, 21.67
zfs, no, 29.01
zfs, no, 24.23
zfs, no, 21.68

nilfs2, yes, 6.91
nilfs2, yes, 10.70
nilfs2, yes, 3.95
nilfs2, yes, 4.38
nilfs2, yes, 4.35

nilfs2, no, 10.70
nilfs2, no, 11.21
nilfs2, no, 4.99
nilfs2, no, 5.64
nilfs2, no, 8.87

betrfs3, yes, 48.20
betrfs3, yes, 48.86
betrfs3, yes, 46.15
betrfs3, yes, 43.73
betrfs3, yes, 44.94

betrfs3, no, 38.56
betrfs3, no, 40.03
betrfs3, no, 42.82
betrfs3, no, 39.95
betrfs3, no, 39.86

betrfs4, yes, 44.97
betrfs4, yes, 44.10
betrfs4, yes, 44.37
betrfs4, yes, 44.36
betrfs4, yes, 41.67

betrfs4, no, 40.08
betrfs4, no, 40.12
betrfs4, no, 37.97
betrfs4, no, 38.63
betrfs4, no, 35.78

betrfs5, yes, 45.00
betrfs5, yes, 46.64
betrfs5, yes, 49.03
betrfs5, yes, 49.05
betrfs5, yes, 51.78

betrfs5, no, 39.45
betrfs5, no, 38.91
betrfs5, no, 36.63
betrfs5, no, 39.42
betrfs5, no, 38.57

