fs, op, size.MB, time.s, throughput.MBps
ext4, seq.write, 10737.418240, 86.427263, 124.236471
ext4, seq.write, 10737.418240, 87.912297, 122.137841
ext4, seq.write, 10737.418240, 87.689275, 122.448478
ext4, seq.write, 10737.418240, 87.751265, 122.361977
ext4, seq.write, 10737.418240, 88.329876, 121.560436

ext4, seq.read, 10737.418240, 78.1916, 137.321889
ext4, seq.read, 10737.418240, 78.2108, 137.288178
ext4, seq.read, 10737.418240, 78.3838, 136.985171
ext4, seq.read, 10737.418240, 78.5600, 136.677931
ext4, seq.read, 10737.418240, 78.4069, 136.944813

ext4, rand.write, 1.048576, 2800.561274, 0.000374
ext4, rand.write, 1.048576, 2807.924736, 0.000373
ext4, rand.write, 1.048576, 2809.753186, 0.000373
ext4, rand.write, 1.048576, 2808.330583, 0.000373
ext4, rand.write, 1.048576, 2820.505341, 0.000372

btrfs, seq.write, 10737.418240, 84.307362, 127.360387
btrfs, seq.write, 10737.418240, 83.918655, 127.950315
btrfs, seq.write, 10737.418240, 84.408815, 127.207309
btrfs, seq.write, 10737.418240, 84.856009, 126.536923
btrfs, seq.write, 10737.418240, 84.731828, 126.722373

btrfs, seq.read, 10737.418240, 78.4640, 136.845155
btrfs, seq.read, 10737.418240, 78.4361, 136.893831
btrfs, seq.read, 10737.418240, 78.4211, 136.920016
btrfs, seq.read, 10737.418240, 78.4572, 136.857016
btrfs, seq.read, 10737.418240, 78.4826, 136.812723

btrfs, rand.write, 1.048576, 2063.179766, 0.000508
btrfs, rand.write, 1.048576, 2078.566152, 0.000504
btrfs, rand.write, 1.048576, 2059.935961, 0.000509
btrfs, rand.write, 1.048576, 2055.776672, 0.000510
btrfs, rand.write, 1.048576, 2069.060282, 0.000507

xfs, seq.write, 10737.418240, 88.594664, 121.197121
xfs, seq.write, 10737.418240, 85.257451, 125.941112
xfs, seq.write, 10737.418240, 85.202913, 126.021727
xfs, seq.write, 10737.418240, 86.121208, 124.677980
xfs, seq.write, 10737.418240, 85.405270, 125.723134

xfs, seq.read, 10737.418240, 78.6790, 136.471208
xfs, seq.read, 10737.418240, 78.0263, 137.612808
xfs, seq.read, 10737.418240, 78.1078, 137.469219
xfs, seq.read, 10737.418240, 78.2560, 137.208882
xfs, seq.read, 10737.418240, 78.0471, 137.576133

xfs, rand.write, 1.048576, 2942.239371, 0.000356
xfs, rand.write, 1.048576, 2866.049633, 0.000366
xfs, rand.write, 1.048576, 2882.579562, 0.000364
xfs, rand.write, 1.048576, 2879.384232, 0.000364
xfs, rand.write, 1.048576, 2871.717520, 0.000365

zfs, seq.write, 10737.418240, 117.169853, 91.639769
zfs, seq.write, 10737.418240, 112.269202, 95.639927
zfs, seq.write, 10737.418240, 118.580286, 90.549775
zfs, seq.write, 10737.418240, 111.717705, 96.112055
zfs, seq.write, 10737.418240, 116.567146, 92.113590

zfs, seq.read, 10737.418240, 89.0465, 120.582148
zfs, seq.read, 10737.418240, 89.7456, 119.642838
zfs, seq.read, 10737.418240, 89.2173, 120.351302
zfs, seq.read, 10737.418240, 89.1075, 120.499601
zfs, seq.read, 10737.418240, 90.8614, 118.173595

zfs, rand.write, 1.048576, 2808.041473, 0.000373
zfs, rand.write, 1.048576, 2925.577729, 0.000358
zfs, rand.write, 1.048576, 2893.878361, 0.000362
zfs, rand.write, 1.048576, 2853.418250, 0.000367
zfs, rand.write, 1.048576, 2926.177716, 0.000358

nilfs2, seq.write, 10737.418240, 91.107800, 117.853995
nilfs2, seq.write, 10737.418240, 90.742421, 118.328540
nilfs2, seq.write, 10737.418240, 91.042558, 117.938451
nilfs2, seq.write, 10737.418240, 90.677896, 118.412741
nilfs2, seq.write, 10737.418240, 90.624198, 118.482906

nilfs2, seq.read, 10737.418240, 94.4527, 113.680374
nilfs2, seq.read, 10737.418240, 94.9001, 113.144435
nilfs2, seq.read, 10737.418240, 94.5717, 113.537329
nilfs2, seq.read, 10737.418240, 94.7865, 113.280037
nilfs2, seq.read, 10737.418240, 94.2800, 113.888611

nilfs2, rand.write, 1.048576, 2026.842965, 0.000517
nilfs2, rand.write, 1.048576, 2023.874279, 0.000518
nilfs2, rand.write, 1.048576, 2021.693218, 0.000519
nilfs2, rand.write, 1.048576, 2022.028151, 0.000519
nilfs2, rand.write, 1.048576, 2021.972717, 0.000519

betrfs3, seq.write, 10737.418240, 93.244054, 115.153919
betrfs3, seq.write, 10737.418240, 92.997047, 115.459777
betrfs3, seq.write, 10737.418240, 93.482699, 114.859951
betrfs3, seq.write, 10737.418240, 92.945874, 115.523344
betrfs3, seq.write, 10737.418240, 92.764569, 115.749131

betrfs3, seq.read, 10737.418240, 98.5171, 108.990401
betrfs3, seq.read, 10737.418240, 96.5009, 111.267545
betrfs3, seq.read, 10737.418240, 96.2757, 111.527813
betrfs3, seq.read, 10737.418240, 96.8305, 110.888803
betrfs3, seq.read, 10737.418240, 96.4114, 111.370836

betrfs3, rand.write, 1.048576, 5.847296, 0.179327
betrfs3, rand.write, 1.048576, 5.834554, 0.179718
betrfs3, rand.write, 1.048576, 5.903799, 0.177610
betrfs3, rand.write, 1.048576, 6.141272, 0.170742
betrfs3, rand.write, 1.048576, 5.992251, 0.174989

betrfs4, seq.write, 10737.418240, 103.246880, 103.997508
betrfs4, seq.write, 10737.418240,  98.438889, 109.076995
betrfs4, seq.write, 10737.418240,  98.109756, 109.442920
betrfs4, seq.write, 10737.418240, 100.112894, 107.253100
betrfs4, seq.write, 10737.418240, 100.015240, 107.357821

betrfs4, seq.read, 10737.418240, 97.6357, 109.974305
betrfs4, seq.read, 10737.418240, 97.5867, 110.029525
betrfs4, seq.read, 10737.418240, 97.2747, 110.382435
betrfs4, seq.read, 10737.418240, 97.3504, 110.296601
betrfs4, seq.read, 10737.418240, 97.6155, 109.997062

betrfs4, rand.write, 1.048576, 4.813913, 0.217822
betrfs4, rand.write, 1.048576, 4.712992, 0.222486
