fs, op, size.MB, time.s, throughput.MBps
ext4, seq.write, 10737.418240, 82.879907, 129.553937
ext4, seq.write, 10737.418240, 83.128628, 129.166312
ext4, seq.write, 10737.418240, 83.107782, 129.198711
ext4, seq.write, 10737.418240, 82.673099, 129.878018
ext4, seq.write, 10737.418240, 83.079128, 129.243271

ext4, seq.read, 10737.418240, 78.4443, 136.879521
ext4, seq.read, 10737.418240, 78.2534, 137.213440
ext4, seq.read, 10737.418240, 78.2331, 137.249045
ext4, seq.read, 10737.418240, 78.3021, 137.128101
ext4, seq.read, 10737.418240, 78.2903, 137.148769

ext4, rand.write, 1.048576, 2778.734803, 0.000377
ext4, rand.write, 1.048576, 2786.865371, 0.000376
ext4, rand.write, 1.048576, 2786.307019, 0.000376
ext4, rand.write, 1.048576, 2788.499384, 0.000376
ext4, rand.write, 1.048576, 2798.283278, 0.000375

