fs, op, time.s
ext4, untar, 8.362
ext4, untar, 8.465
ext4, untar, 8.494
ext4, untar, 8.542
ext4, untar, 8.338

ext4, tar, 44.842
ext4, tar, 43.748
ext4, tar, 42.919
ext4, tar, 42.595
ext4, tar, 42.419

btrfs, untar, 6.669
btrfs, untar, 5.833
btrfs, untar, 6.695
btrfs, untar, 6.189
btrfs, untar, 5.960

btrfs, tar, 19.212
btrfs, tar, 18.680
btrfs, tar, 18.068
btrfs, tar, 17.948
btrfs, tar, 18.883

xfs, untar, 11.965
xfs, untar, 10.129
xfs, untar, 10.417
xfs, untar, 10.331
xfs, untar, 10.342

xfs, tar, 93.472
xfs, tar, 94.544
xfs, tar, 84.872
xfs, tar, 95.744
xfs, tar, 89.395

zfs, untar, 8.689
zfs, untar, 8.997
zfs, untar, 8.581
zfs, untar, 8.938
zfs, untar, 9.322

zfs, tar, 21.975
zfs, tar, 21.416
zfs, tar, 21.585
zfs, tar, 21.960
zfs, tar, 21.255

nilfs2, untar, 11.745
nilfs2, untar, 11.719
nilfs2, untar, 11.536
nilfs2, untar, 11.714
nilfs2, untar, 11.636

nilfs2, tar, 18.656
nilfs2, tar, 18.724
nilfs2, tar, 18.602
nilfs2, tar, 18.592
nilfs2, tar, 18.721

betrfs3, untar,  9.446
betrfs3, untar,  8.974
betrfs3, untar, 10.342
betrfs3, untar,  9.964
betrfs3, untar,  9.341

betrfs3, tar, 17.543
betrfs3, tar, 17.757
betrfs3, tar, 17.782
betrfs3, tar, 17.273
betrfs3, tar, 18.051

betrfs4, untar,  9.879
betrfs4, untar,  9.315
betrfs4, untar,  9.401
betrfs4, untar, 10.059
betrfs4, untar,  9.447

betrfs4, tar, 16.291
betrfs4, tar, 16.278
betrfs4, tar, 16.485
betrfs4, tar, 16.289
betrfs4, tar, 16.273

betrfs5, untar, 9.550
betrfs5, untar, 9.437
betrfs5, untar, 9.910
betrfs5, untar, 9.599
betrfs5, untar, 9.795

betrfs5, tar, 16.410
betrfs5, tar, 15.895
betrfs5, tar, 16.062
betrfs5, tar, 16.081
betrfs5, tar, 16.040

