fs, op, time.s
ext4, untar, 19.025
ext4, untar, 22.020
ext4, untar, 20.496
ext4, untar, 18.391
ext4, untar, 17.703

ext4, tar, 80.225
ext4, tar, 71.962
ext4, tar, 78.048
ext4, tar, 78.833
ext4, tar, 73.712

btrfs, untar, 80.379
btrfs, untar, 81.581
btrfs, untar, 77.303
btrfs, untar, 74.477
btrfs, untar, 77.643

btrfs, tar, 145.400
btrfs, tar, 143.680
btrfs, tar, 142.108
btrfs, tar, 139.552
btrfs, tar, 142.645

xfs, untar, 20.871
xfs, untar, 17.548
xfs, untar, 17.460
xfs, untar, 18.137
xfs, untar, 18.255

xfs, tar, 204.758
xfs, tar, 189.616
xfs, tar, 191.840
xfs, tar, 183.205
xfs, tar, 197.123

zfs, untar, 9.302
zfs, untar, 11.290
zfs, untar, 10.367
zfs, untar, 9.798
zfs, untar, 10.120

zfs, tar, 25.617
zfs, tar, 28.943
zfs, tar, 23.966
zfs, tar, 28.080
zfs, tar, 24.595

nilfs2, untar, 14.024
nilfs2, untar, 15.160
nilfs2, untar, 14.343
nilfs2, untar, 13.705
nilfs2, untar, 15.215

nilfs2, tar, 30.078
nilfs2, tar, 28.880
nilfs2, tar, 28.894
nilfs2, tar, 29.310
nilfs2, tar, 29.491

betrfs3, untar, 9.463
betrfs3, untar, 9.306
betrfs3, untar, 9.248
betrfs3, untar, 9.035
betrfs3, untar, 9.838

betrfs3, tar, 19.151
betrfs3, tar, 18.380
betrfs3, tar, 19.079
betrfs3, tar, 19.439
betrfs3, tar, 18.694

betrfs4, untar,  9.188
betrfs4, untar,  9.586
betrfs4, untar,  9.552
betrfs4, untar, 10.080
betrfs4, untar,  9.447

betrfs4, tar, 17.375
betrfs4, tar, 17.928
betrfs4, tar, 17.321
betrfs4, tar, 16.776
betrfs4, tar, 16.994

betrfs5, untar, 9.038
betrfs5, untar, 9.247
betrfs5, untar, 9.192
betrfs5, untar, 9.529
betrfs5, untar, 9.250

betrfs5, tar, 17.103
betrfs5, tar, 16.774
betrfs5, tar, 16.494
betrfs5, tar, 16.737
betrfs5, tar, 16.522

