files,time.usec,c_tp.fps,i_tp.fps
10000,637104,15696.024511,15696.024511
20000,637367,31379.09556,31379.09556
30000,646273,46420.011357,46420.011357
40000,750585,53291.765756,53291.765756
50000,1379007,36257.974035,53915.404035
60000,1383759,43360.151587,53591.142456
70000,1385286,50531.081668,54126.246764
80000,1548987,51646.656815,50100.074900
90000,2444955,36810.493445,37525.282659
100000,2447704,40854.613139,37595.928361
110000,2460116,44713.338721,37215.187518
120000,2623997,45731.759602,37208.956196
130000,3703486,35102.063299,31783.086789
140000,3703615,37800.905332,31849.390602
150000,3704197,40494.606523,32152.247322
160000,3892993,41099.483097,31520.981942
170000,5285296,32164.707521,25287.487119
180000,5291270,34018.298065,25194.390469
190000,5299425,35852.94631,25074.785548
200000,5604459,35685.87084,23371.776010
210000,7122643,29483.437539,21770.520212
220000,7127070,30868.224951,21788.865890
230000,7127547,32269.166377,21880.377787
240000,7432931,32288.743162,21876.189518
250000,9199624,27175.023675,19258.722155
260000,9202191,28254.14078,19275.984388
270000,9204151,29334.590447,19262.218507
280000,9533207,29371.018588,19045.115975
290000,11284466,25699.045041,19186.106189
300000,11306345,26533.773735,19010.015427
310000,11306420,27418.050983,19027.060761
320000,11659505,27445.418995,18812.038576
330000,13368605,24684.699712,19192.577846
340000,13373413,25423.577362,19351.080855
350000,13374114,26169.957875,19345.222262
360000,13675459,26324.527754,19841.722579
370000,15333333,24130.435307,20359.052245
380000,15346022,24762.117505,20277.713424
390000,15351877,25404.059712,20224.870220
400000,15655433,25550.2355,20202.285485
410000,17371450,23601.94457,19625.958667
420000,17378912,24167.220595,19676.421253
430000,17381477,24738.979317,19708.316910
440000,17695280,24865.387832,19609.313836
450000,19917616,22593.065355,15709.894799
460000,19917926,23094.774024,15754.147082
470000,19921343,23592.786892,15748.862342
480000,20266464,23684.447371,15557.035202
490000,22279026,21993.780159,16939.032188
500000,22281680,22439.959644,16922.234716
510000,22282757,22887.652547,16939.003495
520000,22647108,22960.989103,16802.176218
530000,24447236,21679.342401,18448.397526
540000,24460364,22076.531649,18359.707053
550000,24467329,22478.955508,18310.222780
560000,24788970,22590.692554,18675.339494
