files,time.usec,c_tp.fps,i_tp.fps
10000,544559,18363.483112,18363.483112
20000,545883,36637.887606,36637.887606
30000,546975,54847.113671,54847.113671
40000,640089,62491.309802,62491.309802
50000,1189868,42021.467928,61985.808349
60000,1191367,50362.314887,61969.003105
70000,1192842,58683.379693,61932.255402
80000,1350904,59219.604058,56273.432609
90000,2219816,40543.900936,38836.912155
100000,2222636,44991.62256,38787.164164
110000,2233730,49244.984846,38428.726241
120000,2397638,50049.25681,38214.102150
130000,3585668,36255.448078,29285.749847
140000,3598851,38901.304889,29065.226000
150000,3605676,41601.075637,29155.666477
160000,3815894,41929.885893,28203.652937
170000,4995730,34029.060818,28367.546959
180000,4999484,36003.715583,28558.516042
190000,5013626,37896.723848,28410.099790
200000,5257527,38040.698602,27746.312688
210000,6642256,31615.764282,24293.573257
220000,6653961,33063.013144,24176.824459
230000,6658397,34542.848677,24319.494933
240000,6930712,34628.476843,23906.501672
250000,8554817,29223.301913,20914.365607
260000,8556103,30387.665974,21028.924234
270000,8573293,31493.149715,20888.862894
280000,8894280,31480.90683,20371.079586
290000,10576908,27418.220902,19781.503404
300000,10578715,28358.831862,19776.407932
310000,10585428,29285.542351,19879.381851
320000,10905817,29342.139154,19885.291695
330000,12616713,26155.782413,19609.717596
340000,12618365,26944.85379,19611.207805
350000,12639690,27690.552537,19471.712956
360000,12899988,27907.002704,20058.460383
370000,14406073,25683.612737,22354.361336
380000,14422161,26348.339892,22175.456648
390000,14429944,27027.131914,22343.198228
400000,14704505,27202.547791,22166.596380
410000,16306708,25143.027029,21045.597919
420000,16310129,25750.869291,21186.799776
430000,16326713,26337.20578,21088.493116
440000,16621599,26471.580743,20864.913249
450000,18203547,24720.456953,21087.714877
460000,18216547,25251.766979,20981.757411
470000,18224076,25790.05926,21081.891025
480000,18506737,25936.500854,21218.605747
490000,20303497,24133.773606,19048.072573
500000,20326843,24598.01554,18954.686925
510000,20332320,25083.217262,18973.135937
520000,20508052,25355.894358,19986.858640
530000,22248022,23822.342499,20570.576362
540000,22274994,24242.430772,20532.289335
550000,22280274,24685.513293,20534.365801
560000,22581649,24798.897547,19290.151365
570000,24191760,23561.741684,20578.905182
580000,24204365,23962.619965,20732.145347
590000,24220480,24359.550265,20616.367540
600000,24531129,24458.719368,20518.292057
610000,26139811,23336.05243,20533.343326
620000,26160649,23699.717847,20446.928974
630000,26183288,24061.149234,20378.967275
640000,26448734,24197.755552,20859.353204
650000,28266544,22995.38281,18808.190779
660000,28272091,23344.576813,18944.399136
670000,28278252,23693.119363,19093.406856
680000,28563673,23806.462145,18913.075034
690000,30811696,22394.093464,15716.153691
700000,30834816,22701.611062,15608.385605
710000,30856144,23010.004102,15516.553835
720000,31305888,22998.868456,14586.748304
730000,33269935,21941.732077,16271.810837
740000,33294278,22226.041364,16263.719464
