files,time.usec,c_tp.fps,i_tp.fps
10000,397472,25159.004911,25159.004911
20000,501092,39912.830378,39912.830378
30000,1154910,25976.050082,25976.050082
40000,1634608,24470.698785,24470.698785
50000,1707243,29286.984922,30539.689763
60000,1708199,35124.713221,33137.078983
70000,3498302,20009.707567,17069.273941
80000,4034415,19829.392861,16668.007052
90000,4123006,21828.733696,16557.915656
100000,4134209,24188.423952,16487.978203
110000,6465278,17013.962895,13481.740331
120000,7344217,16339.386486,12085.315073
130000,7400134,17567.249458,12205.809477
140000,7417097,18875.309302,12184.393741
150000,10355730,14484.734538,10281.581677
160000,10483088,15262.678325,12743.435458
170000,10543980,16122.944088,12723.269524
180000,10549654,17062.170949,12769.121200
190000,13693424,13875.27327,11984.322110
200000,14484415,13807.944608,9996.683600
210000,14571186,14412.004623,9932.444479
220000,14571354,15098.116483,9946.042718
230000,23673656,9715.440657,4007.922862
240000,23709613,10122.476482,4335.950296
250000,28223165,8857.971811,2929.978137
260000,28247144,9204.470371,2924.876735
270000,35373427,7632.848239,3418.870335
280000,39081971,7164.428836,2602.073150
290000,39174419,7402.790071,3652.549745
300000,39183778,7656.229575,3657.432442
310000,54372405,5701.421521,2105.376405
320000,54384524,5884.02686,2613.942915
330000,54447759,6060.855507,2618.942550
340000,54455177,6243.667154,2619.275418
350000,68439885,5113.977033,2843.437488
360000,68463106,5258.306569,2841.195228
370000,73933862,5004.472781,2052.744974
380000,73968300,5137.335859,2049.902519
390000,84437558,4618.797716,2500.363647
400000,84453084,4736.357526,2501.566919
410000,84569577,4848.079115,3760.913112
420000,84586864,4965.30998,3766.987702
430000,103441045,4156.957231,2104.876858
440000,103441752,4253.601582,2106.519530
450000,109785472,4098.902995,1586.301022
460000,109842340,4187.820471,1583.814932
470000,132987830,3534.157975,1353.785192
480000,133014305,3608.634425,1352.605573
490000,140018248,3499.543859,1323.067389
500000,140063353,3569.813154,1323.582370
510000,160794629,3171.747733,1438.497110
520000,160874425,3232.334785,1435.743995
530000,160968716,3292.565246,1909.265225
540000,173960058,3104.160841,1180.055702
550000,194599209,2826.321869,1183.271616
560000,202273555,2768.527997,966.203879
570000,202327754,2817.211128,967.140483
580000,202413262,2865.424895,1405.817074
590000,235827656,2501.827012,970.203898
600000,235898835,2543.463176,1189.581172
610000,235925639,2585.560444,1190.551131
620000,245592274,2524.509383,926.375990
630000,282282478,2231.806963,861.051626
640000,283627976,2256.476984,838.062432
650000,283636608,2291.664692,838.381631
660000,296879357,2223.125268,779.923475
670000,324521388,2064.578868,946.994134
680000,329200825,2065.608432,877.715589
690000,329219070,2095.868869,877.530485
700000,343823847,2035.926263,852.070179
710000,377620361,1880.195226,753.310238
720000,377718984,1906.179013,824.433590
730000,377726128,1932.617169,824.622264
740000,408111326,1813.230736,622.205142
750000,439479953,1706.562483,646.625668
760000,439601669,1728.83784,646.384364
770000,457702821,1682.314298,500.145711
780000,478895803,1628.746786,565.095649
790000,502569066,1571.923251,634.023813
800000,528357764,1514.125569,450.673275
810000,528418189,1532.876833,565.647908
820000,547718990,1497.118075,581.199473
830000,593861936,1397.63125,438.150318
840000,615996686,1363.6437,456.418211
850000,616095262,1379.656771,456.219609
860000,619937618,1387.236353,553.873718
870000,647987565,1342.618357,739.021435
880000,668629703,1316.124599,759.979235
890000,668706741,1330.927214,760.290354
900000,692057113,1300.470703,554.635054
910000,774156370,1175.473115,317.035578
920000,774164452,1188.377996,379.022079
930000,800198669,1162.211381,304.201183
940000,826311499,1137.585525,297.941849
950000,907758836,1046.533465,299.395671
960000,907759708,1057.548591,299.411829
970000,927896063,1045.375704,313.240535
980000,928751643,1055.179829,390.471923
990000,976153179,1014.18509,584.843691
1000000,976184089,1024.396947,584.586947
1010000,976362528,1034.451826,825.312925
1020000,1020413549,999.594724,436.386300
1030000,1028929946,1001.039968,757.909252
1040000,1029033102,1010.657478,756.873170
1050000,1032421900,1017.026082,713.529220
1060000,1035862473,1023.301865,2589.177084
1070000,1041983748,1026.887417,3064.241360
1080000,1042065567,1036.403115,3069.258195
1090000,1075596161,1013.391494,926.477931
1100000,1091694253,1007.608126,716.437842
1110000,1097833222,1011.082538,716.210864
1120000,1098179338,1019.869853,712.837496
1130000,1104216238,1023.350283,1397.620279
1140000,1121555331,1016.445617,1339.536369
1150000,1130874644,1016.912004,1210.601650
1160000,1168488005,992.735907,568.919903
1170000,1168747870,1001.071343,619.851052
1180000,1186560030,994.471388,615.340131
1190000,1187166021,1002.38718,710.588409
1200000,1196761646,1002.705931,1414.745275
1210000,1197172428,1010.714891,1407.233843
1220000,1198076668,1018.298772,3473.235852
1230000,1210486697,1016.120213,1715.216146
1240000,1212296329,1022.852227,2574.883569
1250000,1212466822,1030.956045,2615.337358
1260000,1273369007,989.501074,531.262550
1270000,1294670638,980.944468,475.150005
1280000,1294719743,988.630943,485.298995
1290000,1304267390,989.060993,435.727151
1300000,1315124774,988.499362,957.951509
1310000,1315227332,996.02553,1945.838178
1320000,1332329751,990.745721,1063.546703
1330000,1333281779,997.538571,1378.626308
1340000,1403152040,954.992732,454.404661
1350000,1403316484,962.0068,454.085425
1360000,1403430370,969.054133,562.583006
1370000,1418313590,965.93589,470.412185
1380000,1429626672,965.286971,1510.880302
1390000,1430143290,971.930582,1491.045934
1400000,1430199040,978.884729,1494.284176
1410000,1445063219,975.735858,1495.347842
1420000,1481844194,958.265387,766.026392
1430000,1516600157,942.898491,462.658449
1440000,1516668765,949.449236,462.589652
1450000,1517221416,955.694393,554.337576
1460000,1547290008,943.585231,611.192643
1470000,1547390160,949.986654,1299.122965
1480000,1567702515,944.05666,783.795038
1490000,1608401379,926.385677,438.692874
1500000,1634263000,917.844925,459.912889
1510000,1634340813,923.9199,460.031048
1520000,1653790054,919.100944,464.643321
1530000,1675371227,913.230438,597.283721
1540000,1728778996,890.802123,423.208787
