files,time.usec,c_tp.fps,i_tp.fps
10000,84338449,118.569883,118.569883
20000,131808053,151.735797,151.735797
30000,149037012,201.29228,201.292280
40000,171709201,232.95199,232.951990
50000,254238977,196.66536,235.431876
60000,318645290,188.29715,214.090085
70000,371393834,188.479166,179.891040
80000,371459309,215.366793,200.250205
90000,501504210,179.460109,161.769609
100000,551623676,181.283009,171.689746
110000,551624474,199.411022,221.937846
120000,610163786,196.668506,167.571218
130000,742832638,175.005773,165.749225
140000,742882589,188.455083,209.140580
150000,770515668,194.674821,182.739192
160000,797125005,200.721341,213.948113
170000,908039670,187.21649,242.120444
180000,965291086,186.472249,179.849244
190000,991051554,191.715556,181.376377
200000,991074037,201.801271,206.239751
210000,1123539317,186.909347,185.615153
220000,1143634487,192.369155,224.286404
230000,1163803996,197.62778,231.545207
240000,1218922422,196.895221,175.555337
250000,1331145936,187.808108,192.672084
260000,1357567598,191.519008,186.974330
270000,1413740980,190.982651,160.040340
280000,1440281326,194.406464,180.702015
290000,1514015212,191.54365,218.735486
300000,1582995107,189.514168,177.440633
310000,1633473201,189.779667,182.039756
320000,1633474923,195.901385,207.046199
330000,1724041986,191.410652,190.451909
340000,1768199336,192.286013,215.977790
350000,1768267557,197.933847,296.748330
360000,1882248172,191.260645,160.788992
370000,1921328087,192.575127,202.751232
380000,1962548328,193.625805,205.815320
390000,2009573951,194.070987,165.764360
400000,2029293646,197.112922,272.024694
410000,2102469287,195.008794,220.822209
420000,2192647182,191.549285,173.838328
430000,2192670044,196.107938,218.464520
440000,2216662593,198.496605,213.482547
450000,2282464727,197.155292,222.227852
460000,2376078310,193.596313,218.065496
470000,2376093953,197.803626,218.074079
480000,2424143603,198.008072,192.788728
490000,2448464590,200.125418,240.964054
500000,2557801909,195.480345,220.114505
510000,2558167418,199.361463,219.691540
520000,2617110842,198.692387,207.289073
530000,2618813078,202.38176,234.812768
540000,2753948739,196.082081,203.928863
550000,2754128536,199.700193,204.122126
560000,2798529214,200.105111,220.484836
570000,2798529639,203.678386,222.572699
580000,2963042604,195.744739,191.301643
590000,2963061565,199.118374,191.448907
600000,2984680258,201.026558,214.879268
610000,2984692902,204.376135,214.865164
620000,3168124817,195.69936,195.043731
630000,3168172290,198.852822,195.016618
640000,3193494307,200.407434,191.557992
650000,3216861390,202.060307,172.288670
660000,3284599452,200.937743,343.422411
670000,3390799881,197.593495,179.672249
680000,3409691368,199.43154,185.016391
690000,3453153582,199.817351,169.281937
700000,3514539961,199.172582,173.958039
710000,3555182536,199.708452,243.334675
720000,3578320319,201.211724,237.207192
730000,3595108140,203.053697,281.780315
740000,3695330837,200.252706,221.250103
750000,3759582479,199.490237,195.694771
760000,3759585963,202.14992,220.670609
770000,3786751581,203.340511,208.720944
780000,3911434569,199.415326,185.096294
790000,3938259650,200.59622,223.867435
800000,4016454521,199.180644,155.721667
810000,4016454988,201.670379,174.137600
820000,4099971034,200.001413,212.160549
830000,4155794254,199.721148,183.878791
840000,4210505103,199.501005,206.131822
850000,4264518793,199.319089,161.248837
860000,4321221622,199.017795,180.790480
870000,4401986970,197.638023,162.474344
880000,4448346792,197.826303,168.179095
890000,4485364138,198.423132,181.122224
900000,4508161514,199.637923,213.972521
910000,4571396803,199.063883,236.113803
920000,4611190133,199.514653,245.634852
930000,4654767747,199.795146,236.122478
940000,4678737568,200.908896,234.499504
950000,4739708428,200.43427,237.654410
960000,4762365098,201.580513,264.594075
970000,4872248379,199.086731,183.924424
980000,4872334957,201.135597,206.614357
990000,4899894856,202.045152,249.709045
1000000,4947793820,202.110281,215.716312
1010000,5043063038,200.275109,234.171940
1020000,5086046949,200.54868,187.167784
1030000,5107269095,201.673337,192.887989
1040000,5131040510,202.687934,218.284980
1050000,5219556463,201.166518,226.637338
1060000,5288443520,200.437047,197.631807
1070000,5314464757,201.337303,193.054235
1080000,5369495593,201.136211,167.746477
1090000,5411939793,201.406527,207.918222
1100000,5467349166,201.194394,223.581541
1110000,5467396839,203.021663,261.554015
1120000,5555319847,201.608554,215.257154
1130000,5582792893,202.407652,234.119252
1140000,5653522009,201.644214,214.854107
1150000,5733868071,200.562689,150.110013
1160000,5789220431,200.372401,171.012827
1170000,5789238658,202.099113,193.755488
1180000,5860190645,201.358637,193.546543
1190000,5948066108,200.065026,186.743075
1200000,5971555551,200.952665,219.376278
1210000,5971571770,202.62672,219.378694
1220000,6027830684,202.394537,238.606482
1230000,6142944687,200.229705,205.256012
1240000,6142952449,201.857333,233.376452
1250000,6142959157,203.484993,233.389403
1260000,6234784952,202.091974,193.279416
1270000,6318678718,200.991387,227.616699
1280000,6318688354,202.573687,227.614272
1290000,6318713314,204.155488,227.590634
1300000,6427754829,202.247913,207.286239
1310000,6473943320,202.349625,257.624722
1320000,6497529332,203.154143,223.662387
1330000,6520324368,203.977582,198.401820
1340000,6610251253,202.715441,219.182377
1350000,6679545799,202.109551,194.550183
1360000,6698762665,203.022568,198.774226
1370000,6698762971,204.515372,224.166740
1380000,6772949799,203.751695,245.853457
1390000,6854223885,202.79466,228.992663
1400000,6854645501,204.241051,256.602978
1410000,6955591979,202.714593,155.745647
1420000,6996088296,202.970566,179.260865
1430000,7019029200,203.731878,242.710619
1440000,7084030283,203.274117,174.379484
1450000,7105751990,204.060035,266.382506
1460000,7145318282,204.329596,268.042644
1470000,7166635255,205.117178,270.991593
1480000,7258248383,203.905946,229.597269
1490000,7327566971,203.34171,180.330471
1500000,7327570092,204.706333,219.476558
