files,time.usec,c_tp.fps,i_tp.fps
10000,992683,10073.709331,10073.709331
20000,3662613,5460.582377,5460.582377
30000,3664907,8185.746596,8185.746596
40000,4677152,8552.212971,8552.212971
50000,4677970,10688.396890,10853.971482
60000,6555549,9152.551525,13826.783586
70000,6556743,10676.032292,13832.043034
80000,7942542,10072.342079,12249.685336
90000,7946471,11325.782225,12238.025933
100000,10151189,9851.062767,11124.584219
110000,10152496,10834.774030,11124.234618
120000,11045076,10864.569877,12892.687075
130000,11165162,11643.359944,12427.412262
140000,13065922,10714.896354,13723.383926
150000,13202384,11361.584393,13115.235707
160000,14179881,11283.592577,12759.964336
170000,14594203,11648.460694,11665.069038
180000,16125334,11162.559486,13074.407762
190000,16341979,11626.498847,12740.496784
200000,17480415,11441.375963,12119.251006
210000,17606675,11927.294620,13278.131714
220000,19403933,11337.907629,12200.333130
230000,19591411,11739.838442,12309.843690
240000,20758570,11561.490026,12201.985568
250000,20762749,12040.794791,12673.974058
260000,22582327,11513.428178,12584.972159
270000,22713322,11887.296803,12812.665063
280000,23794182,11767.582512,13176.914573
290000,23928086,12119.648851,12636.885109
300000,25996234,11540.133082,11716.780803
310000,26001064,11922.589014,12166.404785
320000,27104935,11805.968175,12081.843617
330000,27109363,12172.916051,12573.567156
340000,28954912,11742.394520,13519.551638
350000,29074813,12037.910614,13013.424323
360000,30010266,11995.895005,13767.794444
370000,30183679,12258.280377,13011.024241
380000,32256958,11780.404091,12113.701626
390000,32260125,12089.227801,12557.639566
400000,33284376,12017.650564,12217.060514
410000,33460551,12253.235160,12206.763035
420000,35139464,11952.373548,13876.814133
430000,35475948,12120.888214,12438.495527
440000,36420749,12081.025571,12753.585112
450000,36740551,12248.047124,12195.121951
460000,38498059,11948.654346,11909.742020
470000,38630579,12166.527455,12679.771422
480000,39413115,12178.687221,13367.348780
490000,39579835,12380.041503,14088.058820
500000,41477556,12054.712192,13425.084838
510000,41632438,12250.063280,13325.076228
520000,42909114,12118.637546,11441.650870
530000,43037429,12314.862024,11568.738261
540000,44617736,12102.810416,12738.123292
550000,44759984,12287.761318,12789.580073
560000,45870280,12208.340564,13508.192381
570000,45998839,12391.617101,13507.079398
580000,47934600,12099.819337,12059.583993
590000,47937874,12307.596286,12586.968083
600000,48988085,12247.876193,12829.538730
610000,49156882,12409.249228,12666.071995
620000,50871444,12187.584060,13620.062897
630000,50872773,12383.834473,13629.089110
640000,52180372,12265.148282,12530.201702
650000,52305180,12427.067453,12705.277582
660000,54300093,12154.675315,11666.402714
670000,54431313,12309.091276,11240.564951
680000,55327611,12290.427649,12709.552722
690000,55329896,12470.654201,13224.382058
700000,57316726,12212.839931,13259.816491
710000,57452845,12357.960689,13238.317516
720000,58862541,12231.887849,11315.641328
730000,58867305,12400.771532,11307.711379
740000,60573268,12216.610139,12282.967639
750000,60714219,12352.954750,12264.769389
760000,61617073,12334.243790,14521.523075
770000,61743495,12470.949369,13907.287071
780000,63652997,12253.939905,12988.155776
