files,time.usec,c_tp.fps,i_tp.fps
10000,2397028,4171.832786,4171.832786
20000,2399271,8335.865352,8335.865352
30000,2425325,12369.476256,12369.476256
40000,2433021,16440.4664,16440.466400
50000,2640814,18933.556093,164078.330995
60000,2640865,22719.828541,165567.025671
70000,2781251,25168.530276,112382.911055
80000,3131637,25545.744925,57256.060554
90000,6187408,14545.67082,11278.426569
100000,6189405,16156.641874,11272.241542
110000,6644027,16556.224109,10355.247107
120000,6893534,17407.617051,10632.933331
130000,26718278,4865.583029,1948.285679
140000,26722583,5239.014507,1948.066685
150000,26746005,5608.314214,1989.853934
160000,26760092,5979.052688,2013.433832
170000,29127547,5836.399474,16602.546250
180000,29134309,6178.282794,16585.632033
190000,29396307,6463.396916,15092.619634
200000,29622362,6751.656063,13974.922002
210000,32621783,6437.416373,11447.423700
220000,32626686,6742.946556,11453.517189
230000,33164321,6935.163847,10615.671810
240000,33580299,7147.047738,10106.275062
250000,57628825,4338.106841,1599.549439
260000,57662951,4508.961048,1597.682402
270000,58785576,4592.963417,1561.203774
280000,59723020,4688.309466,1530.062613
290000,91525041,3168.531768,1180.072726
300000,91526497,3277.739341,1181.211206
310000,92666950,3345.313513,1180.589666
320000,93413231,3425.638923,1187.288498
330000,126907388,2600.321425,1130.507255
340000,127607433,2664.421594,1108.618690
350000,128502159,2723.689646,1116.220642
360000,134525804,2676.066519,972.938376
370000,156054142,2370.971993,1372.365513
380000,160128563,2373.093175,1229.969561
390000,161319266,2417.56617,1218.876484
400000,163996098,2439.082423,1357.298980
410000,193802730,2115.553274,1059.642284
420000,193896828,2166.100417,1184.544127
430000,194742430,2208.044749,1196.774788
440000,195396209,2251.834886,1273.880847
450000,232919209,1932.000379,1022.586926
460000,233050038,1973.825038,1021.627601
470000,233759556,2010.612991,1025.190835
480000,234477017,2047.10895,1023.520292
490000,267044686,1834.898898,1172.144788
500000,272475126,1835.029888,1014.582390
510000,273133973,1867.215544,1015.888057
520000,273307402,1902.619527,1030.121128
530000,291811488,1816.241038,1615.065199
540000,313943527,1720.054575,964.589881
550000,320103439,1718.194599,851.617091
560000,326220933,1716.628037,755.950307
570000,359366277,1586.125456,592.111982
580000,374686109,1547.962377,658.516623
590000,379716926,1553.789045,670.989100
600000,379719799,1580.112498,747.679399
610000,400464565,1523.230901,973.276551
620000,430121812,1441.452125,721.556647
630000,430844420,1462.24477,782.357923
640000,431437766,1483.412094,773.425607
650000,469679814,1383.921516,577.907334
660000,504715136,1307.668332,536.241018
