files,time.usec,c_tp.fps,i_tp.fps
10000,1966275,5085.758604,5085.758604
20000,2013331,9933.786347,9933.786347
30000,2014855,14889.408915,14889.408915
40000,2336062,17122.833212,17122.833212
50000,4477845,11166.085472,15926.293115
60000,4514242,13291.267947,15994.171724
70000,4564095,15337.10407,15690.951029
80000,4755650,16822.095823,16531.740114
90000,6814167,13207.777268,17120.927680
100000,6926790,14436.70156,16579.980999
110000,7015539,15679.47951,16316.913623
120000,7221219,16617.692941,16223.435645
130000,9290990,13992.050363,16149.720832
140000,9412988,14873.066873,16088.823175
150000,9455763,15863.341753,16391.937789
160000,9590109,16683.856252,16885.545551
170000,11521715,14754.747883,17931.390019
180000,11644432,15458.031787,17925.612294
190000,11754134,16164.525604,17403.630658
200000,11830684,16905.193309,17852.560169
210000,14051662,14944.851363,15810.607890
220000,14322283,15360.679579,14937.350883
230000,14331109,16049.002209,15522.075301
240000,14437818,16623.010485,15342.517876
250000,16263039,15372.280667,18088.277123
260000,16571696,15689.401978,17782.417013
270000,16593659,16271.275672,17679.167311
280000,16595967,16871.568858,18534.401471
290000,18900916,15343.171728,15163.709301
300000,19232578,15598.532864,15032.609488
310000,19244217,16108.735419,15091.161936
320000,19411264,16485.273705,14208.092432
330000,21329893,15471.24498,16467.838106
340000,21640659,15711.166652,16610.736931
350000,21652091,16164.720534,16612.164922
360000,21738298,16560.63414,17189.263242
370000,23567684,15699.463723,17874.770253
380000,23875333,15916.008376,17899.702596
390000,23882530,16329.928194,17933.689287
400000,24081338,16610.372729,17071.838296
410000,29728543,13791.459608,6492.601113
420000,29980324,14009.18816,6552.016211
430000,30139698,14266.898096,6392.668376
440000,30297526,14522.637921,6434.811817
450000,31964865,14077.957157,17886.511871
460000,32238167,14268.801325,17716.023656
470000,32478280,14471.209682,17104.382057
480000,32699369,14679.182341,16653.877876
490000,34095633,14371.341925,18772.574020
500000,34139299,14645.877761,21040.096111
510000,34293177,14871.762975,22039.818238
520000,34498953,15072.921199,22227.359212
530000,36184782,14647.0414,19146.552017
540000,36226641,14906.157046,19163.127077
550000,36326825,15140.326742,19669.087276
560000,36655663,15277.311994,18546.767994
570000,39451555,14448.099701,12244.499388
580000,39600733,14646.193544,11855.041297
590000,39796463,14825.43813,11528.580215
600000,40093178,14965.139456,11636.312860
610000,42505987,14350.919554,13095.724508
620000,42638152,14540.967911,13169.075455
630000,42878477,14692.68603,12978.526379
640000,43304016,14779.229714,12457.806965
650000,45670682,14232.325237,12639.448667
660000,45822197,14403.499684,12562.636521
670000,46019243,14559.126929,12735.746630
680000,46374041,14663.376004,13029.209860
690000,48352942,14270.07275,14912.797417
700000,48611098,14400.003884,14342.567198
710000,48772415,14557.409142,14528.696355
720000,49287575,14608.144142,13729.031479
730000,51037458,14303.220196,14900.265076
740000,51083671,14486.038014,16177.479896
750000,51348387,14606.106322,15528.119094
760000,51720641,14694.326778,16440.162330
770000,53782545,14316.912671,14571.487170
780000,53819166,14492.978208,14622.582019
790000,54157620,14587.051647,14238.761968
800000,54719120,14620.11816,13340.096762
810000,56550740,14323.419994,14449.849089
820000,56577890,14493.294112,14499.456995
830000,57366156,14468.46116,12466.744958
840000,58302156,14407.700463,11163.717027
850000,60312596,14093.241816,10633.049218
860000,60361987,14247.377244,10570.553556
870000,60849106,14297.662812,11484.517435
880000,61446814,14321.32836,12719.984176
890000,62677712,14199.6249,16912.489705
900000,62824168,14325.697079,16245.759349
910000,63540816,14321.503205,14860.441875
920000,63945828,14387.177847,16006.312890
930000,65844563,14124.173016,12630.843699
940000,66147160,14210.738602,12037.344658
950000,66964537,14186.613431,11683.194980
960000,67374049,14248.809657,11667.859219
970000,68809617,14096.866721,13490.479431
980000,69165644,14168.884193,13251.685283
990000,69630937,14217.818152,15001.500150
1000000,70062768,14272.915966,14876.973012
1010000,71708472,14084.807162,13798.551497
1020000,72481147,14072.624982,12064.534401
1030000,74168850,13887.231634,8814.624696
1040000,74643708,13932.855533,8731.832331
1050000,76088269,13799.761958,9132.843372
1060000,76466826,13862.220461,10035.931142
1070000,76702241,13950.048735,15789.114274
1080000,77112020,14005.598608,16205.406772
1090000,78289861,13922.620197,18168.670671
