files,time.usec,c_tp.fps,i_tp.fps
10000,399588,25025.776550,25025.776550
20000,809135,24717.754145,24717.754145
30000,1207872,24837.068828,24837.068828
40000,1620428,24684.836352,24684.836352
50000,2036220,24555.303454,24440.436213
60000,2455216,24437.768408,24300.140759
70000,2859711,24477.997952,24215.435039
80000,3341911,23938.399317,23235.779848
90000,4295447,20952.417758,17705.170839
100000,4561010,21924.968373,18995.210358
110000,4563388,24104.897502,23478.628872
120000,4566784,26276.697124,32656.446832
130000,5333337,24374.983242,38539.729644
140000,5649364,24781.550631,36752.747727
150000,5655901,26520.973405,36612.836644
160000,5680179,28168.126392,35926.153791
170000,6406282,26536.452813,37280.568901
180000,6697819,26874.419867,38151.375119
190000,6701058,28353.731605,38271.762041
200000,6744038,29655.823410,37598.967532
210000,7754501,27081.046221,29668.770430
220000,8165240,26943.482372,27258.707624
230000,8172204,28144.182402,27189.687495
240000,8231994,29154.540200,26882.515343
250000,9577620,26102.518162,21940.421881
260000,10026032,25932.492535,21496.223114
270000,10028768,26922.549210,21545.177004
280000,10097977,27728.326179,21436.422518
290000,11513436,25187.963003,20663.120875
300000,12047097,24902.264836,19791.545547
310000,12054426,25716.695262,19746.669971
320000,12115895,26411.585772,19822.411020
330000,13566850,24323.995622,19479.754204
340000,14032085,24230.183896,20151.255322
350000,14052862,24905.958658,20015.652240
360000,14104290,25524.149036,20116.727310
370000,15522463,23836.423382,20453.944620
380000,15972183,23791.362771,20617.515198
390000,15979276,24406.612665,20763.968700
400000,16046595,24927.406718,20594.087952
410000,17484828,23448.900956,20383.567787
420000,17986941,23350.273957,19853.501016
430000,17995723,23894.566503,19836.871487
440000,18053454,24372.067528,19931.644425
450000,19452698,23133.037895,20326.545961
460000,19921856,23090.218100,20672.742730
470000,20027379,23467.873654,19688.372441
480000,20348502,23588.960013,17428.829375
490000,22731986,21555.529728,12197.769760
500000,22754070,21974.090789,14123.226564
510000,22763311,22404.473585,14620.246410
520000,24409935,21302.801503,9848.740580
530000,26283677,20164.606345,11262.241000
540000,26324815,20512.964669,11202.144090
550000,26389893,20841.312240,11029.669259
560000,26671308,20996.345586,17688.368969
570000,28171624,20233.125360,21187.035441
580000,28216085,20555.651147,21149.809387
590000,28267071,20872.342946,21308.581285
600000,28532448,21028.689862,21492.203703
610000,29931804,20379.660377,22724.948585
620000,29972107,20685.899727,22778.757897
630000,30016183,20988.678007,22868.747113
640000,30287719,21130.676760,22788.503883
650000,31714801,20495.162495,22434.137578
660000,31752367,20785.851965,22468.628178
670000,31786330,21078.243383,22596.993357
680000,32078344,21198.101747,22338.568935
690000,33545437,20569.116449,21850.329612
700000,33582651,20844.095959,21854.531865
710000,33634435,21109.318471,21643.791884
720000,33932165,21218.805225,21577.056253
730000,35384206,20630.673471,21753.684122
740000,35428349,20887.227909,21672.017849
750000,35470430,21144.372933,21786.551706
760000,35756041,21255.149584,21931.315506
770000,37303192,20641.665196,20844.341751
780000,37349301,20883.924976,20823.008592
790000,37397972,21124.140100,20751.817600
800000,37685461,21228.345860,20731.618828
810000,39170645,20678.750631,21419.548444
820000,39232412,20901.085562,21241.445672
830000,39272080,21134.607589,21343.487142
840000,39599336,21212.476896,20900.006531
850000,41080150,20691.258430,20947.837267
860000,41122904,20912.919963,21158.513234
870000,41171170,21131.291630,21062.719513
880000,41451711,21229.521744,21593.899723
890000,42912314,20739.967553,21832.106733
900000,42969130,20945.269313,21665.819894
910000,43016137,21154.851725,21680.604585
920000,43292841,21250.626634,21725.787967
930000,44746215,20783.880827,21811.428207
940000,44843765,20961.665462,21337.487031
950000,44881523,21166.839637,21443.283052
960000,45115810,21278.571747,21942.227213
