files,time.usec,c_tp.fps,i_tp.fps
10000,302997,33003.627099,33003.627099
20000,636896,31402.301161,31402.301161
30000,15657836,1915.973574,1915.973574
40000,15721895,2544.222564,2544.222564
50000,15726552,3179.33645,2593.435819
60000,15726819,3815.138967,2650.775620
70000,25261307,2771.036352,4165.160701
80000,26861193,2978.274271,3590.890557
90000,26866309,3349.920527,3590.742599
100000,26875673,3720.837056,3587.812703
110000,32266644,3409.093304,5709.932299
120000,32289260,3716.406012,7369.105798
130000,32290411,4025.963002,7374.492589
140000,32299332,4334.454966,7375.094931
150000,35639161,4208.853289,11860.577723
160000,35647009,4488.455118,11912.742733
170000,36331044,4679.193915,9899.439024
180000,36339643,4953.268253,9900.227977
190000,41491073,4579.298299,6835.372781
200000,41493341,4820.050523,6841.896765
210000,41500057,5060.234014,7738.421242
220000,41509680,5299.968586,7736.888537
230000,56181133,4093.901061,2722.929654
240000,56207882,4269.863789,2718.399439
250000,56210922,4447.534235,2719.078722
260000,56215862,4625.029142,2719.944578
270000,87615164,3081.65833,1272.506221
280000,87620308,3195.606206,1273.381432
290000,87647241,3308.717955,1272.413605
300000,87657214,3422.422255,1272.209923
310000,103320463,3000.373701,2546.911078
320000,103341426,3096.531685,2544.348309
330000,103349237,3193.056955,2547.446834
340000,106587127,3189.878643,2113.057783
350000,123065365,2844.01708,2025.839379
360000,123066038,2925.258714,2027.923287
370000,123069548,3006.430153,2028.365577
380000,123083228,3087.341843,2424.815415
390000,159947374,2438.301988,1084.539619
400000,159986064,2500.217769,1083.422856
410000,159991442,2562.637069,1083.368042
420000,160001484,2624.975653,1083.474799
430000,187323407,2295.495298,1461.132079
440000,191069209,2302.830489,1286.871068
450000,191103285,2354.747591,1285.684040
460000,191110721,2406.981658,1285.791741
470000,224766668,2091.05738,1068.283022
480000,224793239,2135.295537,1186.097866
490000,224811888,2179.60004,1186.640692
500000,224846909,2223.735262,1185.670414
510000,268082015,1902.40289,923.460223
520000,273123316,1903.901899,827.641967
530000,273172539,1940.165735,827.118725
540000,273213685,1976.474934,827.013982
550000,308181511,1784.662546,997.518772
560000,308193473,1817.040428,1140.570885
570000,309330595,1842.688726,1106.254164
580000,316198992,1834.287947,930.550525
590000,355573387,1659.291785,844.026516
600000,355600378,1687.287295,843.758942
610000,355686142,1714.995126,862.895653
620000,355745833,1742.817322,1011.458791
630000,400542762,1572.865771,889.494239
640000,400561849,1597.755756,889.650608
650000,409289486,1588.118,746.222101
660000,409339287,1612.354399,746.359807
670000,450697330,1486.585243,797.534534
680000,450713721,1508.718214,797.577406
690000,450731769,1530.843946,965.197791
700000,457882080,1528.77789,824.015215
710000,509190002,1394.371447,683.846346
720000,516844376,1393.069236,604.863206
730000,516880312,1412.319222,604.699638
740000,516960434,1431.444171,677.066934
750000,562917007,1332.345605,744.504556
760000,562938637,1350.058337,867.786990
770000,579700356,1328.272429,636.739446
780000,579786583,1345.322612,636.677572
790000,639209001,1235.902496,524.301410
800000,639212064,1251.540834,524.429039
810000,639270725,1267.068815,671.474773
820000,649748232,1262.027289,571.741812
830000,718124012,1155.789232,506.874415
840000,718145706,1169.679068,506.754775
850000,718168722,1183.565886,506.983720
860000,729755322,1178.477188,499.955691
870000,785742864,1107.232455,591.551007
880000,785774413,1119.914298,591.464805
890000,801117674,1110.947903,482.224296
900000,815918604,1103.051206,464.234870
910000,874066123,1041.111165,452.881839
920000,874120019,1052.48705,452.767283
930000,893721864,1040.592199,431.945898
940000,893810848,1051.676652,513.529948
950000,971528672,977.840415,410.414056
960000,972126896,987.525398,408.134625
970000,995746963,974.143067,392.060389
980000,995750440,984.182342,392.389250
990000,1075110399,920.835666,386.168499
1000000,1075140727,930.110798,388.297373
1010000,1075166287,939.389574,503.655760
1020000,1089674359,936.059467,425.876608
1030000,1182406684,871.104683,372.799487
1040000,1182475874,879.510545,372.664510
1050000,1182530150,887.926621,372.564836
1060000,1184356245,895.00098,422.467292
1070000,1270770520,842.008831,452.673874
1080000,1289381028,837.611208,374.163438
1090000,1289392207,845.359538,374.314337
1100000,1313667726,837.350251,309.330615
1110000,1388657683,799.333064,339.307512
1120000,1406866660,796.095346,340.467165
1130000,1406898005,803.185445,340.408735
1140000,1432210088,795.972609,337.432116
1150000,1510658048,761.257653,327.867872
1160000,1540788895,752.861085,298.680798
1170000,1541973476,758.767915,296.130746
1180000,1566423082,753.308613,298.033736
1190000,1655111227,718.984912,276.906332
1200000,1655133097,725.017222,349.820973
1210000,1679398127,720.496219,291.068594
1220000,1698705733,718.193844,302.382812
1230000,1742537276,705.867253,457.529540
1240000,1742568858,711.593114,457.478720
1250000,1745810160,715.999957,602.300490
1260000,1746206378,721.564195,842.093828
1270000,1763915227,719.989249,1871.086710
1280000,1769834136,723.231615,1467.067381
1290000,1770514701,728.601688,1619.135527
1300000,1770536160,734.240864,1644.075561
1310000,1860459360,704.127179,414.318289
1320000,1882959217,701.024211,353.590907
1330000,1883058116,706.297904,355.418396
1340000,1899942838,705.284377,309.103059
1350000,1916347185,704.465251,715.719390
1360000,1920831488,708.026711,1056.181711
1370000,1925313111,711.572571,946.633647
1380000,1925344752,716.754752,1574.684490
1390000,2019722381,688.213397,386.940016
1400000,2019818287,693.131659,404.094287
1410000,2037953987,691.87038,355.110875
1420000,2044590056,694.515752,335.442979
1430000,2067215464,691.751791,842.227909
1440000,2100505144,685.54938,495.743687
1450000,2128652488,681.182113,441.021622
1460000,2128685798,685.869188,475.648339
1470000,2188239507,671.7729,330.512839
1480000,2188368871,676.302802,455.250436
1490000,2195026720,678.807227,602.643508
1500000,2202017250,681.193574,545.468539
1510000,2281544560,661.832351,428.701327
1520000,2282067805,666.062593,426.899200
1530000,2326401685,657.668024,304.472013
1540000,2326434924,661.95705,321.497732
1550000,2380487986,651.127,404.271427
1560000,2380603920,655.295905,405.942532
1570000,2439202604,643.65297,354.607040
1580000,2439250240,647.74002,354.561787
1590000,2478873623,641.420355,406.563409
1600000,2486967262,643.353865,376.069417
1610000,2497035531,644.764554,691.647511
1620000,2497058247,648.763401,691.945668
1630000,2607165955,625.199941,311.787925
1640000,2607284329,629.006964,332.454913
1650000,2627015615,628.089148,307.739453
1660000,2627022010,631.894211,307.778100
1670000,2677859586,623.6324,565.821835
1680000,2708284292,620.318925,396.039749
1690000,2735657364,617.767423,368.182585
1700000,2735684919,621.416592,368.110889
1710000,2785184847,613.962841,372.698837
1720000,2797237415,614.89239,449.675050
1730000,2821063974,613.243803,468.347825
1740000,2821071167,616.786992,468.459511
1750000,2914866150,600.370621,308.448474
1760000,2926940913,601.310396,308.395692
1770000,2948819473,600.240203,313.098069
1780000,2948828963,603.629448,313.092439
1790000,3020966245,592.525654,377.002490
1800000,3022332804,595.566444,419.322854
1810000,3089266312,585.899634,284.805271
1820000,3089289164,589.13229,284.778177
1830000,3120142344,586.511703,403.322982
1840000,3143628025,585.31098,329.773916
1850000,3186003715,580.664734,413.490530
1860000,3219191564,577.784814,307.923487
1870000,3248760373,575.604164,310.998390
1880000,3250653883,578.345178,373.741456
1890000,3297248407,573.20522,359.567718
1900000,3297424619,576.207259,511.292829
1910000,3363104802,567.927588,349.820279
1920000,3394785795,565.57324,277.523551
1930000,3430038412,562.675914,301.227491
1940000,3443051527,563.453665,274.674513
1950000,3456922100,564.085607,426.360606
1960000,3537702823,554.031839,279.882674
1970000,3570172966,551.793994,285.439949
1980000,3588766446,551.72161,274.508611
1990000,3605362707,551.955562,269.468044
2000000,3667139772,545.384175,309.030770
2010000,3734497438,538.225031,243.420834
2020000,3755749484,537.84205,239.545288
2030000,3774846885,537.770156,236.010231
2040000,3809950752,535.439992,280.090508
2050000,3893628708,526.501152,251.364801
2060000,3893923481,529.029399,289.490070
2070000,3931264854,526.54809,255.725095
2080000,3961686612,525.028909,263.615997
2090000,4031094631,518.469595,290.981206
2100000,4033861093,520.593038,285.841665
2110000,4089186925,515.994998,253.289485
2120000,4091220407,518.182789,308.799723
2130000,4168587802,510.964408,290.923540
2140000,4210220193,508.286955,226.809958
2150000,4257897890,504.944002,237.091881
2160000,4259069484,507.153031,238.309324
2170000,4293441029,505.422104,320.376181
2180000,4354435659,500.638928,277.362762
2190000,4416060444,495.917125,252.904363
2200000,4417088259,498.065665,253.134477
2210000,4454406411,496.137935,248.500637
2220000,4545915953,488.350428,208.898781
2230000,4547115830,490.42076,305.214469
2240000,4613739335,485.506405,203.405955
2250000,4678599894,480.913105,178.417318
2260000,4724363741,478.371295,224.155202
2270000,4776785202,475.215004,174.163406
2280000,4820864670,472.944203,193.119784
2290000,4823009363,474.807289,276.990147
2300000,4952603761,464.402183,175.254103
2310000,4986250489,463.273958,190.962429
2320000,5034106191,460.856389,187.580729
2330000,5082118356,458.470236,154.375190
2340000,5197510282,450.21556,163.327623
2350000,5247787252,447.807788,152.942170
2360000,5248446865,449.656834,186.618803
2370000,5308558181,446.448907,176.647372
2380000,5431867089,438.155051,170.679915
2390000,5465870854,437.258776,183.415899
2400000,5466527480,439.035569,183.418412
2410000,5526679741,436.06652,183.383981
2420000,5688224028,425.440346,156.032445
2430000,5689647899,427.091455,178.749344
2440000,5757822914,423.771282,137.317635
2450000,5850180315,418.79051,123.647385
2460000,5939853309,414.151642,158.964012
2470000,5941970116,415.687045,158.527459
2480000,6034905393,410.942648,144.361347
2490000,6035803209,412.538301,215.490660
2500000,6078980122,411.253195,287.507484
2510000,6101449192,411.377678,250.816602
2520000,6102051094,412.975893,595.719449
2530000,6132449064,412.55948,413.882209
2540000,6241347887,406.963375,246.354318
2550000,6246584709,408.223072,275.604489
2560000,6249039051,409.662986,272.131138
2570000,6251249032,411.11784,336.700427
2580000,6314526381,408.581712,546.608680
2590000,6314681523,410.155285,587.398993
2600000,6320964209,411.329651,556.133641
2610000,6324787918,412.662058,543.929915
2620000,6359833671,411.960459,882.860131
2630000,6361664401,413.413823,851.373984
2640000,6369109002,414.500678,830.827126
2650000,6418053054,412.897802,428.884809
2660000,6504353114,408.956887,276.779367
2670000,6505497096,410.422134,278.100887
2680000,6526689047,410.621677,253.839247
2690000,6543620145,411.087432,318.554804
2700000,6553981056,411.963351,805.997557
2710000,6554380968,413.463913,818.265787
2720000,6567421247,414.165606,982.024050
2730000,6612385367,412.8616,581.689389
2740000,6680477580,410.150317,316.214223
2750000,6683805058,411.442281,309.061474
2760000,6695409041,412.222761,312.529803
2770000,6718329041,412.304902,377.559117
2780000,6742809036,412.291077,641.730557
2790000,6744997238,413.639903,653.678297
2800000,6749921754,414.819623,733.773790
2810000,6795069152,413.535159,521.239799
2820000,6888881687,409.355267,273.836339
2830000,6888973254,410.801421,277.824051
2840000,6925686632,410.067644,227.576752
2850000,6943665183,410.446058,269.186194
2860000,6955340487,411.194823,601.876651
2870000,6997295400,410.158474,369.268903
2880000,7052326751,408.37586,315.855673
2890000,7092784804,407.456321,268.241025
2900000,7130585319,406.698731,228.252095
2910000,7136041295,407.78912,288.296818
2920000,7139169294,409.011172,460.603739
2930000,7156968997,409.391182,623.206402
2940000,7269703547,404.418142,287.525226
2950000,7306191143,403.767153,235.086898
2960000,7327369335,403.964897,212.539805
