files,time.usec,c_tp.fps,i_tp.fps
10000,104007525,96.146889,96.146889
20000,129130820,154.881693,154.881693
30000,129190427,232.215348,232.215348
40000,154447999,258.986845,258.986845
50000,259878493,192.397606,256.622516
60000,382272383,156.956146,158.014352
70000,382560970,182.97737,157.871549
80000,408198042,195.983302,157.635441
90000,505462153,178.054874,162.877286
100000,546321212,183.042499,243.829842
110000,570382510,192.853038,212.968119
120000,617855166,194.220275,190.787698
130000,694164356,187.275533,211.974208
140000,757272240,184.874069,189.617469
150000,775585304,193.402324,194.929120
160000,800540544,199.864955,218.955674
170000,879789657,193.228005,215.487866
180000,934400442,192.636895,225.825134
190000,1007246639,188.633044,172.665844
200000,1007492078,198.512727,193.281969
210000,1115381035,188.276466,169.785500
220000,1139066105,193.140678,195.440698
230000,1178068627,195.234806,234.161893
240000,1192990503,201.175114,215.635254
250000,1273772796,196.267341,252.538388
260000,1330309475,195.443245,209.157578
270000,1386584443,194.723085,191.831971
280000,1413741518,198.056007,181.199620
290000,1494342531,194.065279,181.348543
300000,1576838710,190.254081,162.252562
310000,1602721434,193.421011,185.067812
320000,1647229886,194.265538,171.314744
330000,1691662508,195.074371,202.716423
340000,1780086923,191.001909,196.803698
350000,1799367493,194.512795,203.411145
360000,1824711654,197.291446,225.375262
370000,1871750275,197.675943,222.113921
380000,1967579250,193.130721,213.342064
390000,2013097916,193.731262,187.151644
400000,2013098852,198.698638,212.328653
410000,2061350135,198.898767,210.970620
420000,2156505566,194.759525,211.722754
430000,2201794892,195.295212,211.980080
440000,2219752206,198.220323,193.560856
450000,2244110773,200.524861,218.865509
460000,2333695191,197.112289,225.746852
470000,2376542127,197.766324,228.902048
480000,2405199937,199.567609,215.694200
490000,2506324401,195.505418,152.547373
500000,2506344410,199.493732,231.683643
510000,2604677704,195.801576,175.334336
520000,2604683599,199.640371,200.517674
530000,2604755782,203.47397,406.374467
540000,2732311773,197.63484,177.016714
550000,2753182766,199.768794,269.351088
560000,2768692831,202.261513,243.888710
570000,2790574434,204.25902,215.263643
580000,2928523659,198.052011,203.861248
590000,2973370978,198.427981,181.662768
600000,2973379426,201.790594,195.420711
610000,3044419286,200.366619,157.576566
620000,3129990328,198.083679,198.544008
630000,3130040112,201.275376,255.315128
640000,3154069773,202.912442,221.373198
650000,3250095050,199.994151,194.480863
660000,3331780077,198.092306,198.226125
670000,3331826224,201.09092,198.229698
680000,3357290925,202.544258,196.829905
690000,3463981044,199.192776,187.015518
700000,3540727552,197.699481,191.435671
710000,3559752522,199.452067,175.495326
720000,3559764918,202.260547,197.556236
730000,3643268400,200.369536,223.105527
740000,3731676232,198.302305,209.480369
750000,3780112370,198.4068,181.521272
760000,3780139108,201.050802,181.509459
770000,3820463045,201.54625,225.740456
780000,3916169678,199.17421,216.809870
790000,3939501461,200.532988,250.958204
800000,4000679621,199.966025,181.372572
810000,4026596200,201.162461,194.049327
820000,4107562775,199.631763,208.993953
830000,4146839746,200.152417,192.921438
840000,4148233228,202.495847,271.087917
850000,4185702706,203.072234,251.403924
860000,4310355741,199.519495,197.245500
870000,4355955926,199.726539,191.281229
880000,4382968634,200.777161,170.404630
890000,4442013902,200.359571,156.060292
900000,4538863015,198.287544,175.049132
910000,4556309823,199.723029,199.646728
920000,4556319137,201.917375,230.746374
930000,4625304875,201.067827,218.232242
940000,4709993020,199.575667,233.740424
950000,4713274881,201.558369,254.833786
960000,4757740904,201.776435,198.588269
970000,4800307514,202.070388,228.567982
980000,4901670771,199.931829,208.683584
990000,4924899340,201.019337,189.014069
1000000,4952098597,201.93459,205.806106
1010000,5024318876,201.022273,178.562371
1020000,5133455975,198.696552,172.573569
1030000,5133472423,200.643914,191.779301
1040000,5163436843,201.416233,189.270048
1050000,5245124171,200.185919,181.155076
1060000,5324427470,199.082438,209.455343
1070000,5324456121,200.959493,209.441960
1080000,5373262929,200.995189,190.634066
1090000,5458793354,199.677828,187.205284
1100000,5476065605,200.874146,263.785887
1110000,5497662150,201.904004,230.938843
1120000,5558373037,201.497811,216.087606
1130000,5670516138,199.276393,188.926290
1140000,5670521812,201.039699,205.701842
1150000,5670533244,202.802797,231.386284
1160000,5718509412,202.850064,249.787096
1170000,5863547881,199.537895,207.219804
1180000,5863553071,201.243169,207.220324
1190000,5863692451,202.943795,207.083062
1200000,5942409279,201.938295,178.651290
1210000,6055734067,199.810624,208.131504
1220000,6075722088,200.799178,188.528941
1230000,6100179581,201.633408,169.142397
1240000,6100187750,203.272432,253.520013
1250000,6213496893,201.174962,253.545154
1260000,6259623184,201.290072,217.508220
1270000,6283819216,202.106387,217.817902
1280000,6330670748,202.190266,173.548593
1290000,6397778772,201.63248,217.058781
1300000,6436583550,201.9705,226.039315
1310000,6458524455,202.832707,228.957072
1320000,6504741233,202.928903,229.791972
1330000,6552387323,202.979454,258.717902
1340000,6645609240,201.636893,191.364038
1350000,6665135321,202.546525,193.600660
1360000,6721377325,202.339481,184.641440
1370000,6800656411,201.451142,161.115507
1380000,6844814845,201.612466,200.797563
1390000,6844848191,203.072437,222.577270
1400000,6914645264,202.46881,206.966557
1410000,6974076091,202.177318,230.654329
1420000,7001749397,202.806459,254.883322
1430000,7047700441,202.903062,197.187855
1440000,7114038566,202.41667,200.608544
1450000,7184087712,201.834952,190.465650
1460000,7209299312,202.516214,192.724724
1470000,7234402719,203.195766,214.244842
1480000,7280670046,203.277994,240.050679
1490000,7397567694,201.417555,187.371198
1500000,7421736441,202.109036,188.291003
1510000,7421739761,203.456339,213.518905
1520000,7464988859,203.617183,217.015286
1530000,7595858108,201.425564,201.724325
1540000,7595861444,202.741981,229.720025
1550000,7595888424,204.057763,229.688815
1560000,7670592078,203.374131,194.549483
1570000,7781773239,201.753502,215.151934
1580000,7781777028,203.038457,215.151410
1590000,7824079715,203.218788,175.291528
1600000,7824080981,204.496861,260.605159
1610000,7988379394,201.542756,193.605074
1620000,7988394443,202.794192,193.594523
1630000,7988423342,204.04527,243.392462
1640000,8017388400,204.555389,206.924288
1650000,8160898318,202.183624,231.858622
1660000,8184728058,202.816757,203.734852
1670000,8189161218,203.928089,199.264836
1680000,8230132289,204.127946,188.019502
1690000,8369042861,201.934681,192.174147
1700000,8369052908,203.129317,217.008179
1710000,8388039916,203.861691,201.127624
1720000,8433109431,203.957984,197.066525
1730000,8551138055,202.312252,219.665325
1740000,8572946808,202.964049,196.180464
1750000,8573646422,204.113852,215.509687
1760000,8640251028,203.697785,193.104623
1770000,8703378050,203.369311,262.743046
1780000,8775334336,202.841274,197.640637
1790000,8799298775,203.425301,177.263828
1800000,8828639891,203.881914,212.326776
1810000,8855082997,204.402376,263.669714
1820000,8897115870,204.560672,328.457022
1830000,9031634551,202.62113,172.164617
1840000,9052783870,203.252395,178.456723
1850000,9052824617,204.356107,202.284173
1860000,9096344867,204.477736,200.773987
1870000,9205301632,203.143805,230.325746
1880000,9230967660,203.662289,224.487312
1890000,9231032446,204.744162,224.457030
1900000,9291833877,204.480625,204.615083
