files,time.usec,c_tp.fps,i_tp.fps
10000,3334323,2999.109564,2999.109564
20000,5882382,3399.983204,3399.983204
30000,6155475,4873.709990,4873.709990
40000,6155878,6497.854571,6497.854571
50000,7492337,6673.485189,9619.977230
60000,9887289,6068.397515,9987.747531
70000,10079305,6944.923286,10194.121560
80000,10080568,7936.060746,10191.887767
90000,11289963,7971.682458,10532.896078
100000,13661201,7320.000635,10599.081272
110000,13904717,7910.984452,10456.390057
120000,13907118,8628.674899,10453.280370
130000,15233472,8533.839167,10143.250592
140000,17739238,7892.109007,9808.640775
150000,17901500,8379.186102,10008.048973
160000,17903222,8936.938837,10009.749496
170000,18916107,8987.050031,10861.787823
180000,20846362,8634.600128,12873.641348
190000,21141722,8986.968990,12344.833163
200000,21143005,9459.393308,12346.505923
210000,22911881,9165.550397,10010.576174
220000,25111160,8761.044890,9379.107756
230000,25264182,9103.797621,9702.944358
240000,25406137,9446.536481,9382.773041
250000,26533738,9421.966856,11044.058338
260000,29387431,8847.319795,9353.944126
270000,29715760,9086.087652,8985.577699
280000,30018493,9327.583500,8672.357468
290000,32079734,9039.975207,7212.410539
300000,35475887,8456.448178,6569.810146
310000,36070317,8594.324247,6294.695287
320000,36196719,8840.580275,6474.350404
330000,37562244,8785.417612,7295.928325
340000,40512895,8392.389633,7941.222249
350000,40959399,8545.047255,8181.495013
360000,41024156,8775.317645,8285.970381
370000,42454986,8715.112990,8175.374872
380000,44655960,8509.502427,9654.688015
390000,44880223,8689.796394,10201.937144
400000,44886186,8911.427672,10357.247354
410000,46295291,8856.192307,10415.839367
420000,48124719,8727.323686,11531.501612
430000,48630977,8842.100787,10664.522387
440000,48643298,9045.439312,10646.475271
450000,50852066,8849.197985,8778.138047
460000,53507537,8596.919720,7431.051914
470000,53649045,8760.640567,7971.195289
480000,53770326,8926.856795,7801.790823
490000,55170779,8881.513165,9262.018569
500000,56886197,8789.478404,11839.013100
510000,57242324,8909.491515,11131.893738
520000,57540059,9037.182252,10610.831059
530000,59918291,8845.379118,8425.465802
540000,63146324,8551.566676,6389.646728
550000,63267033,8693.311096,6639.324821
560000,63375063,8836.283129,6855.179534
570000,64817760,8793.886120,8164.150033
580000,66636784,8703.901437,11459.807590
590000,66926536,8815.636297,10930.446020
600000,67033266,8950.779752,10934.330326
610000,68406184,8917.322446,11146.954763
620000,70504326,8793.786639,10342.486261
630000,70767217,8902.427235,10414.819663
640000,70949933,9020.445446,10212.765088
650000,72610496,8951.873845,9514.041774
660000,74799054,8823.641005,9313.744666
670000,75199702,8909.609775,9024.283218
680000,75507851,9005.686044,8775.936733
690000,76659342,9000.859934,9879.358217
700000,78936887,8867.844003,9666.895692
710000,79232716,8960.944870,9918.140626
720000,79503275,9056.230702,10011.453102
730000,80741491,9041.200391,9798.760408
740000,83367282,8876.383903,9028.540345
750000,83966073,8932.179072,8450.661972
760000,84403991,9004.313552,8162.072644
770000,86102696,8942.809410,7461.009232
780000,88798500,8783.932161,7364.830504
790000,89258570,8850.690752,7557.869187
800000,89582424,8930.323207,7724.344411
810000,91459046,8856.423016,7467.771897
820000,93859157,8736.494405,7904.112055
830000,94494136,8783.613832,7640.052671
840000,94598145,8879.666721,7974.925240
850000,96136291,8841.614245,8552.042923
860000,97740859,8798.776774,10304.758067
870000,98111524,8867.459851,11057.702408
880000,98474199,8936.350932,10319.773667
890000,100542059,8852.016846,9079.007338
900000,102234120,8803.323196,8902.220459
910000,102556970,8873.117059,8997.972307
920000,102915283,8939.391441,9006.810049
930000,105072680,8851.016268,8828.811768
940000,106778900,8803.237344,8801.306114
950000,107029591,8876.049989,8943.301925
960000,107599745,8921.954230,8538.867430
970000,109063455,8893.904929,10023.115811
980000,111574472,8783.371164,8341.027932
990000,111796057,8855.410706,8391.961676
1000000,112322704,8902.919574,8469.266830
1010000,114251700,8840.131044,7709.736144
1020000,116094759,8785.926331,8848.995650
1030000,116099537,8871.697740,9294.803275
1040000,116796460,8904.379465,8941.032993
1050000,118394324,8868.668400,9655.715798
1060000,119785074,8849.182662,10839.183105
1070000,119788141,8932.436809,10844.210981
1080000,120316699,8976.310096,11362.864851
1090000,122082033,8928.422743,10846.842850
1100000,123341755,8918.309943,11246.440150
1110000,123462284,8990.599915,10886.892535
1120000,124134625,9022.462508,10476.892428
1130000,125551984,9000.256021,11527.540302
1140000,126806635,8990.065859,11544.411350
1150000,126960659,9057.923998,11433.880016
1160000,127953542,9065.790457,10474.173699
1170000,129335575,9046.234959,10571.967213
1180000,130424283,9047.394955,11056.907693
1190000,130591956,9112.352984,11015.347960
1200000,131413619,9131.473656,11560.436372
1210000,132714278,9117.330993,11838.862427
1220000,134151795,9094.175743,10731.018438
1230000,134156446,9168.400302,11221.801716
1240000,134827581,9196.931301,11716.592042
1250000,136475857,9159.129149,10633.832228
1260000,138380584,9105.323620,9458.972770
1270000,138380799,9177.573834,9468.905653
1280000,139093854,9202.419540,9375.865070
1290000,140472198,9183.311847,10009.155875
1300000,142109555,9147.871865,10726.819812
1310000,142114550,9217.916111,10713.087188
1320000,142770658,9245.597229,10879.013404
1330000,144345265,9214.018901,10327.732518
1340000,145867414,9186.424598,10644.358929
1350000,146059263,9242.823579,10140.154683
1360000,146668929,9272.584243,10260.959282
1370000,148131597,9248.533248,10564.313959
1380000,149949455,9203.101138,9799.019657
1390000,150125472,9258.921764,9837.172659
1400000,150694039,9290.347576,9937.616612
1410000,152328347,9256.320493,9531.184845
1420000,154357751,9199.408457,9073.800852
1430000,154721514,9242.412144,8703.140659
1440000,154842323,9299.782980,9642.541350
1450000,156663327,9255.516449,9227.262871
1460000,158097905,9234.783978,10694.746794
1470000,158511947,9273.748937,10552.884064
1480000,158626258,9330.107251,10571.006109
1490000,160240065,9298.548400,11183.374348
1500000,161867456,9266.841137,10611.343367
1510000,162071411,9316.880693,11237.647017
1520000,162430808,9357.830689,10513.726985
1530000,164177536,9319.179939,10158.804979
1540000,165593259,9299.895475,10735.940682
1550000,166190901,9326.623724,9709.939823
1560000,166455763,9371.859357,9937.999307
1570000,168150486,9336.874590,10068.085428
1580000,169825374,9303.674491,9451.539006
1590000,171631108,9264.054859,7352.661397
1600000,171634735,9322.122355,7723.540502
1610000,174090092,9248.085181,6734.453430
1620000,175278900,9242.413091,7334.704190
1630000,176172112,9252.315713,8808.624701
1640000,176173304,9309.015400,8813.350640
1650000,178034390,9267.872348,10141.221581
1660000,179651979,9240.087469,9146.873404
1670000,179894984,9283.193799,10744.393038
1680000,180087190,9328.814559,10220.021738
1690000,182739970,9248.113590,8500.546160
1700000,184161346,9231.035920,8870.424607
1710000,184270948,9279.813332,9140.843023
1720000,184275725,9333.839278,9549.878418
1730000,186466024,9277.829617,10735.217471
1740000,188601049,9225.823553,9009.611679
1750000,188714422,9273.271123,9001.965579
1760000,188719836,9325.993692,9000.675276
1770000,190746300,9279.341198,9345.191759
1780000,192643517,9239.864532,9894.945365
1790000,193214979,9264.292082,8887.788778
1800000,193526022,9301.074767,8322.607573
1810000,195442390,9261.041067,8517.724320
1820000,197783930,9201.960948,7781.475924
1830000,198465456,9220.748219,7618.355437
1840000,198467375,9271.045178,8094.948894
1850000,200314252,9235.488646,8210.413185
1860000,201807899,9216.685815,9940.434432
1870000,202319820,9242.791932,10377.847033
1880000,202476067,9285.047995,9978.317117
1890000,204316946,9250.334037,9993.269533
1900000,206351498,9207.590051,8803.593803
1910000,207066707,9224.080624,8426.575143
1920000,207155516,9268.399109,8548.014948
1930000,208739884,9245.957040,9043.762314
1940000,210400830,9220.495946,9878.172499
1950000,210998537,9241.770240,10173.379826
1960000,211172092,9281.529493,9958.731019
1970000,212378733,9275.881686,10992.486910
1980000,213951829,9254.419601,11264.435726
1990000,214366673,9283.159421,11876.005007
2000000,214369073,9329.704010,12511.804105
2010000,216587584,9280.310362,9503.781436
2020000,217733522,9277.395513,10577.273195
2030000,218701983,9282.037466,9226.560500
2040000,218848218,9321.528951,8930.275756
2050000,220158174,9311.487113,11202.630378
2060000,221970344,9280.519023,9441.038590
2070000,222654836,9296.901146,10119.273345
2080000,222770077,9336.981106,10199.244797
2090000,224120605,9325.336240,10094.813007
2100000,225696246,9304.541113,10735.655420
2110000,226855366,9301.080407,9522.607861
2120000,226976079,9340.191307,9510.218968
2130000,228357948,9327.461639,9439.877772
2140000,229794131,9312.683447,9761.132877
2150000,230884192,9312.027737,9928.450621
2160000,230894115,9354.937435,10209.196649
2170000,232653550,9327.173387,9311.849655
2180000,233537502,9334.689210,10685.555880
2190000,234255185,9348.779196,11865.939799
2200000,234261717,9391.205820,11877.888183
2210000,236451840,9346.512169,10531.054764
2220000,237248660,9357.270975,10778.306933
2230000,238172730,9362.952677,10210.476204
2240000,238180451,9404.634136,10207.378199
2250000,239833145,9381.522308,11829.752122
2260000,240943941,9379.775190,10824.616585
2270000,241472122,9400.671105,12123.445774
2280000,241476185,9441.924884,12136.901825
2290000,243311056,9411.820563,11501.156873
2300000,244118677,9421.646997,12599.472838
