files,time.usec,c_tp.fps,i_tp.fps
10000,243079,41138.889003,41138.889003
20000,245586,81437.866979,81437.866979
30000,491840,60995.445673,60995.445673
40000,494324,80918.587809,80918.587809
50000,742445,67345.055863,80101.568789
60000,745586,80473.614043,80000.000000
70000,49028010,1427.755277,824.127656
80000,49055562,1630.803863,823.702229
90000,49129721,1831.885021,826.663605
100000,49131958,2035.335127,826.679049
110000,49322008,2230.241721,136055.347315
120000,49339633,2432.12186,140809.867956
130000,49367034,2633.336246,168553.766545
140000,49370957,2835.675233,167364.717007
150000,68982220,2174.473364,2034.566057
160000,71712785,2231.122386,1787.857160
170000,84507561,2011.654318,1138.286856
180000,88222976,2040.284835,1029.547525
190000,142657613,1331.860221,542.922112
200000,143481652,1393.906449,557.344733
210000,144598671,1452.295506,665.655868
220000,144876230,1518.537582,706.049471
230000,187062399,1229.536247,900.803801
240000,194198797,1235.846997,788.687928
250000,202924842,1231.983219,685.798490
260000,209391856,1241.691081,620.004834
270000,249447794,1082.390811,641.175711
280000,250341077,1118.474057,712.475518
290000,253314297,1144.822868,793.816881
300000,254699844,1177.857023,882.846530
310000,301137301,1029.430758,773.851451
320000,302891836,1056.48275,761.168835
330000,307054506,1074.727755,744.321631
340000,310909695,1093.565127,711.619036
350000,340633487,1027.497335,1012.756016
360000,341318602,1054.73302,1040.941098
370000,370010079,999.97276,635.368691
380000,370277422,1026.25755,673.766742
390000,410714660,949.564352,570.766702
400000,411486830,972.084574,570.058574
410000,440607354,930.53372,566.594107
420000,441289125,951.756969,563.287434
430000,451253750,952.900668,986.701971
440000,452882081,971.555331,966.294419
450000,502904081,894.80284,642.088307
460000,502904601,914.686402,649.187552
470000,506179859,928.523709,728.251113
480000,536980442,893.887305,475.633526
490000,573907384,853.796298,563.354074
500000,588753726,849.251526,465.933695
510000,589263454,865.487239,481.442817
520000,591413338,879.2497,734.849750
530000,631443403,839.3468,695.216678
540000,654645477,824.873949,607.056261
550000,658211173,835.598092,580.149722
560000,658214038,850.787081,598.796120
570000,680041229,838.184474,823.082086
580000,691392880,838.886278,1088.512296
590000,733997183,803.817799,527.801899
600000,734642776,816.723474,523.363345
610000,749009393,814.409012,579.977742
620000,752132881,824.322424,658.544606
630000,776239814,811.604853,946.910717
640000,778981944,821.585153,902.136910
650000,779017782,834.384035,1332.960593
660000,808414143,816.413228,710.716117
670000,847482509,790.576788,561.461073
680000,847718778,802.15281,581.929625
690000,847970188,813.707852,580.110287
700000,850226975,823.309564,956.644123
710000,939056844,756.077765,436.803609
720000,939060879,766.723453,437.914166
730000,941012360,775.760267,429.912578
740000,942776093,784.915958,432.202930
750000,961105843,780.351098,1814.141313
760000,961658044,790.301714,1770.133554
770000,996350386,772.820497,722.830265
780000,997497420,781.95691,730.976425
790000,1032970294,764.78482,556.603431
800000,1035034384,772.921182,545.134849
810000,1044162469,775.741347,836.608604
820000,1083529383,756.786122,464.943477
830000,1106998663,749.77507,540.333396
840000,1107934661,758.167453,548.694760
850000,1109871552,765.85439,608.743847
860000,1115728850,770.796596,1242.256588
870000,1178327161,738.334843,560.785676
880000,1178558438,746.674897,566.381489
890000,1179079410,754.826174,577.969051
900000,1188390019,757.327128,550.500364
910000,1257437965,723.693753,505.619940
920000,1257472032,731.62661,506.883516
930000,1257475758,739.576882,510.227849
940000,1258932435,746.664375,567.034733
950000,1290926930,735.905323,1194.423297
960000,1327514101,723.15616,571.085357
970000,1327572498,730.656896,570.639947
980000,1328007280,737.947762,579.082009
990000,1338951934,739.384271,832.899462
1000000,1381784602,723.701797,737.048659
1010000,1413441100,714.568156,465.828010
1020000,1413868735,721.424822,465.866785
1030000,1415441500,727.688145,522.947143
1040000,1444394766,720.024764,638.873906
1050000,1457536551,720.393598,907.123050
1060000,1462196910,724.936561,827.674540
1070000,1469324626,728.225731,742.347428
1080000,1518617332,711.173235,538.919660
1090000,1519654632,717.268238,643.934896
1100000,1520278248,723.551759,688.689369
1110000,1522275997,729.171321,755.410091
1120000,1588166424,705.215765,575.133317
1130000,1597407345,707.396272,514.451502
1140000,1602877561,711.220887,484.265529
1150000,1604559377,716.707662,486.124902
1160000,1630430673,711.46846,946.426376
1170000,1682705799,695.308711,468.941676
1180000,1684187395,700.634623,491.945415
1190000,1684777683,706.324646,498.639301
1200000,1690344788,709.914337,667.622312
1210000,1703316076,710.379017,1940.779350
1220000,1707010963,714.699569,1752.574356
1230000,1740260999,706.790534,720.937444
1240000,1744498303,710.80608,738.640880
1250000,1748618855,714.849892,882.948042
1260000,1765536534,713.664076,683.461935
1270000,1766097042,719.099783,1548.224703
1280000,1806435485,708.577755,645.815627
1290000,1808159279,713.432724,671.812482
1300000,1808817478,718.701591,924.194260
1310000,1809063266,724.131668,930.963819
1320000,1827405162,722.335707,1907.516267
1330000,1871813711,710.540794,628.393008
1340000,1875254449,714.569695,602.074408
1350000,1877547635,719.023036,584.074886
1360000,1920153414,708.27674,431.274974
1370000,1943046062,705.078499,561.542606
1380000,1949169301,707.993913,541.163229
1390000,1953088553,711.693281,529.514349
1400000,1976269468,708.405419,712.808495
1410000,1984209842,710.610325,971.728058
1420000,2040446523,695.926104,438.225432
1430000,2041843143,700.347627,450.680917
1440000,2043594591,704.640738,594.131852
1450000,2073455807,699.315604,448.199535
1460000,2111316529,691.511661,564.413667
1470000,2112092503,695.992244,569.400205
1480000,2112310811,700.654464,582.104196
1490000,2136704909,697.335413,632.420046
1500000,2191867084,684.348066,496.582550
1510000,2192018814,688.862701,500.460981
1520000,2192491680,693.275151,498.872119
1530000,2195769462,696.794462,677.225137
1540000,2245047546,685.954292,752.155933
1550000,2246533165,689.951978,733.751742
1560000,2291659278,680.729467,403.357556
1570000,2294713197,684.181362,404.270164
1580000,2298721210,687.338679,745.244446
1590000,2299091439,691.577539,761.060000
1600000,2304098289,694.414821,3215.689736
1610000,2353717954,684.024183,677.911444
1620000,2362498138,685.714826,627.186057
1630000,2363464484,689.665536,621.378094
1640000,2370982793,691.696289,598.045849
1650000,2425581935,680.24913,556.607071
1660000,2440452213,680.201805,513.122630
1670000,2441961060,683.876589,509.576367
1680000,2445709128,686.917336,535.286522
1690000,2479880060,681.484571,736.673688
1700000,2515990620,675.678195,529.531951
1710000,2515998885,679.65054,540.264385
1720000,2519322764,682.723161,543.377588
1730000,2557034720,676.564924,518.439197
1740000,2558528006,680.078544,940.349273
1750000,2599973963,673.083663,476.331799
1760000,2599996430,676.924006,495.824747
1770000,2627086704,673.750127,571.004527
1780000,2627993128,677.322928,575.828543
1790000,2643206119,677.207875,925.237224
1800000,2674562065,673.007377,536.440144
1810000,2695411817,671.511488,585.436280
1820000,2695694065,675.150798,590.833772
1830000,2698393034,678.181413,724.809495
1840000,2698598497,681.835405,1664.140501
1850000,2748874380,673.002744,748.187101
1860000,2759977426,673.918555,622.245001
1870000,2776332688,673.550403,513.217572
1880000,2777355610,676.902876,507.890633
1890000,2835208738,666.617584,463.314964
1900000,2837041431,669.711756,519.049068
1910000,2839346131,672.690088,634.785184
1920000,2839860043,676.089656,639.954609
1930000,2881460763,669.79916,864.826999
1940000,2903891338,668.069075,598.355357
1950000,2906077851,671.007488,599.415091
