files,time.usec,c_tp.fps,i_tp.fps
10000,4607423,2170.410661,2170.410661
20000,4799053,4167.488877,4167.488877
30000,4818625,6225.842434,6225.842434
40000,4898030,8166.548592,8166.548592
50000,6655086,7513.050921,19534.464411
60000,6838655,8773.655054,19611.669335
70000,7144723,9797.440713,17196.180041
80000,7267484,11007.936172,16881.526293
90000,9467804,9505.900207,14221.119927
100000,9717933,10290.254111,13892.371629
110000,10242685,10739.371561,12911.714217
120000,10429645,11505.664862,12649.577299
130000,12635804,10288.225427,12626.262626
140000,12877432,10871.732811,12660.235056
150000,13024182,11517.038076,14380.745332
160000,13192998,12127.645286,14475.168391
170000,15054581,11292.243869,16537.283098
180000,15427422,11667.535898,15686.336025
190000,15556639,12213.435049,15794.937486
200000,15941778,12545.65206,14551.910302
210000,18297053,11477.258114,12336.266898
220000,18574041,11844.487691,12712.056973
230000,18816684,12223.195118,12269.769282
240000,19278090,12449.366094,11989.286374
250000,21429469,11666.178009,12769.695979
260000,21896249,11874.179911,12040.185323
270000,22085287,12225.333544,12237.644033
280000,22758116,12303.303138,11494.166998
290000,24846746,11671.54846,11705.226120
300000,25307743,11854.079599,11725.068255
310000,25530862,12142.167389,11609.092822
320000,26047287,12285.348566,12161.119018
330000,28185864,11707.996604,11979.211277
340000,28657653,11864.195578,11940.619300
350000,28957080,12086.854061,11674.680362
360000,29652845,12140.4877,11093.983234
370000,32047511,11545.35839,10358.274591
380000,32546233,11675.698383,10286.531330
390000,32897624,11854.959495,10150.882721
400000,33570041,11915.386103,10211.385900
410000,37321915,10985.502754,7583.795250
420000,38007270,11050.51744,7324.616186
430000,38280701,11232.814154,7430.694378
440000,39205028,11223.050268,7098.507947
450000,41110541,10946.097742,10557.917303
460000,41890447,10981.023907,10300.843871
470000,42031439,11182.105852,10664.567880
480000,42975010,11169.281869,10610.130234
490000,44788728,10940.252646,10874.922890
500000,45494188,10990.414864,11099.576801
510000,45651493,11171.595198,11049.558929
520000,46258137,11241.26551,12183.506760
530000,48060198,11027.836381,12226.919397
540000,48820027,11061.03444,12027.040395
550000,49310852,11153.731434,10930.876145
560000,49840919,11235.74788,11164.508474
570000,52268035,10905.326745,9506.071647
580000,55058185,10534.310203,6412.149227
590000,55467878,10636.786935,6496.643022
600000,56330623,10651.400039,6163.609311
610000,58171005,10486.3239,6776.249922
620000,59206356,10471.848664,9642.804021
630000,59465187,10594.434017,10006.732029
640000,60297538,10614.032036,10083.402342
650000,62046047,10476.090443,10322.468763
660000,63364409,10415.941858,9619.887000
670000,63663580,10524.070434,9527.454910
680000,64717329,10507.232151,9050.201695
690000,66376348,10395.26911,9237.233162
700000,67515683,10367.961471,9635.596205
710000,69182003,10262.784672,7248.447609
720000,70014967,10283.515523,7550.534786
730000,72035180,10133.937335,7068.596488
740000,73107919,10122.022486,7152.773953
750000,73200383,10245.848031,9954.260174
760000,73865176,10289.016302,10389.046413
770000,75972236,10135.281526,10159.875806
780000,77508983,10063.349689,9088.711275
790000,77580095,10183.024396,9133.020619
800000,78095044,10243.927899,9456.559874
810000,80168181,10103.759246,9533.013421
820000,81553791,10054.713459,9889.220947
830000,81631028,10167.702408,9874.268471
840000,82316514,10204.513763,9475.372323
850000,84220151,10092.596486,9871.741400
860000,87566754,9821.078899,6652.294385
870000,87687420,9921.605631,6604.592305
880000,88502115,9943.265198,6466.631133
890000,91440974,9733.054681,5539.534759
900000,92530121,9726.562446,8059.045402
910000,92625647,9824.492778,8100.073164
920000,93506786,9838.858112,7992.533375
930000,95480685,9740.189861,9901.698414
940000,96036095,9787.986486,11409.097729
950000,96340290,9860.879597,10768.194952
960000,97188132,9877.749271,10865.591009
970000,98799009,9817.912242,12054.278003
980000,99394999,9859.650987,11908.646392
990000,99966532,9903.314441,11030.703411
1000000,100587281,9941.614785,11767.651256
1010000,102771803,9827.598335,10068.480772
1020000,103078981,9895.324829,10857.816352
1030000,103777210,9925.107834,10496.819726
1040000,104567102,9945.766691,10050.703285
1050000,106675383,9842.945678,10247.004032
1060000,107137255,9893.85065,9856.406936
1070000,107952367,9911.778961,9580.478051
1080000,108911850,9916.276328,9206.517846
1090000,112168569,9717.517213,7281.748697
1100000,112759033,9755.316011,7115.186690
1110000,114231399,9717.118145,6370.408687
1120000,117326949,9545.97396,4753.360596
1130000,119567955,9450.692704,5405.853945
1140000,119617154,9530.405647,5832.501351
1150000,119760333,9602.51171,7234.667659
1160000,122579289,9463.262591,7615.653214
1170000,124543449,9394.31186,8039.402721
1180000,124627755,9468.195909,7983.074286
1190000,124635705,9547.825802,8204.502139
1200000,126677620,9472.865057,9760.070624
1210000,128584894,9410.125578,9897.450046
1220000,128652337,9482.921402,9938.920365
1230000,128716394,9555.892313,9802.266235
1240000,131088164,9459.282686,9069.176047
1250000,134031803,9326.144781,7343.614516
1260000,134187992,9389.811869,7225.883838
1270000,134248272,9460.084522,7230.817455
1280000,136992316,9343.589753,6774.893329
1290000,139674000,9235.791915,7089.436969
1300000,139781220,9300.247916,7151.505356
1310000,140074011,9352.198817,6866.081711
1320000,142055133,9292.166866,7900.739845
1330000,143908122,9242.007897,9447.058918
