fs      op        avg        ci
ext4    seq.write 122.549041 0.880780
ext4    seq.read  137.043596 0.233618
btrfs   seq.write 127.155461 0.489330
btrfs   seq.read  136.865748 0.036787
xfs     seq.write 124.712215 1.785829
xfs     seq.read  137.267650 0.414081
zfs     seq.write  93.211023 2.194416
zfs     seq.read  119.849897 0.883352
nilfs2  seq.write 118.203327 0.251720
nilfs2  seq.read  113.506157 0.262799
betrfs3 seq.write 115.349224 0.303636
betrfs3 seq.read  110.809080 0.914727
betrfs4 seq.write 107.425669 1.889249
betrfs4 seq.read  110.135986 0.165909
betrfs5 seq.write 118.500470 0.518513
betrfs5 seq.read  111.003528 0.413759

