files c_tp.fps
10000 15696.024511
20000 31379.09556
30000 46420.011357
40000 53291.765756
50000 36257.974035
60000 43360.151587
70000 50531.081668
80000 51646.656815
90000 36810.493445
100000 40854.613139
110000 44713.338721
120000 45731.759602
130000 35102.063299
140000 37800.905332
150000 40494.606523
160000 41099.483097
170000 32164.707521
180000 34018.298065
190000 35852.94631
200000 35685.87084
210000 29483.437539
220000 30868.224951
230000 32269.166377
240000 32288.743162
250000 27175.023675
260000 28254.14078
270000 29334.590447
280000 29371.018588
290000 25699.045041
300000 26533.773735
310000 27418.050983
320000 27445.418995
330000 24684.699712
340000 25423.577362
350000 26169.957875
360000 26324.527754
370000 24130.435307
380000 24762.117505
390000 25404.059712
400000 25550.2355
410000 23601.94457
420000 24167.220595
430000 24738.979317
440000 24865.387832
450000 22593.065355
460000 23094.774024
470000 23592.786892
480000 23684.447371
490000 21993.780159
500000 22439.959644
510000 22887.652547
520000 22960.989103
530000 21679.342401
540000 22076.531649
550000 22478.955508
560000 22590.692554
570000 21286.097814
580000 21647.397559
590000 22017.974205
600000 21985.609026
610000 20725.187211
620000 21057.464428
630000 21392.52793
640000 21429.445826
650000 20295.297199
660000 20601.830023
670000 20911.784387
680000 20953.298672
690000 20000.693357
700000 20281.767056
710000 20569.156677
720000 20616.185131
730000 19630.882401
740000 19891.779045
750000 20159.899723
760000 20204.518645
770000 19419.584434
780000 19655.442611
790000 19904.784581
800000 19908.331589
810000 19144.213478
820000 19374.010596
830000 19594.857667
840000 19711.737892
850000 18887.750587
860000 19108.353139
870000 19330.441499
880000 19425.709794
890000 18591.409144
900000 18799.131138
910000 19003.658643
920000 19101.485633
930000 18348.906228
940000 18543.255645
950000 18736.696576
960000 18696.975815
970000 18001.128355
980000 18182.099178
990000 18364.497886
1000000 18385.911832
1010000 17797.575103
1020000 17972.058312
1030000 18146.863447
1040000 18183.33134
1050000 17419.207683
1060000 17575.36528
1070000 17737.691994
1080000 17745.227043
1090000 17264.93959
1100000 17420.831349
1110000 17568.240268
1120000 17601.113446
1130000 16834.969933
1140000 16983.27438
1150000 17121.481452
1160000 17062.638535
1170000 16517.420945
1180000 16654.125028
1190000 16780.782096
1200000 16783.029471
1210000 16090.415261
1220000 16212.915232
1230000 16340.211819
1240000 16391.067175
1250000 15910.885397
1260000 15992.738992
1270000 16117.861111
1280000 16138.142703
1290000 15638.093494
1300000 15754.985065
1310000 15793.776013
1320000 15713.591323
1330000 15274.728511
1340000 15356.134251
1350000 15416.024194
1360000 15493.351723
1370000 15100.659231
1380000 15142.274673
1390000 15248.958891
1400000 15337.553702
1410000 14659.553699
1420000 14742.182229
1430000 14843.236788
1440000 14900.546766
1450000 14331.720804
1460000 14391.218959
1470000 14483.995112
1480000 14568.661744
1490000 14247.844935
1500000 14274.16241
1510000 14364.753044
1520000 14435.585923
1530000 13972.355576
1540000 14010.631777
1550000 14098.542555
1560000 14169.177987
1570000 13790.106394
1580000 13847.883766
1590000 13935.334893
1600000 13986.459254
1610000 13599.954385
1620000 13517.464339
1630000 13592.740756
1640000 13620.699191
1650000 13321.243457
1660000 13376.118002
1670000 13455.465559
1680000 13518.867342
1690000 13148.206175
1700000 13215.852079
1710000 13252.466832
1720000 13318.543658
1730000 12833.493632
1740000 12905.621744
