renames readBW negerr poserr
10000 21967.062586 0 0
20000 43679.75749 0 0
30000 32926.435757 0 0
40000 43574.788499 0 0
50000 35511.464521 0 0
60000 42496.047868 0 0
70000 32686.742864 0 0
80000 37355.440283 0 0
90000 38788.40537 0 0
100000 42867.529047 0 0
110000 33548.419366 0 0
120000 36591.166892 0 0
130000 36591.558271 0 0
140000 39129.338675 0 0
150000 32434.213684 0 0
160000 34538.854484 0 0
170000 34663.875613 0 0
180000 36555.868537 0 0
190000 30090.267636 0 0
200000 31657.461205 0 0
210000 31441.197101 0 0
220000 32845.498062 0 0
230000 27013.964458 0 0
240000 28181.176313 0 0
250000 27990.264314 0 0
260000 29075.944129 0 0
270000 25075.800896 0 0
280000 25998.840637 0 0
290000 26002.567081 0 0
300000 26845.363725 0 0
310000 23925.73452 0 0
320000 24689.929209 0 0
330000 24747.238827 0 0
340000 25461.432295 0 0
350000 23256.248173 0 0
360000 23918.50487 0 0
370000 24031.793153 0 0
380000 24671.691208 0 0
390000 22969.689963 0 0
400000 23553.300353 0 0
410000 23669.702123 0 0
420000 24220.215738 0 0
430000 22781.464195 0 0
440000 23301.204503 0 0
450000 23446.176306 0 0
460000 23947.340008 0 0
470000 22605.820008 0 0
480000 23080.698103 0 0
490000 23224.811531 0 0
500000 23683.059654 0 0
510000 22573.851018 0 0
520000 23010.713833 0 0
530000 23133.597705 0 0
540000 23562.762057 0 0
550000 22546.239468 0 0
560000 22948.698799 0 0
570000 23075.788907 0 0
580000 23463.504541 0 0
590000 22494.440537 0 0
600000 22872.028409 0 0
610000 22975.395009 0 0
620000 23319.278954 0 0
630000 22355.756666 0 0
640000 22697.516895 0 0
650000 22758.202398 0 0
660000 23089.266147 0 0
670000 21793.897325 0 0
680000 22119.060658 0 0
690000 22116.312508 0 0
700000 22324.054638 0 0
710000 21266.174236 0 0
720000 21555.3154 0 0
730000 21610.871393 0 0
740000 21881.40715 0 0
750000 20978.888944 0 0
760000 21251.575762 0 0
770000 21242.07019 0 0
780000 21505.124354 0 0
790000 20650.069413 0 0
800000 20906.401752 0 0
810000 20945.67932 0 0
820000 21179.975707 0 0
830000 20404.755616 0 0
840000 20644.615334 0 0
850000 20672.244865 0 0
860000 20905.501881 0 0
870000 20065.03331 0 0
880000 20293.095952 0 0
890000 20278.673172 0 0
900000 20485.115765 0 0
910000 19635.044083 0 0
920000 19848.890397 0 0
930000 19812.890471 0 0
940000 20010.048876 0 0
950000 19292.794001 0 0
960000 19487.784296 0 0
970000 19537.238944 0 0
980000 19723.320456 0 0
990000 19051.408069 0 0
1000000 19242.549371 0 0
