files c_tp.fps
10000 14241.991372
20000 28480.859438
30000 42668.001701
40000 49155.689587
50000 30099.213026
60000 36076.142306
70000 42008.914292
80000 43540.613868
90000 31785.73308
100000 35268.218327
110000 38740.142395
120000 39807.926753
130000 32068.486446
140000 34470.422285
150000 36764.264351
160000 36351.458625
170000 29694.032687
180000 31434.997141
190000 33011.551784
200000 33633.512432
210000 28482.018285
220000 29838.268447
230000 31034.772168
240000 31388.994391
250000 27284.021866
260000 28372.050998
270000 29307.547323
280000 29592.677926
290000 26410.067664
300000 27295.856789
310000 28111.164603
320000 28241.823793
330000 25582.571354
340000 26349.43599
350000 27010.822619
360000 27273.737641
370000 24719.769676
380000 24623.059832
390000 25264.925417
400000 25505.626733
410000 23250.994944
420000 23742.553388
430000 24303.288308
440000 24208.091434
450000 22744.920718
460000 23189.767666
470000 23685.492938
480000 23893.416249
490000 22431.387536
500000 22829.80345
510000 23263.783895
520000 23448.368474
530000 22325.928735
540000 22701.232235
550000 23113.871328
560000 23303.071382
570000 21965.311994
580000 22336.66468
590000 22709.225192
600000 22868.795924
610000 21730.340721
620000 21960.343162
630000 22312.447938
640000 22545.206574
650000 20406.818402
660000 20675.546542
670000 20988.079961
680000 21128.520909
690000 20381.792927
700000 20656.261223
710000 20948.359373
720000 21083.08122
730000 20324.255964
740000 20584.706931
750000 20858.079707
760000 21008.755288
770000 20267.810424
780000 20510.752986
790000 20772.587211
800000 20885.808928
810000 20166.078863
820000 20369.433965
830000 20617.102159
840000 20715.382044
850000 19912.097693
860000 20040.113783
870000 20259.812299
880000 20356.701693
890000 19793.523306
900000 19874.773908
910000 20089.873706
920000 20235.577312
930000 19653.890342
940000 19787.954386
950000 19985.803348
960000 19988.815425
970000 19458.036708
980000 19563.913188
990000 19758.591525
1000000 19843.867262
1010000 19187.689361
1020000 19326.767222
1030000 19509.510451
1040000 19577.729828
1050000 19028.817023
1060000 19136.511842
1070000 19307.547965
1080000 19392.343781
1090000 18722.667804
1100000 18853.279443
1110000 19016.5458
1120000 19126.959171
1130000 18001.440848
1140000 18096.086888
1150000 18245.144555
1160000 18343.506705
1170000 17955.909954
1180000 18030.936748
1190000 18170.44784
1200000 18242.639973
1210000 17798.800564
1220000 17879.132201
1230000 18013.383856
