files c_tp.fps
10000 25159.004911
20000 39912.830378
30000 25976.050082
40000 24470.698785
50000 29286.984922
60000 35124.713221
70000 20009.707567
80000 19829.392861
90000 21828.733696
100000 24188.423952
110000 17013.962895
120000 16339.386486
130000 17567.249458
140000 18875.309302
150000 14484.734538
160000 15262.678325
170000 16122.944088
180000 17062.170949
190000 13875.27327
200000 13807.944608
210000 14412.004623
220000 15098.116483
230000 9715.440657
240000 10122.476482
250000 8857.971811
260000 9204.470371
270000 7632.848239
280000 7164.428836
290000 7402.790071
300000 7656.229575
310000 5701.421521
320000 5884.02686
330000 6060.855507
340000 6243.667154
350000 5113.977033
360000 5258.306569
370000 5004.472781
380000 5137.335859
390000 4618.797716
400000 4736.357526
410000 4848.079115
420000 4965.30998
430000 4156.957231
440000 4253.601582
450000 4098.902995
460000 4187.820471
470000 3534.157975
480000 3608.634425
490000 3499.543859
500000 3569.813154
510000 3171.747733
520000 3232.334785
530000 3292.565246
540000 3104.160841
550000 2826.321869
560000 2768.527997
570000 2817.211128
580000 2865.424895
590000 2501.827012
600000 2543.463176
610000 2585.560444
620000 2524.509383
630000 2231.806963
640000 2256.476984
650000 2291.664692
660000 2223.125268
670000 2064.578868
680000 2065.608432
690000 2095.868869
700000 2035.926263
710000 1880.195226
720000 1906.179013
730000 1932.617169
740000 1813.230736
750000 1706.562483
760000 1728.83784
770000 1682.314298
780000 1628.746786
790000 1571.923251
800000 1514.125569
810000 1532.876833
820000 1497.118075
830000 1397.63125
840000 1363.6437
850000 1379.656771
860000 1387.236353
870000 1342.618357
880000 1316.124599
890000 1330.927214
900000 1300.470703
910000 1175.473115
920000 1188.377996
930000 1162.211381
940000 1137.585525
950000 1046.533465
960000 1057.548591
970000 1045.375704
980000 1055.179829
990000 1014.18509
1000000 1024.396947
1010000 1034.451826
1020000 999.594724
1030000 1001.039968
1040000 1010.657478
1050000 1017.026082
1060000 1023.301865
1070000 1026.887417
1080000 1036.403115
1090000 1013.391494
1100000 1007.608126
1110000 1011.082538
1120000 1019.869853
1130000 1023.350283
1140000 1016.445617
1150000 1016.912004
1160000 992.735907
1170000 1001.071343
1180000 994.471388
1190000 1002.38718
1200000 1002.705931
1210000 1010.714891
1220000 1018.298772
1230000 1016.120213
1240000 1022.852227
1250000 1030.956045
1260000 989.501074
1270000 980.944468
1280000 988.630943
1290000 989.060993
1300000 988.499362
1310000 996.02553
1320000 990.745721
1330000 997.538571
1340000 954.992732
1350000 962.0068
1360000 969.054133
1370000 965.93589
1380000 965.286971
1390000 971.930582
1400000 978.884729
1410000 975.735858
1420000 958.265387
1430000 942.898491
1440000 949.449236
1450000 955.694393
1460000 943.585231
1470000 949.986654
1480000 944.05666
1490000 926.385677
1500000 917.844925
1510000 923.9199
1520000 919.100944
1530000 913.230438
1540000 890.802123
1550000 896.521005
1560000 902.30087
1570000 888.516152
1580000 882.980307
1590000 888.519507
1600000 894.104736
1610000 858.777813
1620000 851.021011
1630000 856.240936
1640000 861.476452
1650000 817.636474
1660000 805.403022
1670000 810.21942
1680000 815.067685
1690000 808.504132
1700000 788.888896
1710000 793.175763
1720000 797.813487
1730000 767.763695
1740000 762.728026
1750000 767.108961
1760000 771.472831
1770000 729.386352
1780000 733.358538
1790000 721.983778
1800000 725.988754
1810000 706.804019
1820000 710.650704
1830000 714.550957
1840000 718.247589
1850000 684.952305
1860000 669.50753
1870000 673.1007
1880000 676.678025
1890000 646.955468
1900000 650.05575
1910000 653.471951
1920000 656.886007
1930000 628.659828
1940000 614.1058
1950000 617.26656
1960000 606.834081
1970000 609.475928
1980000 596.503572
1990000 587.383183
2000000 590.326307
2010000 567.852896
2020000 558.21574
2030000 560.970804
2040000 563.583086
2050000 542.974761
2060000 534.931618
2070000 537.520665
2080000 540.112651
2090000 511.381162
2100000 513.627187
2110000 516.07278
2120000 508.93011
2130000 491.34507
2140000 484.469609
2150000 486.638182
2160000 488.894542
2170000 465.360357
2180000 467.487546
2190000 461.247212
2200000 463.350578
2210000 448.344743
2220000 450.227733
2230000 452.252636
2240000 454.267635
2250000 453.843777
2260000 454.169572
2270000 455.9425
2280000 457.206294
2290000 452.931739
2300000 454.819186
2310000 456.739641
2320000 455.799731
2330000 457.51626
2340000 459.428134
2350000 461.26431
2360000 463.118792
2370000 464.98315
2380000 464.585263
2390000 466.521938
2400000 468.356229
2410000 461.54081
2420000 459.837829
2430000 461.632679
2440000 463.313466
2450000 464.807315
2460000 462.492532
2470000 463.557176
2480000 464.217187
2490000 460.839811
2500000 461.526676
2510000 463.298876
2520000 464.925367
2530000 466.507298
2540000 460.970591
2550000 458.596639
2560000 460.384262
2570000 460.58108
2580000 460.821204
2590000 460.242121
2600000 458.462649
2610000 460.047042
2620000 455.78084
2630000 457.354654
2640000 458.41764
2650000 455.933713
2660000 451.256124
2670000 450.283264
2680000 451.308163
2690000 451.52799
2700000 446.128743
2710000 446.79092
2720000 448.238
2730000 442.624173
2740000 440.890657
2750000 440.417396
2760000 441.479019
2770000 438.565728
2780000 433.011483
2790000 433.431671
2800000 434.679688
2810000 431.630037
2820000 421.802299
2830000 422.380435
2840000 423.811728
2850000 422.38949
2860000 416.197549
2870000 416.611221
2880000 416.543449
2890000 413.709333
2900000 406.882049
2910000 405.926765
2920000 406.28095
2930000 403.360691
2940000 394.699072
2950000 394.514733
2960000 393.945758
