files c_tp.fps
10000 80.123541
20000 112.707182
30000 169.035226
40000 225.372742
50000 164.079338
60000 152.986283
70000 165.228450
80000 174.870938
90000 157.762502
100000 155.007035
110000 149.464747
120000 156.299429
130000 156.045926
140000 144.149320
150000 149.074993
160000 153.436770
170000 152.273898
180000 139.838785
190000 144.114047
200000 148.716081
210000 152.756619
220000 143.523016
230000 150.014579
240000 152.931567
250000 144.605729
260000 144.547177
270000 150.105273
280000 152.596975
290000 144.402597
300000 146.923139
310000 149.955788
320000 150.128073
330000 147.302453
340000 149.504529
350000 147.258961
360000 146.890048
370000 142.833865
380000 146.694225
390000 145.463317
400000 147.283610
410000 145.107567
420000 146.683432
430000 143.108611
440000 143.026496
450000 144.510135
460000 147.720721
470000 141.486289
480000 141.413549
490000 144.358434
500000 145.777980
510000 140.568043
520000 143.272825
530000 144.019367
540000 144.393535
550000 141.643658
560000 143.056337
570000 142.685717
580000 145.187988
590000 143.180864
600000 145.607319
610000 141.834145
620000 144.159174
630000 144.188924
640000 144.735834
650000 142.630140
660000 144.824068
670000 143.534120
680000 142.361731
690000 143.461788
700000 144.719597
710000 143.989601
720000 143.082131
730000 143.100615
740000 145.057779
750000 143.398026
760000 143.649586
770000 142.819685
780000 143.675691
790000 143.655617
800000 142.750191
810000 141.881330
820000 142.799039
830000 143.644826
840000 142.754058
850000 143.623300
860000 142.839493
870000 143.721858
880000 142.326677
890000 143.157925
900000 142.563471
910000 143.352258
920000 141.700730
930000 142.393725
940000 143.923344
950000 142.458024
960000 141.378811
970000 142.850834
980000 144.323399
990000 143.117985
1000000 142.497939
1010000 143.185814
1020000 143.455441
1030000 142.922965
1040000 143.282986
1050000 143.143055
1060000 143.795340
1070000 143.062748
1080000 141.811109
1090000 143.123383
1100000 142.548504
1110000 143.161107
1120000 142.692367
1130000 143.375629
1140000 142.138069
1150000 142.756942
1160000 142.830225
1170000 143.492206
1180000 142.306586
1190000 142.499293
1200000 143.107136
1210000 143.762000
1220000 142.634518
1230000 142.026508
1240000 142.729162
1250000 143.880138
1260000 143.330116
1270000 142.730488
1280000 142.212317
1290000 142.953455
1300000 143.089537
1310000 144.172409
1320000 142.525359
1330000 142.507363
1340000 142.442456
1350000 142.946559
1360000 142.528477
1370000 142.900112
1380000 142.235681
1390000 143.266014
1400000 142.986958
1410000 144.008098
1420000 142.982231
1430000 143.985155
1440000 143.496131
1450000 143.993871
1460000 143.032850
1470000 143.485669
1480000 143.461630
1490000 143.154125
1500000 142.724616
1510000 143.251079
1520000 144.199594
1530000 143.685945
1540000 142.673221
1550000 143.135845
1560000 143.178390
1570000 143.719400
1580000 142.513085
1590000 142.963531
1600000 143.862640
1610000 143.473136
1620000 142.606259
1630000 143.092104
1640000 143.969937
1650000 144.843756
1660000 142.413015
1670000 142.888595
1680000 143.481010
1690000 144.334863
1700000 142.558291
1710000 143.396784
1720000 143.846012
1730000 144.682262
1740000 142.423877
1750000 143.242088
1760000 144.058906
1770000 144.877370
1780000 143.325830
1790000 143.742217
1800000 143.671279
1810000 144.468529
1820000 143.766963
1830000 143.959940
1840000 144.373942
1850000 143.796412
1860000 144.157044
1870000 144.503399
1880000 143.686913
1890000 143.672014
1900000 143.746074
1910000 144.180147
1920000 143.465946
1930000 143.854891
1940000 143.898813
1950000 144.413787
1960000 143.549161
1970000 143.923644
1980000 144.057201
1990000 144.784666
2000000 143.754743
2010000 144.236018
2020000 144.615782
2030000 145.331689
2040000 143.789019
2050000 144.201697
2060000 144.552429
2070000 145.254051
2080000 144.082086
2090000 144.409663
2100000 144.424814
2110000 145.112216
2120000 144.617225
2130000 144.171391
2140000 144.848016
2150000 145.162243
2160000 144.401271
2170000 144.760544
2180000 145.076127
2190000 145.397526
2200000 144.013432
2210000 144.668021
2220000 144.978237
2230000 144.945523
2240000 144.068935
2250000 144.440981
2260000 145.068435
2270000 145.096521
2280000 144.679713
2290000 144.378485
2300000 144.768492
2310000 145.074496
2320000 144.727391
2330000 144.431520
2340000 144.498384
2350000 145.113551
2360000 144.598233
2370000 144.311750
2380000 144.681828
2390000 145.061765
2400000 145.668358
2410000 144.627983
2420000 144.701951
2430000 144.740083
2440000 145.335673
2450000 144.239942
2460000 144.821909
2470000 145.139818
2480000 145.146517
2490000 144.241390
2500000 144.538913
2510000 145.117022
2520000 145.205971
2530000 144.460087
2540000 144.730511
2550000 144.988082
2560000 144.648336
2570000 144.612560
2580000 144.281241
2590000 144.840468
2600000 144.430174
2610000 144.257261
2620000 144.809440
2630000 145.362140
2640000 144.473944
2650000 144.212653
2660000 144.756836
2670000 144.731358
2680000 144.472554
2690000 144.507465
2700000 144.788772
2710000 144.625911
2720000 144.174422
2730000 144.465659
2740000 144.752266
2750000 145.280544
2760000 144.103650
2770000 144.613666
2780000 144.879760
2790000 145.141942
2800000 144.380005
2810000 144.724508
2820000 145.036056
2830000 145.267014
2840000 144.282237
2850000 144.790264
2860000 145.293998
2870000 144.833985
2880000 144.203542
2890000 144.704206
2900000 145.204825
2910000 144.664081
2920000 144.303717
2930000 144.797681
2940000 144.540140
2950000 144.521981
2960000 144.587897
