files c_tp.fps
10000 10073.709331
20000 5460.582377
30000 8185.746596
40000 8552.212971
50000 10688.396890
60000 9152.551525
70000 10676.032292
80000 10072.342079
90000 11325.782225
100000 9851.062767
110000 10834.774030
120000 10864.569877
130000 11643.359944
140000 10714.896354
150000 11361.584393
160000 11283.592577
170000 11648.460694
180000 11162.559486
190000 11626.498847
200000 11441.375963
210000 11927.294620
220000 11337.907629
230000 11739.838442
240000 11561.490026
250000 12040.794791
260000 11513.428178
270000 11887.296803
280000 11767.582512
290000 12119.648851
300000 11540.133082
310000 11922.589014
320000 11805.968175
330000 12172.916051
340000 11742.394520
350000 12037.910614
360000 11995.895005
370000 12258.280377
380000 11780.404091
390000 12089.227801
400000 12017.650564
410000 12253.235160
420000 11952.373548
430000 12120.888214
440000 12081.025571
450000 12248.047124
460000 11948.654346
470000 12166.527455
480000 12178.687221
490000 12380.041503
500000 12054.712192
510000 12250.063280
520000 12118.637546
530000 12314.862024
540000 12102.810416
550000 12287.761318
560000 12208.340564
570000 12391.617101
580000 12099.819337
590000 12307.596286
600000 12247.876193
610000 12409.249228
620000 12187.584060
630000 12383.834473
640000 12265.148282
650000 12427.067453
660000 12154.675315
670000 12309.091276
680000 12290.427649
690000 12470.654201
700000 12212.839931
710000 12357.960689
720000 12231.887849
730000 12400.771532
740000 12216.610139
750000 12352.954750
760000 12334.243790
770000 12470.949369
780000 12253.939905
790000 12378.893485
800000 12336.778636
810000 12465.941240
820000 12293.248179
830000 12418.298072
840000 12379.524749
850000 12497.892819
860000 12290.152084
870000 12382.255778
880000 12369.360924
890000 12509.166830
900000 12319.019235
910000 12413.807253
920000 12427.610855
930000 12511.952446
940000 12330.801238
950000 12461.509022
960000 12426.351378
970000 12504.128780
980000 12407.143922
990000 12451.863016
1000000 12401.518918
1010000 12507.857040
1020000 12403.166382
1030000 12461.873624
1040000 12482.642076
1050000 12555.019834
1060000 12451.538114
1070000 12503.262534
1080000 12438.908976
1090000 12537.272939
1100000 12463.076437
1110000 12493.697858
1120000 12503.915428
1130000 12558.590688
1140000 12479.523865
1150000 12514.333673
1160000 12517.814144
1170000 12569.289416
1180000 12488.138121
1190000 12576.440849
1200000 12555.065340
1210000 12579.804042
1220000 12466.337950
1230000 12551.174608
1240000 12554.070712
1250000 12585.175841
1260000 12515.560020
1270000 12597.631020
1280000 12569.289435
1290000 12556.082008
1300000 12550.681947
1310000 12630.878317
1320000 12570.883115
1330000 12621.440559
1340000 12556.442615
1350000 12633.420856
1360000 12586.148834
1370000 12617.805636
1380000 12538.337557
1390000 12628.952852
1400000 12614.332253
1410000 12671.121360
1420000 12566.733781
1430000 12568.234417
1440000 12626.476965
1450000 12672.975629
1460000 12569.937605
1470000 12586.134647
1480000 12671.576897
1490000 12727.412379
1500000 12550.730366
1510000 12591.646863
1520000 12674.703485
1530000 12709.053125
1540000 12571.183510
1550000 12622.892409
1560000 12703.690133
1570000 12706.397007
1580000 12574.219530
1590000 12639.742288
1600000 12706.567491
1610000 12715.666088
1620000 12601.153622
1630000 12678.728753
1640000 12723.146535
1650000 12700.282591
1660000 12604.696718
1670000 12654.537765
1680000 12717.309390
1690000 12728.761068
1700000 12627.203289
1710000 12670.729841
1720000 12744.455702
1730000 12731.578677
1740000 12648.003263
1750000 12691.241968
1760000 12723.729432
1770000 12780.091131
1780000 12673.227806
1790000 12664.911117
1800000 12716.182700
1810000 12763.615195
1820000 12668.086188
1830000 12703.260498
1840000 12736.615425
1850000 12792.722471
1860000 12666.232469
1870000 12700.214812
1880000 12743.097115
1890000 12791.381322
1900000 12685.284097
1910000 12717.011134
1920000 12760.331447
1930000 12805.076044
1940000 12684.318845
1950000 12712.948239
1960000 12753.938231
1970000 12807.844507
1980000 12712.409842
1990000 12735.912703
2000000 12764.809402
2010000 12816.011276
2020000 12698.427067
2030000 12751.091366
2040000 12761.030555
2050000 12823.315264
2060000 12726.772474
2070000 12755.661508
2080000 12763.890208
2090000 12814.649933
2100000 12719.996119
2110000 12742.763305
2120000 12782.866752
2130000 12833.667214
2140000 12735.603381
2150000 12733.011369
2160000 12771.775096
2170000 12830.335084
2180000 12734.697109
2190000 12758.701535
2200000 12806.369022
2210000 12839.847002
2220000 12714.300247
2230000 12743.408168
2240000 12792.649417
2250000 12841.133779
2260000 12753.306340
2270000 12770.244103
2280000 12806.393167
2290000 12838.989047
2300000 12761.627159
2310000 12770.044284
2320000 12806.603544
2330000 12842.968724
2340000 12770.003371
2350000 12783.120484
2360000 12817.235680
2370000 12850.274769
2380000 12771.539703
2390000 12792.211853
2400000 12805.065069
2410000 12858.040679
2420000 12785.260627
2430000 12800.629568
2440000 12797.307279
2450000 12841.688032
2460000 12786.774807
2470000 12819.547063
2480000 12812.145583
2490000 12863.690697
2500000 12791.686394
2510000 12808.729221
2520000 12809.462704
2530000 12859.964773
2540000 12791.222264
2550000 12813.378236
2560000 12834.365297
2570000 12875.243073
2580000 12783.451546
2590000 12809.612349
2600000 12827.800124
2610000 12876.724168
2620000 12809.896766
2630000 12830.187810
2640000 12851.718681
2650000 12871.437570
2660000 12796.129127
2670000 12827.235078
2680000 12845.954435
2690000 12867.975054
2700000 12792.755639
2710000 12840.041310
2720000 12853.043938
2730000 12881.193562
2740000 12804.604065
2750000 12850.940132
2760000 12847.981947
2770000 12884.510062
2780000 12816.109396
2790000 12851.702737
2800000 12850.935409
2810000 12863.941211
2820000 12808.878497
2830000 12854.119699
2840000 12856.239726
2850000 12891.861707
2860000 12829.573059
2870000 12864.482329
2880000 12852.058663
2890000 12882.015673
2900000 12824.477069
2910000 12868.324730
2920000 12858.859559
2930000 12895.357636
2940000 12819.241573
2950000 12857.185638
2960000 12848.765524
