files c_tp.fps
10000 4171.832786
20000 8335.865352
30000 12369.476256
40000 16440.4664
50000 18933.556093
60000 22719.828541
70000 25168.530276
80000 25545.744925
90000 14545.67082
100000 16156.641874
110000 16556.224109
120000 17407.617051
130000 4865.583029
140000 5239.014507
150000 5608.314214
160000 5979.052688
170000 5836.399474
180000 6178.282794
190000 6463.396916
200000 6751.656063
210000 6437.416373
220000 6742.946556
230000 6935.163847
240000 7147.047738
250000 4338.106841
260000 4508.961048
270000 4592.963417
280000 4688.309466
290000 3168.531768
300000 3277.739341
310000 3345.313513
320000 3425.638923
330000 2600.321425
340000 2664.421594
350000 2723.689646
360000 2676.066519
370000 2370.971993
380000 2373.093175
390000 2417.56617
400000 2439.082423
410000 2115.553274
420000 2166.100417
430000 2208.044749
440000 2251.834886
450000 1932.000379
460000 1973.825038
470000 2010.612991
480000 2047.10895
490000 1834.898898
500000 1835.029888
510000 1867.215544
520000 1902.619527
530000 1816.241038
540000 1720.054575
550000 1718.194599
560000 1716.628037
570000 1586.125456
580000 1547.962377
590000 1553.789045
600000 1580.112498
610000 1523.230901
620000 1441.452125
630000 1462.24477
640000 1483.412094
650000 1383.921516
660000 1307.668332
670000 1327.270065
680000 1346.794678
690000 1303.237035
700000 1266.91836
710000 1284.532213
720000 1265.042393
730000 1219.80077
740000 1217.631855
750000 1230.44851
760000 1204.215411
770000 1183.457628
780000 1194.80885
790000 1208.969185
800000 1223.518465
810000 1170.399521
820000 1159.661724
830000 1166.506473
840000 1180.558485
850000 1175.188863
860000 1155.27441
870000 1166.831983
880000 1122.679432
890000 1118.579458
900000 1128.803802
910000 1138.789895
920000 1121.37147
930000 1092.125892
940000 1089.398508
950000 1099.120112
960000 1098.992795
970000 1080.824625
980000 1091.85861
990000 1082.336208
1000000 1092.57636
1010000 1081.916811
1020000 1092.523258
1030000 1072.217663
1040000 1082.246919
1050000 1055.349816
1060000 1063.656691
1070000 1046.791371
1080000 1055.728011
1090000 1064.89921
1100000 1047.707228
1110000 1012.814809
1120000 1010.443244
1130000 1014.353387
1140000 994.69277
1150000 987.005152
1160000 994.850865
1170000 1003.211702
1180000 992.151041
1190000 965.993032
1200000 973.040196
1210000 980.385771
1220000 985.838222
1230000 963.772362
1240000 965.510238
1250000 973.145359
1260000 962.076192
1270000 943.117338
1280000 950.509267
1290000 957.196106
1300000 959.633007
1310000 956.482338
1320000 949.795202
1330000 956.95484
1340000 957.331317
1350000 942.277934
1360000 948.769243
1370000 955.744383
1380000 961.546009
1390000 953.423867
1400000 938.60533
1410000 944.99595
1420000 950.463885
1430000 943.48638
1440000 933.392194
1450000 939.865591
1460000 945.435041
1470000 930.960542
1480000 922.251741
1490000 928.034668
1500000 933.546195
1510000 924.873897
1520000 904.633837
1530000 910.110894
1540000 913.664231
1550000 906.66181
1560000 895.507821
1570000 901.21981
1580000 906.956889
1590000 904.13529
1600000 884.452136
1610000 889.677346
1620000 894.97832
1630000 890.229946
1640000 876.982966
1650000 879.936514
1660000 882.806464
1670000 886.472972
1680000 875.777948
1690000 875.109192
1700000 879.974235
1710000 884.67808
1720000 874.348719
1730000 869.69629
1740000 874.184266
1750000 873.211295
1760000 864.696336
1770000 866.563004
1780000 867.646269
1790000 859.839973
1800000 861.947529
1810000 866.499896
1820000 864.380773
1830000 855.928507
1840000 851.234889
1850000 855.730523
1860000 859.996181
1870000 864.432175
1880000 839.98056
1890000 841.518062
1900000 845.748476
1910000 850.114425
1920000 844.068658
1930000 848.017605
1940000 837.403988
1950000 840.336073
1960000 831.568928
1970000 835.039696
1980000 828.17363
1990000 832.298683
2000000 835.748706
2010000 839.359574
2020000 831.163058
2030000 835.271115
2040000 835.643578
2050000 838.16406
2060000 830.776767
2070000 834.756672
2080000 829.07912
2090000 822.960533
2100000 822.517259
2110000 826.433088
2120000 821.014252
2130000 819.718207
2140000 823.104851
2150000 826.909742
2160000 820.122396
2170000 812.624532
2180000 813.311601
2190000 816.773161
2200000 809.975145
2210000 809.804641
2220000 805.955271
2230000 809.456206
2240000 803.604957
2250000 801.321149
2260000 802.752964
2270000 806.176196
2280000 802.002132
2290000 796.859943
2300000 795.613234
2310000 798.699762
2320000 801.219554
2330000 795.282317
2340000 798.205688
2350000 801.385137
2360000 793.130398
2370000 794.786592
2380000 790.918603
2390000 793.609524
2400000 786.662802
2410000 781.089935
2420000 775.24133
2430000 778.35725
2440000 780.202744
2450000 765.912533
2460000 768.703294
2470000 765.090554
2480000 768.083539
2490000 753.014966
2500000 749.130912
2510000 750.331219
2520000 753.036632
2530000 739.316647
2540000 735.786926
2550000 735.280266
2560000 737.720813
2570000 726.818456
2580000 719.937246
2590000 719.425191
2600000 719.073447
2610000 708.50404
2620000 709.298166
2630000 710.993742
2640000 708.138582
2650000 697.463364
2660000 693.86293
2670000 696.322593
2680000 698.905793
2690000 686.509092
2700000 682.674161
2710000 682.876913
2720000 685.003804
2730000 677.046602
2740000 675.975655
2750000 676.776643
2760000 679.020209
2770000 666.739971
2780000 662.029731
2790000 662.6784
2800000 665.022941
2810000 657.567282
2820000 656.651162
2830000 657.26534
2840000 659.376604
2850000 652.621113
2860000 649.03806
2870000 647.627429
2880000 648.86264
2890000 644.014027
2900000 644.039666
2910000 641.093489
2920000 641.189452
2930000 635.710859
2940000 636.715721
2950000 632.856799
2960000 629.540618
