files c_tp.fps
10000 5085.758604
20000 9933.786347
30000 14889.408915
40000 17122.833212
50000 11166.085472
60000 13291.267947
70000 15337.10407
80000 16822.095823
90000 13207.777268
100000 14436.70156
110000 15679.47951
120000 16617.692941
130000 13992.050363
140000 14873.066873
150000 15863.341753
160000 16683.856252
170000 14754.747883
180000 15458.031787
190000 16164.525604
200000 16905.193309
210000 14944.851363
220000 15360.679579
230000 16049.002209
240000 16623.010485
250000 15372.280667
260000 15689.401978
270000 16271.275672
280000 16871.568858
290000 15343.171728
300000 15598.532864
310000 16108.735419
320000 16485.273705
330000 15471.24498
340000 15711.166652
350000 16164.720534
360000 16560.63414
370000 15699.463723
380000 15916.008376
390000 16329.928194
400000 16610.372729
410000 13791.459608
420000 14009.18816
430000 14266.898096
440000 14522.637921
450000 14077.957157
460000 14268.801325
470000 14471.209682
480000 14679.182341
490000 14371.341925
500000 14645.877761
510000 14871.762975
520000 15072.921199
530000 14647.0414
540000 14906.157046
550000 15140.326742
560000 15277.311994
570000 14448.099701
580000 14646.193544
590000 14825.43813
600000 14965.139456
610000 14350.919554
620000 14540.967911
630000 14692.68603
640000 14779.229714
650000 14232.325237
660000 14403.499684
670000 14559.126929
680000 14663.376004
690000 14270.07275
700000 14400.003884
710000 14557.409142
720000 14608.144142
730000 14303.220196
740000 14486.038014
750000 14606.106322
760000 14694.326778
770000 14316.912671
780000 14492.978208
790000 14587.051647
800000 14620.11816
810000 14323.419994
820000 14493.294112
830000 14468.46116
840000 14407.700463
850000 14093.241816
860000 14247.377244
870000 14297.662812
880000 14321.32836
890000 14199.6249
900000 14325.697079
910000 14321.503205
920000 14387.177847
930000 14124.173016
940000 14210.738602
950000 14186.613431
960000 14248.809657
970000 14096.866721
980000 14168.884193
990000 14217.818152
1000000 14272.915966
1010000 14084.807162
1020000 14072.624982
1030000 13887.231634
1040000 13932.855533
1050000 13799.761958
1060000 13862.220461
1070000 13950.048735
1080000 14005.598608
1090000 13922.620197
1100000 13965.573288
1110000 14054.075804
1120000 14012.677269
1130000 13913.575224
1140000 13983.251818
1150000 14083.220321
1160000 14137.178158
1170000 14016.98372
1180000 14012.0458
1190000 14114.469008
1200000 13959.184856
1210000 12257.844757
1220000 12031.582984
1230000 12117.496089
1240000 12182.439538
1250000 12131.390137
1260000 12162.812685
1270000 12253.710904
1280000 12290.270495
1290000 11619.679984
1300000 11339.357155
1310000 11382.353166
1320000 11305.155348
1330000 11101.660232
1340000 11115.087566
1350000 11194.616965
1360000 11238.773199
1370000 11137.288979
1380000 11153.91881
1390000 11226.201211
1400000 11246.33228
1410000 11138.855639
1420000 11158.307697
1430000 11235.056658
1440000 11253.975027
1450000 11196.393483
1460000 11190.46625
1470000 11260.408208
1480000 11260.797716
1490000 11212.791987
1500000 11217.091857
1510000 11285.070768
1520000 11318.482506
1530000 11274.396468
1540000 11293.235888
1550000 11349.318333
1560000 11387.05373
1570000 11303.153529
1580000 11341.040906
1590000 11390.411238
1600000 11400.805743
1610000 11301.22184
1620000 11336.37967
1630000 11355.211547
1640000 11388.8601
1650000 11272.468489
1660000 11287.54611
1670000 11333.981067
1680000 11365.341934
1690000 11305.513315
1700000 11352.353596
1710000 11412.238104
1720000 11436.385938
1730000 11363.551719
1740000 11402.619665
1750000 11453.586585
1760000 11493.616416
1770000 11308.438175
1780000 11338.075532
1790000 11400.371586
1800000 11443.768972
1810000 11277.695551
1820000 11227.816795
1830000 11286.056569
1840000 11286.771996
1850000 10208.841723
1860000 10213.551973
1870000 10268.352803
1880000 10308.141154
1890000 10156.35035
1900000 10172.20352
1910000 10222.218671
1920000 10270.120044
1930000 10190.141386
1940000 10213.875499
1950000 10254.729586
1960000 10305.668223
1970000 10207.052812
1980000 10219.656391
1990000 10261.205218
2000000 10311.801181
2010000 10252.394781
2020000 10229.459125
2030000 10263.811246
2040000 10312.681254
2050000 10283.914963
2060000 10279.07458
2070000 10305.736706
2080000 10344.09297
2090000 10270.048165
2100000 10151.871711
2110000 10183.499518
2120000 10225.768521
2130000 10165.997616
2140000 10174.907564
2150000 10209.134306
2160000 10252.325683
2170000 10185.767512
2180000 10196.423767
2190000 10226.529441
2200000 10271.391164
2210000 10208.392602
2220000 10195.285926
2230000 10224.594872
2240000 10264.52172
2250000 10216.837853
2260000 10114.866075
2270000 10048.87227
2280000 9992.418559
2290000 9945.06619
2300000 9899.729428
2310000 9909.946344
2320000 9921.290893
2330000 9628.905057
2340000 9622.79408
2350000 9643.365646
2360000 9660.934204
2370000 9646.071435
2380000 9613.194227
2390000 9635.712534
2400000 9627.984121
2410000 9586.839174
2420000 9587.84782
2430000 9618.73374
2440000 9643.406509
2450000 9623.598704
2460000 9559.493711
2470000 9590.335985
2480000 9608.094317
2490000 9585.334946
2500000 9582.038128
2510000 9610.405347
2520000 9622.186526
2530000 9595.493586
2540000 9596.230589
2550000 9619.660213
2560000 9628.386952
2570000 9576.893551
2580000 9562.354815
2590000 9588.937716
2600000 9588.975782
2610000 9555.543832
2620000 9557.98263
2630000 9576.826893
2640000 9557.235611
2650000 9546.046718
2660000 9521.101311
2670000 9546.200548
2680000 9549.717732
2690000 9532.145266
2700000 9503.798848
2710000 9509.06878
2720000 9333.391411
2730000 8801.377647
2740000 8426.325498
2750000 8436.622959
2760000 8379.120292
2770000 8367.115638
2780000 8359.442835
2790000 8378.148948
2800000 8396.788791
2810000 8391.71215
2820000 8389.791997
2830000 8406.39578
2840000 8423.782012
2850000 8378.870707
2860000 8362.961782
2870000 8344.431233
2880000 8273.384547
2890000 8027.328047
2900000 7933.539373
2910000 7942.271163
2920000 7959.890331
2930000 7945.069018
2940000 7938.575794
2950000 7953.725173
2960000 7971.349333
