files c_tp.fps
10000 24825.415267
20000 24378.322308
30000 24522.546029
40000 24445.081375
50000 24373.24208
60000 24274.093352
70000 24263.633389
80000 22244.188358
90000 19513.811225
100000 21417.770753
110000 23476.452904
120000 25369.95204
130000 22567.93208
140000 24059.443323
150000 25671.247501
160000 27139.974248
170000 24273.095744
180000 25409.932799
190000 26769.110644
200000 28104.824249
210000 24477.926622
220000 25483.795376
230000 26478.544666
240000 27535.91429
250000 24414.844538
260000 25267.122071
270000 26089.734385
280000 27002.563122
290000 24223.709465
300000 24950.676671
310000 25657.961169
320000 26400.915056
330000 23857.110655
340000 24460.361265
350000 25076.474291
360000 25727.941738
370000 23710.305184
380000 24275.63579
390000 24810.260353
400000 25399.521778
410000 23637.393619
420000 24134.805993
430000 24621.239449
440000 25151.579711
450000 23595.068358
460000 24054.133933
470000 24490.779378
480000 24979.298406
490000 23594.275913
500000 23997.410967
510000 24421.136465
520000 24867.203157
530000 23649.458622
540000 24026.306136
550000 24410.860525
560000 24806.550985
570000 23641.90723
580000 23968.441662
590000 24332.10837
600000 24717.172721
610000 23630.473626
620000 23955.463548
630000 24294.345665
640000 24664.651308
650000 23596.959289
660000 23880.609976
670000 24222.619321
680000 24565.346006
690000 23542.21327
700000 23822.394385
710000 24138.038302
720000 24468.805179
730000 23546.948454
740000 23798.423239
750000 24094.742068
760000 24400.83822
770000 23448.923023
780000 23688.50059
790000 23969.322908
800000 24254.687559
810000 23379.386395
820000 23645.966363
830000 23917.308815
840000 24195.21808
850000 23183.050256
860000 23396.189191
870000 23640.494275
880000 23903.603504
890000 23139.547252
900000 23266.46723
910000 23521.88841
920000 23747.070979
930000 22839.125278
940000 23046.724512
950000 23269.091291
960000 23494.735723
970000 22696.022623
980000 22903.88441
990000 23101.217588
1000000 23318.655561
1010000 22560.269873
1020000 22766.59939
1030000 22967.866706
1040000 23190.660746
1050000 22266.963503
1060000 22460.153886
1070000 22668.7716
1080000 22863.483179
1090000 22288.685674
1100000 22468.329868
1110000 22666.634838
1120000 22861.7376
1130000 22209.140012
1140000 22361.253424
1150000 22554.636154
1160000 22744.184704
1170000 22170.544431
1180000 22320.852225
1190000 22502.618719
1200000 22678.027905
1210000 21846.772695
1220000 22001.584006
1230000 22170.280479
1240000 22349.692371
1250000 21847.200366
1260000 21995.238729
1270000 22162.685068
1280000 22335.837181
1290000 21216.618467
1300000 21332.60063
1310000 21460.894883
1320000 21620.230207
1330000 20902.04422
1340000 21019.544537
1350000 21150.224404
1360000 21303.466708
1370000 20636.025814
1380000 20708.301648
1390000 20835.57803
1400000 20978.741612
1410000 20300.237927
1420000 20409.385247
1430000 20513.456698
1440000 20647.838257
1450000 19984.717893
1460000 20092.203397
1470000 20203.522868
1480000 20340.4189
1490000 19553.394434
1500000 19659.292405
1510000 19768.624614
1520000 19895.253063
1530000 19288.455921
1540000 19402.401254
1550000 19521.750858
1560000 19632.62649
1570000 19078.094003
1580000 19186.252734
1590000 19292.65647
1600000 19331.451239
1610000 18861.944764
1620000 18974.962455
1630000 19019.05657
1640000 19115.620926
1650000 18729.632801
1660000 18823.927929
1670000 18802.549396
1680000 18844.669224
1690000 18416.235762
1700000 18509.508541
1710000 18484.458791
1720000 18582.879144
1730000 18282.792228
1740000 18374.169432
1750000 18352.464834
1760000 18445.107611
1770000 18040.112404
1780000 18125.719727
1790000 18155.898309
1800000 18252.660815
1810000 17889.372142
1820000 17974.752978
1830000 17917.969012
1840000 18002.361851
1850000 17645.147649
1860000 17737.854085
1870000 17747.273642
1880000 17841.688139
1890000 17470.569047
1900000 17560.824249
1910000 17519.759881
1920000 17611.253591
1930000 17311.867873
1940000 17394.608154
1950000 17388.419537
1960000 17472.279293
1970000 17125.851309
1980000 17209.158293
1990000 17194.99751
2000000 17281.275668
2010000 16746.948427
2020000 16829.862875
2030000 16816.158867
2040000 16888.661359
2050000 16652.94951
2060000 16734.15432
2070000 16757.450356
2080000 16829.026316
2090000 16583.667527
2100000 16660.34856
2110000 16662.021043
2120000 16731.696668
2130000 16080.657194
2140000 16152.883449
2150000 16191.669117
2160000 16210.505177
2170000 16024.883853
2180000 16090.575829
2190000 16105.796995
2200000 16158.243614
2210000 15972.115144
2220000 16035.985908
2230000 16049.317321
2240000 16099.042922
2250000 15803.67803
2260000 15863.271403
2270000 15888.082499
2280000 15930.971492
2290000 15683.43202
2300000 15707.887492
2310000 15734.052608
2320000 15768.68642
2330000 15548.968339
2340000 15567.549857
2350000 15612.092516
2360000 15632.449115
2370000 15418.409476
2380000 15425.247101
2390000 15463.798994
2400000 15477.745375
2410000 15253.215723
2420000 15293.05181
2430000 15298.546989
2440000 15321.592824
2450000 15020.566927
2460000 15070.080192
2470000 15068.560241
2480000 15083.988224
2490000 14925.17721
2500000 14965.312829
2510000 14971.934363
2520000 14965.647159
2530000 14829.737643
2540000 14876.831549
2550000 14866.147048
2560000 14881.964945
2570000 14694.411278
2580000 14742.096114
2590000 14745.147965
2600000 14751.957188
2610000 14335.782575
2620000 14366.739957
2630000 14365.327618
2640000 14363.082256
2650000 14242.709595
2660000 14285.758018
2670000 14293.13953
2680000 14285.257782
2690000 14106.403691
2700000 14148.244923
2710000 14136.967233
2720000 14113.734722
2730000 13942.895121
2740000 13978.336853
2750000 14001.54796
2760000 13776.117516
2770000 13800.846216
2780000 13820.245505
2790000 13617.564475
2800000 13644.714756
2810000 13671.739472
2820000 13501.237144
2830000 13538.140945
2840000 13551.100537
2850000 13355.171084
2860000 13378.924654
2870000 13394.95323
2880000 13225.902086
2890000 13256.699093
2900000 13265.570967
2910000 13091.873065
2920000 13125.251824
2930000 13149.286938
2940000 12994.634922
2950000 13022.018857
2960000 13053.560775
