files c_tp.fps
10000 96.146889
20000 154.881693
30000 232.215348
40000 258.986845
50000 192.397606
60000 156.956146
70000 182.97737
80000 195.983302
90000 178.054874
100000 183.042499
110000 192.853038
120000 194.220275
130000 187.275533
140000 184.874069
150000 193.402324
160000 199.864955
170000 193.228005
180000 192.636895
190000 188.633044
200000 198.512727
210000 188.276466
220000 193.140678
230000 195.234806
240000 201.175114
250000 196.267341
260000 195.443245
270000 194.723085
280000 198.056007
290000 194.065279
300000 190.254081
310000 193.421011
320000 194.265538
330000 195.074371
340000 191.001909
350000 194.512795
360000 197.291446
370000 197.675943
380000 193.130721
390000 193.731262
400000 198.698638
410000 198.898767
420000 194.759525
430000 195.295212
440000 198.220323
450000 200.524861
460000 197.112289
470000 197.766324
480000 199.567609
490000 195.505418
500000 199.493732
510000 195.801576
520000 199.640371
530000 203.47397
540000 197.63484
550000 199.768794
560000 202.261513
570000 204.25902
580000 198.052011
590000 198.427981
600000 201.790594
610000 200.366619
620000 198.083679
630000 201.275376
640000 202.912442
650000 199.994151
660000 198.092306
670000 201.09092
680000 202.544258
690000 199.192776
700000 197.699481
710000 199.452067
720000 202.260547
730000 200.369536
740000 198.302305
750000 198.4068
760000 201.050802
770000 201.54625
780000 199.17421
790000 200.532988
800000 199.966025
810000 201.162461
820000 199.631763
830000 200.152417
840000 202.495847
850000 203.072234
860000 199.519495
870000 199.726539
880000 200.777161
890000 200.359571
900000 198.287544
910000 199.723029
920000 201.917375
930000 201.067827
940000 199.575667
950000 201.558369
960000 201.776435
970000 202.070388
980000 199.931829
990000 201.019337
1000000 201.93459
1010000 201.022273
1020000 198.696552
1030000 200.643914
1040000 201.416233
1050000 200.185919
1060000 199.082438
1070000 200.959493
1080000 200.995189
1090000 199.677828
1100000 200.874146
1110000 201.904004
1120000 201.497811
1130000 199.276393
1140000 201.039699
1150000 202.802797
1160000 202.850064
1170000 199.537895
1180000 201.243169
1190000 202.943795
1200000 201.938295
1210000 199.810624
1220000 200.799178
1230000 201.633408
1240000 203.272432
1250000 201.174962
1260000 201.290072
1270000 202.106387
1280000 202.190266
1290000 201.63248
1300000 201.9705
1310000 202.832707
1320000 202.928903
1330000 202.979454
1340000 201.636893
1350000 202.546525
1360000 202.339481
1370000 201.451142
1380000 201.612466
1390000 203.072437
1400000 202.46881
1410000 202.177318
1420000 202.806459
1430000 202.903062
1440000 202.41667
1450000 201.834952
1460000 202.516214
1470000 203.195766
1480000 203.277994
1490000 201.417555
1500000 202.109036
1510000 203.456339
1520000 203.617183
1530000 201.425564
1540000 202.741981
1550000 204.057763
1560000 203.374131
1570000 201.753502
1580000 203.038457
1590000 203.218788
1600000 204.496861
1610000 201.542756
1620000 202.794192
1630000 204.04527
1640000 204.555389
1650000 202.183624
1660000 202.816757
1670000 203.928089
1680000 204.127946
1690000 201.934681
1700000 203.129317
1710000 203.861691
1720000 203.957984
1730000 202.312252
1740000 202.964049
1750000 204.113852
1760000 203.697785
1770000 203.369311
1780000 202.841274
1790000 203.425301
1800000 203.881914
1810000 204.402376
1820000 204.560672
1830000 202.62113
1840000 203.252395
1850000 204.356107
1860000 204.477736
1870000 203.143805
1880000 203.662289
1890000 204.744162
1900000 204.480625
1910000 203.16855
1920000 204.232185
1930000 204.894137
1940000 205.0274
1950000 204.696823
1960000 204.284872
1970000 204.811944
1980000 205.438614
1990000 204.069998
2000000 204.693658
2010000 204.755717
2020000 205.774253
2030000 204.415778
2040000 205.079721
2050000 205.617668
2060000 205.331232
2070000 204.858288
2080000 204.916374
2090000 205.899265
2100000 205.333838
2110000 204.384508
2120000 204.977409
2130000 205.944098
2140000 205.21094
2150000 205.382913
2160000 205.374312
2170000 205.763387
2180000 205.9083
2190000 205.092202
2200000 205.638465
2210000 206.090029
2220000 205.615383
2230000 204.870778
2240000 205.333885
2250000 206.250537
2260000 205.961471
2270000 205.416813
2280000 205.443259
2290000 206.343747
2300000 205.164737
2310000 205.595495
2320000 205.873575
2330000 206.303397
2340000 205.378176
2350000 206.255572
2360000 205.215663
2370000 206.071778
2380000 205.904425
2390000 205.901047
2400000 205.930361
2410000 206.355278
2420000 206.015965
2430000 205.849461
2440000 205.885327
2450000 206.728584
2460000 206.379374
2470000 206.132348
2480000 206.240775
2490000 206.393334
2500000 205.853834
2510000 206.677086
2520000 205.620116
2530000 205.097112
2540000 205.017953
2550000 205.824989
2560000 205.937345
2570000 205.938562
2580000 205.912625
2590000 205.827318
2600000 204.434293
2610000 205.220265
2620000 205.559517
2630000 204.778979
2640000 204.428612
2650000 205.202933
2660000 205.659255
2670000 204.990811
2680000 204.25099
2690000 205.012728
2700000 205.774798
2710000 204.771178
2720000 204.538546
2730000 205.289944
2740000 205.649211
2750000 205.47531
2760000 204.418956
2770000 205.159549
2780000 205.615934
2790000 206.355393
2800000 204.328864
2810000 205.05853
2820000 205.7882
2830000 206.51765
2840000 204.591838
2850000 205.312174
2860000 206.032523
2870000 206.385292
2880000 204.81623
2890000 205.527356
2900000 205.902499
2910000 206.320774
2920000 204.885351
2930000 205.287426
2940000 205.37554
2950000 205.172994
2960000 204.905053
