files c_tp.fps
10000 2999.109564
20000 3399.983204
30000 4873.709990
40000 6497.854571
50000 6673.485189
60000 6068.397515
70000 6944.923286
80000 7936.060746
90000 7971.682458
100000 7320.000635
110000 7910.984452
120000 8628.674899
130000 8533.839167
140000 7892.109007
150000 8379.186102
160000 8936.938837
170000 8987.050031
180000 8634.600128
190000 8986.968990
200000 9459.393308
210000 9165.550397
220000 8761.044890
230000 9103.797621
240000 9446.536481
250000 9421.966856
260000 8847.319795
270000 9086.087652
280000 9327.583500
290000 9039.975207
300000 8456.448178
310000 8594.324247
320000 8840.580275
330000 8785.417612
340000 8392.389633
350000 8545.047255
360000 8775.317645
370000 8715.112990
380000 8509.502427
390000 8689.796394
400000 8911.427672
410000 8856.192307
420000 8727.323686
430000 8842.100787
440000 9045.439312
450000 8849.197985
460000 8596.919720
470000 8760.640567
480000 8926.856795
490000 8881.513165
500000 8789.478404
510000 8909.491515
520000 9037.182252
530000 8845.379118
540000 8551.566676
550000 8693.311096
560000 8836.283129
570000 8793.886120
580000 8703.901437
590000 8815.636297
600000 8950.779752
610000 8917.322446
620000 8793.786639
630000 8902.427235
640000 9020.445446
650000 8951.873845
660000 8823.641005
670000 8909.609775
680000 9005.686044
690000 9000.859934
700000 8867.844003
710000 8960.944870
720000 9056.230702
730000 9041.200391
740000 8876.383903
750000 8932.179072
760000 9004.313552
770000 8942.809410
780000 8783.932161
790000 8850.690752
800000 8930.323207
810000 8856.423016
820000 8736.494405
830000 8783.613832
840000 8879.666721
850000 8841.614245
860000 8798.776774
870000 8867.459851
880000 8936.350932
890000 8852.016846
900000 8803.323196
910000 8873.117059
920000 8939.391441
930000 8851.016268
940000 8803.237344
950000 8876.049989
960000 8921.954230
970000 8893.904929
980000 8783.371164
990000 8855.410706
1000000 8902.919574
1010000 8840.131044
1020000 8785.926331
1030000 8871.697740
1040000 8904.379465
1050000 8868.668400
1060000 8849.182662
1070000 8932.436809
1080000 8976.310096
1090000 8928.422743
1100000 8918.309943
1110000 8990.599915
1120000 9022.462508
1130000 9000.256021
1140000 8990.065859
1150000 9057.923998
1160000 9065.790457
1170000 9046.234959
1180000 9047.394955
1190000 9112.352984
1200000 9131.473656
1210000 9117.330993
1220000 9094.175743
1230000 9168.400302
1240000 9196.931301
1250000 9159.129149
1260000 9105.323620
1270000 9177.573834
1280000 9202.419540
1290000 9183.311847
1300000 9147.871865
1310000 9217.916111
1320000 9245.597229
1330000 9214.018901
1340000 9186.424598
1350000 9242.823579
1360000 9272.584243
1370000 9248.533248
1380000 9203.101138
1390000 9258.921764
1400000 9290.347576
1410000 9256.320493
1420000 9199.408457
1430000 9242.412144
1440000 9299.782980
1450000 9255.516449
1460000 9234.783978
1470000 9273.748937
1480000 9330.107251
1490000 9298.548400
1500000 9266.841137
1510000 9316.880693
1520000 9357.830689
1530000 9319.179939
1540000 9299.895475
1550000 9326.623724
1560000 9371.859357
1570000 9336.874590
1580000 9303.674491
1590000 9264.054859
1600000 9322.122355
1610000 9248.085181
1620000 9242.413091
1630000 9252.315713
1640000 9309.015400
1650000 9267.872348
1660000 9240.087469
1670000 9283.193799
1680000 9328.814559
1690000 9248.113590
1700000 9231.035920
1710000 9279.813332
1720000 9333.839278
1730000 9277.829617
1740000 9225.823553
1750000 9273.271123
1760000 9325.993692
1770000 9279.341198
1780000 9239.864532
1790000 9264.292082
1800000 9301.074767
1810000 9261.041067
1820000 9201.960948
1830000 9220.748219
1840000 9271.045178
1850000 9235.488646
1860000 9216.685815
1870000 9242.791932
1880000 9285.047995
1890000 9250.334037
1900000 9207.590051
1910000 9224.080624
1920000 9268.399109
1930000 9245.957040
1940000 9220.495946
1950000 9241.770240
1960000 9281.529493
1970000 9275.881686
1980000 9254.419601
1990000 9283.159421
2000000 9329.704010
2010000 9280.310362
2020000 9277.395513
2030000 9282.037466
2040000 9321.528951
2050000 9311.487113
2060000 9280.519023
2070000 9296.901146
2080000 9336.981106
2090000 9325.336240
2100000 9304.541113
2110000 9301.080407
2120000 9340.191307
2130000 9327.461639
2140000 9312.683447
2150000 9312.027737
2160000 9354.937435
2170000 9327.173387
2180000 9334.689210
2190000 9348.779196
2200000 9391.205820
2210000 9346.512169
2220000 9357.270975
2230000 9362.952677
2240000 9404.634136
2250000 9381.522308
2260000 9379.775190
2270000 9400.671105
2280000 9441.924884
2290000 9411.820563
2300000 9421.646997
2310000 9436.364942
2320000 9469.187318
2330000 9443.225863
2340000 9434.907200
2350000 9441.454329
2360000 9475.456134
