files c_tp.fps
10000 41138.889003
20000 81437.866979
30000 60995.445673
40000 80918.587809
50000 67345.055863
60000 80473.614043
70000 1427.755277
80000 1630.803863
90000 1831.885021
100000 2035.335127
110000 2230.241721
120000 2432.12186
130000 2633.336246
140000 2835.675233
150000 2174.473364
160000 2231.122386
170000 2011.654318
180000 2040.284835
190000 1331.860221
200000 1393.906449
210000 1452.295506
220000 1518.537582
230000 1229.536247
240000 1235.846997
250000 1231.983219
260000 1241.691081
270000 1082.390811
280000 1118.474057
290000 1144.822868
300000 1177.857023
310000 1029.430758
320000 1056.48275
330000 1074.727755
340000 1093.565127
350000 1027.497335
360000 1054.73302
370000 999.97276
380000 1026.25755
390000 949.564352
400000 972.084574
410000 930.53372
420000 951.756969
430000 952.900668
440000 971.555331
450000 894.80284
460000 914.686402
470000 928.523709
480000 893.887305
490000 853.796298
500000 849.251526
510000 865.487239
520000 879.2497
530000 839.3468
540000 824.873949
550000 835.598092
560000 850.787081
570000 838.184474
580000 838.886278
590000 803.817799
600000 816.723474
610000 814.409012
620000 824.322424
630000 811.604853
640000 821.585153
650000 834.384035
660000 816.413228
670000 790.576788
680000 802.15281
690000 813.707852
700000 823.309564
710000 756.077765
720000 766.723453
730000 775.760267
740000 784.915958
750000 780.351098
760000 790.301714
770000 772.820497
780000 781.95691
790000 764.78482
800000 772.921182
810000 775.741347
820000 756.786122
830000 749.77507
840000 758.167453
850000 765.85439
860000 770.796596
870000 738.334843
880000 746.674897
890000 754.826174
900000 757.327128
910000 723.693753
920000 731.62661
930000 739.576882
940000 746.664375
950000 735.905323
960000 723.15616
970000 730.656896
980000 737.947762
990000 739.384271
1000000 723.701797
1010000 714.568156
1020000 721.424822
1030000 727.688145
1040000 720.024764
1050000 720.393598
1060000 724.936561
1070000 728.225731
1080000 711.173235
1090000 717.268238
1100000 723.551759
1110000 729.171321
1120000 705.215765
1130000 707.396272
1140000 711.220887
1150000 716.707662
1160000 711.46846
1170000 695.308711
1180000 700.634623
1190000 706.324646
1200000 709.914337
1210000 710.379017
1220000 714.699569
1230000 706.790534
1240000 710.80608
1250000 714.849892
1260000 713.664076
1270000 719.099783
1280000 708.577755
1290000 713.432724
1300000 718.701591
1310000 724.131668
1320000 722.335707
1330000 710.540794
1340000 714.569695
1350000 719.023036
1360000 708.27674
1370000 705.078499
1380000 707.993913
1390000 711.693281
1400000 708.405419
1410000 710.610325
1420000 695.926104
1430000 700.347627
1440000 704.640738
1450000 699.315604
1460000 691.511661
1470000 695.992244
1480000 700.654464
1490000 697.335413
1500000 684.348066
1510000 688.862701
1520000 693.275151
1530000 696.794462
1540000 685.954292
1550000 689.951978
1560000 680.729467
1570000 684.181362
1580000 687.338679
1590000 691.577539
1600000 694.414821
1610000 684.024183
1620000 685.714826
1630000 689.665536
1640000 691.696289
1650000 680.24913
1660000 680.201805
1670000 683.876589
1680000 686.917336
1690000 681.484571
1700000 675.678195
1710000 679.65054
1720000 682.723161
1730000 676.564924
1740000 680.078544
1750000 673.083663
1760000 676.924006
1770000 673.750127
1780000 677.322928
1790000 677.207875
1800000 673.007377
1810000 671.511488
1820000 675.150798
1830000 678.181413
1840000 681.835405
1850000 673.002744
1860000 673.918555
1870000 673.550403
1880000 676.902876
1890000 666.617584
1900000 669.711756
1910000 672.690088
1920000 676.089656
1930000 669.79916
1940000 668.069075
1950000 671.007488
1960000 666.574629
1970000 669.750323
1980000 663.078575
1990000 666.380111
2000000 660.901579
2010000 664.202382
2020000 656.306602
2030000 659.460741
2040000 653.629723
2050000 656.824718
2060000 658.032344
2070000 657.899807
2080000 656.865956
2090000 650.400256
2100000 651.501198
2110000 654.348836
2120000 656.870015
2130000 648.312443
2140000 650.926936
2150000 653.695254
2160000 650.800023
2170000 653.719894
2180000 649.911822
2190000 651.929935
2200000 651.366609
2210000 651.506988
2220000 647.800241
2230000 645.969879
2240000 646.41492
2250000 648.318362
2260000 650.673169
2270000 638.60045
2280000 641.390672
2290000 644.169164
2300000 641.737058
2310000 639.889551
2320000 642.509289
2330000 638.598601
2340000 640.920712
2350000 631.821981
2360000 634.509831
2370000 637.106155
2380000 638.774092
2390000 630.675242
2400000 633.291262
2410000 635.829232
2420000 637.19578
2430000 631.437235
2440000 633.987143
2450000 636.501886
2460000 636.862153
2470000 631.478356
2480000 633.956403
2490000 636.435921
2500000 635.975049
2510000 630.344979
2520000 632.571857
2530000 635.081059
2540000 634.570076
2550000 626.398535
2560000 628.015908
2570000 630.468399
2580000 627.805054
2590000 622.170515
2600000 624.516534
2610000 626.876499
2620000 628.967057
2630000 622.507542
2640000 624.715048
2650000 626.928254
2660000 629.168103
2670000 623.052097
2680000 625.333007
2690000 627.491625
2700000 629.739873
2710000 623.147224
2720000 624.58228
2730000 622.180917
2740000 624.453571
2750000 621.595898
2760000 623.557553
2770000 619.90881
2780000 618.370114
2790000 614.747662
2800000 611.072518
2810000 612.903087
2820000 609.44271
2830000 603.402579
2840000 604.726039
2850000 601.21844
2860000 603.212119
2870000 594.972971
2880000 597.045713
2890000 598.707869
2900000 590.91899
2910000 592.04893
2920000 593.836634
2930000 589.525384
2940000 590.124344
2950000 583.712499
2960000 585.627609
