files c_tp.fps
10000 2170.410661
20000 4167.488877
30000 6225.842434
40000 8166.548592
50000 7513.050921
60000 8773.655054
70000 9797.440713
80000 11007.936172
90000 9505.900207
100000 10290.254111
110000 10739.371561
120000 11505.664862
130000 10288.225427
140000 10871.732811
150000 11517.038076
160000 12127.645286
170000 11292.243869
180000 11667.535898
190000 12213.435049
200000 12545.65206
210000 11477.258114
220000 11844.487691
230000 12223.195118
240000 12449.366094
250000 11666.178009
260000 11874.179911
270000 12225.333544
280000 12303.303138
290000 11671.54846
300000 11854.079599
310000 12142.167389
320000 12285.348566
330000 11707.996604
340000 11864.195578
350000 12086.854061
360000 12140.4877
370000 11545.35839
380000 11675.698383
390000 11854.959495
400000 11915.386103
410000 10985.502754
420000 11050.51744
430000 11232.814154
440000 11223.050268
450000 10946.097742
460000 10981.023907
470000 11182.105852
480000 11169.281869
490000 10940.252646
500000 10990.414864
510000 11171.595198
520000 11241.26551
530000 11027.836381
540000 11061.03444
550000 11153.731434
560000 11235.74788
570000 10905.326745
580000 10534.310203
590000 10636.786935
600000 10651.400039
610000 10486.3239
620000 10471.848664
630000 10594.434017
640000 10614.032036
650000 10476.090443
660000 10415.941858
670000 10524.070434
680000 10507.232151
690000 10395.26911
700000 10367.961471
710000 10262.784672
720000 10283.515523
730000 10133.937335
740000 10122.022486
750000 10245.848031
760000 10289.016302
770000 10135.281526
780000 10063.349689
790000 10183.024396
800000 10243.927899
810000 10103.759246
820000 10054.713459
830000 10167.702408
840000 10204.513763
850000 10092.596486
860000 9821.078899
870000 9921.605631
880000 9943.265198
890000 9733.054681
900000 9726.562446
910000 9824.492778
920000 9838.858112
930000 9740.189861
940000 9787.986486
950000 9860.879597
960000 9877.749271
970000 9817.912242
980000 9859.650987
990000 9903.314441
1000000 9941.614785
1010000 9827.598335
1020000 9895.324829
1030000 9925.107834
1040000 9945.766691
1050000 9842.945678
1060000 9893.85065
1070000 9911.778961
1080000 9916.276328
1090000 9717.517213
1100000 9755.316011
1110000 9717.118145
1120000 9545.97396
1130000 9450.692704
1140000 9530.405647
1150000 9602.51171
1160000 9463.262591
1170000 9394.31186
1180000 9468.195909
1190000 9547.825802
1200000 9472.865057
1210000 9410.125578
1220000 9482.921402
1230000 9555.892313
1240000 9459.282686
1250000 9326.144781
1260000 9389.811869
1270000 9460.084522
1280000 9343.589753
1290000 9235.791915
1300000 9300.247916
1310000 9352.198817
1320000 9292.166866
1330000 9242.007897
1340000 9310.525631
1350000 9355.342736
1360000 9306.116583
1370000 9274.559587
1380000 9337.369766
1390000 9378.942867
1400000 9293.381458
1410000 9194.093735
1420000 9258.231654
1430000 9305.202401
1440000 9231.263458
1450000 9223.955072
1460000 9273.427289
1470000 9325.095928
1480000 9240.217324
1490000 9255.048074
1500000 9289.759547
1510000 9343.575344
1520000 9276.910254
1530000 9261.581381
1540000 9305.344099
1550000 9360.319283
1560000 9240.689302
1570000 9212.71008
1580000 9256.551566
1590000 9310.096659
1600000 9220.70407
1610000 9179.468414
1620000 9222.599952
1630000 9273.185631
1640000 9218.095456
1650000 9220.395911
1660000 9264.086526
1670000 9318.335575
1680000 9251.131479
1690000 9231.214968
