renames readBW negerr poserr
10000 17122.994469 0 0
20000 34222.139329 0 0
30000 51297.133516 0 0
40000 57865.765890 0 0
50000 37792.637843 0 0
60000 45233.177028 0 0
70000 52708.898542 0 0
80000 52454.407285 0 0
90000 29512.918788 0 0
100000 32136.608868 0 0
110000 34793.797721 0 0
120000 34134.294555 0 0
130000 25644.358902 0 0
140000 27506.095056 0 0
150000 29345.771245 0 0
160000 29934.591048 0 0
170000 24774.656284 0 0
180000 26178.269360 0 0
190000 27421.130694 0 0
200000 27693.355353 0 0
210000 23853.260195 0 0
220000 24851.683459 0 0
230000 25833.965329 0 0
240000 25975.276948 0 0
250000 22728.956736 0 0
260000 23597.541390 0 0
270000 24387.983553 0 0
280000 24496.865014 0 0
290000 22019.144963 0 0
300000 22742.729168 0 0
310000 23355.468039 0 0
320000 23498.756255 0 0
330000 21112.437356 0 0
340000 21685.570957 0 0
350000 22246.307558 0 0
360000 22436.278165 0 0
370000 20790.014949 0 0
380000 21294.993379 0 0
390000 21806.213105 0 0
400000 21985.892203 0 0
410000 20578.079407 0 0
420000 21047.995745 0 0
430000 21503.127630 0 0
440000 21661.208945 0 0
450000 20494.977387 0 0
460000 20935.160894 0 0
470000 21339.002425 0 0
480000 21498.381665 0 0
490000 20462.904304 0 0
500000 20870.548129 0 0
510000 21254.225163 0 0
520000 21329.021152 0 0
530000 20400.045665 0 0
540000 20775.115720 0 0
550000 21110.012836 0 0
560000 21262.703089 0 0
570000 20453.227004 0 0
580000 20782.649498 0 0
590000 21089.559567 0 0
600000 21212.990623 0 0
610000 20128.097854 0 0
620000 20423.634942 0 0
630000 20703.174447 0 0
640000 20760.025844 0 0
650000 19919.777845 0 0
660000 20197.988641 0 0
670000 20471.004823 0 0
680000 20538.978435 0 0
690000 19494.995423 0 0
700000 19758.306794 0 0
710000 19956.633953 0 0
720000 20022.661203 0 0
730000 19292.905499 0 0
740000 19521.533544 0 0
750000 19755.475158 0 0
760000 19864.878054 0 0
770000 19163.146393 0 0
780000 19388.324704 0 0
790000 19620.986130 0 0
800000 19660.661408 0 0
810000 18982.601017 0 0
820000 19202.158285 0 0
830000 19423.666582 0 0
840000 19515.148006 0 0
850000 18900.996027 0 0
860000 19098.473439 0 0
870000 19312.937584 0 0
880000 19295.990184 0 0
890000 18717.497670 0 0
900000 18917.485962 0 0
910000 19125.689090 0 0
920000 19150.470555 0 0
930000 18456.846484 0 0
940000 18646.241230 0 0
950000 18843.210544 0 0
960000 18947.487965 0 0
970000 18309.071894 0 0
980000 18486.096239 0 0
990000 18656.991365 0 0
1000000 18690.057598 0 0
1010000 18083.122420 0 0
1020000 18241.414280 0 0
1030000 18414.618289 0 0
1040000 18442.721102 0 0
1050000 17832.157215 0 0
1060000 17965.062157 0 0
1070000 18122.957526 0 0
1080000 18094.430308 0 0
1090000 17458.014996 0 0
1100000 17588.515122 0 0
1110000 17746.446542 0 0
1120000 17728.734470 0 0
1130000 17221.464004 0 0
1140000 17346.345953 0 0
1150000 17493.191840 0 0
1160000 17492.694312 0 0
1170000 16978.994053 0 0
1180000 17111.376850 0 0
1190000 17254.461402 0 0
1200000 17282.956243 0 0
1210000 16810.137485 0 0
1220000 16927.351581 0 0
1230000 17062.790918 0 0
1240000 17038.566121 0 0
1250000 16576.602889 0 0
1260000 16690.180393 0 0
1270000 16819.266414 0 0
1280000 16823.158181 0 0
1290000 16465.675442 0 0
1300000 16583.834030 0 0
1310000 16701.188831 0 0
1320000 16647.027588 0 0
1330000 16273.078207 0 0
1340000 16380.161546 0 0
1350000 16501.113844 0 0
1360000 16528.056029 0 0
1370000 16129.456098 0 0
1380000 16238.987819 0 0
1390000 16353.352319 0 0
1400000 16329.735620 0 0
1410000 15905.696053 0 0
1420000 16014.606404 0 0
1430000 16124.763179 0 0
1440000 16118.611670 0 0
1450000 15735.687334 0 0
1460000 15841.212203 0 0
1470000 15904.180063 0 0
1480000 15946.926903 0 0
1490000 15516.052127 0 0
1500000 15620.156450 0 0
1510000 15716.652609 0 0
1520000 15720.622366 0 0
1530000 15222.652031 0 0
1540000 15314.971889 0 0
