#files c_throughput i_throughput
10000 15089.465441 15089.465441
20000 29887.056812 29887.056812
30000 44774.38189 44774.38189
40000 49512.119948 49512.119948
50000 34491.536122 50831.2820782949
60000 41373.546582 51215.3400195828
70000 47753.14625 50260.9801387596
80000 48611.414932 47742.8949612311
90000 35370.754281 36534.8853343894
100000 39103.91043 36130.855117423
110000 42776.190306 36177.7485144911
120000 43701.502713 36357.1251344068
130000 34843.588471 33713.0547053694
140000 37338.540815 33551.7552598974
150000 39792.442619 33387.9783234476
160000 40218.699232 32458.3640335133
170000 31513.99926 24046.1349152611
180000 33164.165382 23836.9362857291
190000 34800.306682 23666.3704423729
200000 34171.094671 21337.3049167029
210000 26253.764133 15358.4764383369
220000 27369.062982 15321.3969447506
230000 28485.949491 15299.6786301914
240000 28297.475323 15218.2564294502
250000 24212.212097 17193.0978304998
260000 25072.933306 17156.5210866748
270000 25972.47687 17230.5062669404
280000 25943.053145 17304.42110533
290000 22989.236519 17473.1165206706
300000 23704.572754 17497.5219109558
310000 24415.775773 17383.0738401567
320000 24425.720772 17330.4668729939
330000 21943.523223 16501.6025116748
340000 22569.367116 16605.2204343779
350000 23160.567849 16561.8919955466
360000 23170.696072 16420.8870409016
370000 21245.625267 16829.746911327
380000 21785.425711 16819.535217907
390000 22302.416884 16842.0910807545
400000 22403.215309 17258.3847686126
410000 21019.509796 19135.6613141048
420000 21499.973279 19119.9653558841
430000 21994.257146 19383.0003356897
440000 22098.275451 19450.7497361715
450000 20660.341235 17581.0883740847
460000 21088.430759 17559.2625120205
470000 21523.96249 17501.1047568987
480000 21559.04891 16996.851755565
490000 20109.8515 15472.0503219568
500000 20482.294122 15393.9701802822
510000 20874.172697 15408.4510721751
520000 20953.649761 15672.4704427295
530000 19983.835716 18559.1768626706
540000 20329.411765 18594.5149913429
550000 20698.56373 18693.4581280019
560000 20803.689624 19032.9093346236
570000 19988.422145 20049.3916827793
580000 20304.951667 19980.4092043979
590000 20647.24638 19966.5859241033
600000 20720.867945 19626.9505493199
610000 19651.869389 15849.1415305054
620000 19936.743286 15785.9550778893
630000 20256.068863 15831.8593219411
640000 20215.83691 14803.6736792729
650000 19051.041257 12993.06235645
660000 19325.895772 13103.1116608816
