#files c_throughput i_throughput
10000 13328.126479 13328.126479
20000 26545.231083 26545.231083
30000 39816.789678 39816.789678
40000 46317.525162 46317.525162
50000 26261.731772 34673.5227769342
60000 31338.334932 34448.3993127044
70000 36526.268388 34394.4597411061
80000 37765.81231 31879.7749931479
90000 25589.816845 24796.7749312739
100000 28396.36095 24891.2563244067
110000 31045.102325 24588.1031695872
120000 32720.10405 25820.5779675515
130000 25315.001378 24717.7388718671
140000 27137.236689 24429.1965538684
150000 29024.784651 24618.9448940279
160000 30141.891068 24378.9909160031
170000 24762.678856 23123.0580246614
180000 26160.634727 23234.1467612681
190000 27564.495479 23189.3737002603
200000 28218.499794 22480.4728983927
210000 24301.404066 22518.6426216932
220000 25351.121678 22252.5103619703
230000 26502.801 22403.9054474371
240000 27175.214574 22935.4115899487
250000 24243.073075 23941.3723644705
260000 25207.42316 24445.3204028907
270000 26146.001013 24267.4417721923
280000 26672.664206 24008.7103606804
290000 24067.354733 23024.3257771829
300000 24880.096594 22943.5548343524
310000 25673.502941 22882.2610419215
320000 26145.958999 22970.7364286202
330000 23758.790392 21738.1971066599
340000 24468.766879 21769.4894136616
350000 25123.669468 21547.31250758
360000 25568.786535 21731.0757677694
370000 23606.672011 22422.291347467
380000 24223.316025 22320.183019159
390000 24792.177979 22226.1488458362
400000 25170.291178 22074.0318840309
410000 23378.887952 21463.2000046025
420000 23947.444255 21609.4619248316
430000 24461.923026 21650.0358320214
440000 24824.332585 21824.6022191051
450000 23189.011624 21406.9389504706
460000 23704.110452 21418.8832009076
470000 24172.628777 21446.1227801749
480000 24511.854086 21530.6459165501
490000 22943.737741 20503.9144548049
500000 23406.336292 20451.779821854
510000 23835.996009 20484.1217345051
520000 24110.609461 20152.0776523964
530000 21569.962826 12443.16584147
540000 21961.257414 12395.3407158995
550000 22359.545062 12493.0312298655
560000 22601.973039 12463.6645221212
570000 21275.621307 18017.8475758759
580000 21631.676622 17987.4312836642
590000 21972.223014 17745.5282427864
600000 22194.266489 17719.4139721092
610000 21037.794398 18147.1077173852
620000 21346.65438 17922.4879226999
630000 21673.009806 18047.8701644996
640000 21826.70341 17483.4955796433
650000 20706.21773 16693.7801448767
660000 21005.336406 16833.4369338295
670000 21318.269611 16948.9442767425
680000 21527.143132 17651.1056003118
690000 20395.278227 16394.6319045114
700000 20650.152956 16145.5228269409
710000 20940.144043 16143.8481371526
720000 21018.687014 14996.9781053412
730000 20014.480614 15138.7160578206
740000 20273.367734 15366.6777370481
750000 20531.629029 15250.6443408478
760000 20658.868397 15792.5303712325
770000 19887.000513 17816.0387010417
780000 20115.503738 17582.6339847827
790000 20356.492167 17549.6171557507
800000 20488.331703 17710.5563753689
810000 19678.777723 16377.7830459055
820000 19836.980661 15619.6612567281
830000 20076.291844 15785.0829403257
840000 20230.952215 16168.6585070368
850000 19486.456225 16267.1257282983
860000 19691.784194 17122.5546821525
870000 19918.035681 17118.0848365975
880000 20063.024343 17084.9270385462
890000 19321.716987 16379.2182170654
900000 19518.443563 16412.2898498539
910000 19729.398508 16359.5434989784
920000 19840.451714 15948.1366675939
930000 19111.46563 15386.2191004587
940000 19300.821975 15429.9854780475
950000 19432.522081 14476.7243242083
960000 19552.58512 14660.3114223077
970000 18736.678125 12869.0688033069
980000 18918.443766 12908.5891090459
990000 19097.600196 13550.7965186037
1000000 19240.531951 13911.8434296191
1010000 18557.495383 15064.0296555119
1020000 18730.658873 15066.6397529595
1030000 18895.842192 14979.1864152823
1040000 19005.850385 14564.6374998796
1050000 18074.890261 10910.5063039835
1060000 18198.983601 10557.3265527131
1070000 18332.534355 10371.2008368951
1080000 18328.129106 9510.6191952422
1090000 17621.541918 10625.6685869704
1100000 17759.853171 10832.9510200962
1110000 17915.583224 11138.7878965967
1120000 18008.789383 12247.2624396793
1130000 17408.805321 13099.4084563048
1140000 17483.673355 12246.4974998091
1150000 17635.720363 12302.6614665664
1160000 17609.125 10860.4666214232
1170000 17008.343203 10309.0445417196
1180000 17126.674882 10826.3715253023
1190000 17262.012442 10726.9176183919
1200000 17306.164539 11545.6209274918
1210000 16709.515988 11037.3509478019
1220000 16842.319403 11305.1578581099
1230000 16949.766817 11019.6814337298
1240000 17064.899727 12032.5396099033
1250000 16367.620207 10110.0248756218
1260000 16496.208032 10140.4168866014
1270000 16611.237018 10290.9773832923
1280000 16668.107546 9686.1962896545
1290000 16203.060268 12329.3388232323
1300000 16262.90197 11250.6725848258
1310000 16377.245525 11316.1823359988
1320000 16479.693721 12102.0871564426
1330000 16019.867912 11739.4384631177
1340000 16104.277069 12228.0183056975
1350000 16180.060923 11604.3070627547
1360000 16288.111006 11771.9491006348
1370000 15871.869296 12142.0854885978
1380000 15914.694653 11413.5544422043
1390000 16025.881776 12126.0992989886
1400000 16124.623994 12021.95449417
1410000 15638.995202 10408.5079020299
1420000 15675.076592 10316.3109994076
1430000 15783.211694 10341.5236552247
1440000 15840.859208 9802.8884172884
1450000 15411.374272 10185.6124148953
1460000 15514.883843 11384.6040933262
1470000 15579.955745 10668.3679137581
1480000 15635.861575 10666.5471981261
1490000 15241.009822 10880.8067550686
1500000 15340.618177 10880.0727570269
1510000 15419.391099 11183.6838839277
1520000 15490.961936 11535.5920708913
1530000 15036.379193 10023.3820468319
1540000 15125.706654 9916.2252483173
1550000 15164.054624 9331.043501631
1560000 15239.993706 9432.8143079856
1570000 14823.758727 9620.3798020554
1580000 14888.408364 9282.0281627885
1590000 14964.433635 9909.5088378044
1600000 15002.111875 9325.3048593599
1610000 14616.754728 9441.7361082248
1620000 14706.928366 9927.1914971724
1630000 14746.944824 9347.0261026647
1640000 14792.093651 9482.2951359776
1650000 14482.351517 10570.2518883418
1660000 14564.968349 10471.3878535522
1670000 14612.793735 10660.8444217312
1680000 14652.927617 10574.1303510127
1690000 14132.128511 7074.7725604453
1700000 14206.392832 7026.9883789344
1710000 14250.833793 7005.7913462567
1720000 14307.378556 7187.9951772398
1730000 14055.401844 11432.8701812382
1740000 14136.296763 11685.7855876038
1750000 14167.708951 11339.9738124988
1760000 14229.249574 11523.4124068067
1770000 13889.924966 9203.5606860965
1780000 13965.077233 9146.1873885554
1790000 13957.853552 8469.3905746284
1800000 14025.968707 8612.3408855129
1810000 13607.872742 7167.5031067655
1820000 13672.30606 7073.3901423788
1830000 13664.4205 7040.7214188903
1840000 13738.277012 7144.1481867465
1850000 13536.316521 10934.5096645839
1860000 13587.909788 10608.4109345514
1870000 13585.79262 10754.5933381979
1880000 13642.486296 10329.4500805468
1890000 13380.021159 8722.1960972146
1900000 13447.762753 9088.7484386742
1910000 13440.304459 8956.3902334449
1920000 13498.021759 9012.514538784
1930000 13242.726462 8918.6196130031
1940000 13310.053547 8954.4694438434
1950000 13303.382303 8949.7691842563
1960000 13346.701462 8677.358045422
1970000 13077.43419 8161.949400887
1980000 13142.68798 8163.8850947061
1990000 13147.664265 8370.971316352
2000000 13182.629947 8227.0145943332
2010000 12842.229442 6810.0071003302
2020000 12881.408954 6492.4198549599
2030000 12904.578562 6721.7570624775
2040000 12909.184853 6336.9107360336
2050000 12725.807741 8742.9954798889
2060000 12780.605404 9160.4892453119
2070000 12806.251371 9235.1047646809
2080000 12835.259366 9933.9837093171
2090000 12605.113225 8482.1976772688
2100000 12656.549844 8438.3343309668
2110000 12678.713832 8366.6972739313
2120000 12700.921539 8224.6632454751
2130000 12445.440838 7488.8402236051
2140000 12491.085145 7407.1467996485
2150000 12512.383841 7394.9441950151
2160000 12514.222762 7034.0974445683
2170000 12300.963049 7601.7576098671
2180000 12339.540688 7482.7125818748
2190000 12383.151746 7962.6836752479
2200000 12325.007098 6785.0948357792
2210000 12135.23255 7010.9031827103
2220000 12167.327655 6910.8488477892
2230000 12205.365621 6833.7157092933
2240000 12207.596057 8010.5306548026
2250000 11999.771716 7422.2298592117
2260000 12047.272238 7784.3849834278
2270000 12055.442033 7155.4123447813
2280000 12049.871373 6991.3838056172
2290000 11880.799082 7627.1673009732
2300000 11891.73965 6876.1201733822
2310000 11908.8706 7046.7818120672
2320000 11915.195099 7278.3898787031
2330000 11743.825473 7074.4459715759
2340000 11744.990006 6870.1147980567
2350000 11730.938632 6297.3065424301
2360000 11704.850103 5783.3044898841
2370000 11586.262883 6503.5870624312
2380000 11568.907077 6163.3709427152
2390000 11577.42335 6545.2672365715
2400000 11581.678684 7145.3758922859
2410000 11444.24876 6629.6049525817
2420000 11447.03616 7036.562321263
2430000 11460.26347 7141.9031914448
2440000 11469.908387 7263.8640230764
2450000 11343.570608 7413.9261836353
2460000 11338.47603 7204.6901188473
2470000 11352.831692 7233.4627345693
2480000 11361.248804 7200.3234422344
2490000 11211.805229 6550.9731942739
2500000 11211.049144 6629.1885510128
2510000 11219.724952 6507.9973361156
2520000 11228.019448 6501.262638951
2530000 11093.012206 6684.3065507616
2540000 11084.247085 6493.7752924526
2550000 11090.263252 6432.6542074995
2560000 11094.106888 6334.5002385078
2570000 10958.042466 6192.4930449265
2580000 10945.863317 6105.525157542
2590000 10963.525734 6342.7116223942
2600000 10953.724302 6052.3061505292
2610000 10790.758928 5447.5970368688
2620000 10781.381399 5474.9161298612
2630000 10791.344206 5350.4741103988
2640000 10796.229755 5580.6545477063
2650000 10653.646908 5824.5468878366
2660000 10628.920456 5517.9507197374
2670000 10647.69846 5678.1322291683
2680000 10646.900045 5565.8740703113
2690000 10494.964081 5282.4157679366
2700000 10477.138023 5373.9135362376
2710000 10493.040644 5327.6505190541
2720000 10497.746481 5415.0889018157
2730000 10336.142407 5122.7271047523
2740000 10341.512485 5519.0615422017
2750000 10344.549522 5281.1813090516
2760000 10339.937509 5113.1606415642
2770000 10209.95467 5569.4009296023
2780000 10198.376359 5235.0278780735
2790000 10196.501122 5139.5430910875
2800000 10204.566907 5361.3747425336
2810000 10076.010808 5279.5801633526
2820000 10068.161956 5334.4464499469
2830000 10071.188427 5422.7464785386
2840000 10078.519045 5405.0540888489
2850000 9899.453474 4437.3092487145
2860000 9910.630268 4712.4370830709
2870000 9906.717177 4596.2123882108
2880000 9920.424144 4693.3285175449
2890000 9768.042948 5020.0399933078
2900000 9769.289931 4837.0091105394
2910000 9783.02317 5160.1997063035
2920000 9782.434732 4887.5682231522
2930000 9676.278389 5764.0027135752
2940000 9675.608188 5707.5410370608
2950000 9678.857223 5454.061511141
2960000 9699.122855 5980.8263765143
2970000 9572.086697 5351.3094606664
2980000 9566.224555 5224.8064324666
2990000 9569.633881 5222.8887443747
3000000 9591.899066 5275.8692657915
3010000 9468.929043 5259.9707596199
3020000 9459.661415 5169.5128608772
3030000 9461.915747 5138.4240053343
3040000 9490.260087 5287.8626493061
3050000 9338.105471 4578.264061066
3060000 9331.338086 4609.9312434307
3070000 9332.732942 4587.8930826408
3080000 9357.316646 4532.180397524
3090000 9224.693306 4789.4027621043
3100000 9212.168158 4659.7253051434
3110000 9208.524042 4555.3780109713
3120000 9234.975407 4602.0058842382
3130000 9112.427256 4696.7755970285
3140000 9101.670169 4716.8787855325
3150000 9103.765447 4830.8537060323
3160000 9124.473293 4719.5936097468
3170000 9010.903483 4814.0251665394
3180000 8997.430139 4737.8623713043
3190000 9007.621933 4917.7179591029
3200000 9019.183267 4718.1217022343
3210000 8906.79534 4649.5608664854
3220000 8889.501841 4550.2276208844
3230000 8893.807939 4429.9261138059
3240000 8911.521513 4558.4211860232
3250000 8794.080083 4363.0916859807
3260000 8767.34643 4162.6497090746
3270000 8784.377824 4406.3898808718
3280000 8790.747766 4190.5488708262
3290000 8683.500162 4295.2185234415
3300000 8679.10413 4767.9845222988
3310000 8694.99278 4746.5806515141
3320000 8706.279673 4869.5087339253
