# files c_throughput i_throughput
10000 14889.970563 14889.970563
20000 29663.028002 29663.028002
30000 43566.02431 43566.02431
40000 50942.629684 50942.629684
50000 33320.382811 48251.4867471358
60000 39833.733994 48075.7096267156
70000 46165.920318 48329.02399594
80000 47810.63165 45041.4437581664
90000 34702.902666 36601.2114992838
100000 38516.394696 36696.0357276877
110000 42118.128332 36515.2743395866
120000 42676.07437 35130.492213149
130000 31491.302102 26064.0484893338
140000 33248.438986 24776.5925623357
150000 34749.716326 23462.0618448629
160000 36186.176067 24849.3816862774
170000 28961.863699 22966.5423408397
180000 30408.697969 23410.5001947222
190000 31799.796515 24121.1024082277
200000 32601.261147 23348.747396853
210000 27547.52637 22812.8077960365
220000 28228.402161 21342.3255667064
230000 29324.29805 21408.1877761924
240000 30177.280205 21998.9209542355
250000 26639.524188 22709.6856224905
260000 26896.720524 21355.6913168158
270000 27905.848973 21833.2745645191
280000 28130.649991 19994.4715285378
290000 25766.719847 21387.2177174782
300000 26388.826338 23503.9445531141
310000 27149.745296 22952.0462894663
320000 27332.542056 22803.7170036908
330000 25611.024723 24536.1441890616
340000 26295.056676 25612.4742943132
350000 26902.326951 25127.6484512667
360000 27154.315941 25808.033397975
370000 25701.03926 26468.5233081999
380000 26284.479271 26194.9137367987
390000 26807.025503 26001.0738494747
400000 27083.804197 26465.3010165858
410000 25557.759133 24304.4373796455
420000 26048.553511 24001.8961454098
430000 26546.585553 24249.5521349435
440000 26739.69358 23725.2989935535
450000 25543.939749 25403.1479639833
460000 26001.264905 25514.9067694213
470000 26463.418603 25601.2124784405
480000 26663.144169 25849.1443939032
490000 25666.190864 27126.7361001843
500000 26092.442288 27188.8743187414
510000 26461.790834 26442.6795372922
520000 26631.649462 26259.4353448962
530000 25558.664175 24311.0107651513
540000 25949.873494 24290.8144801449
550000 26254.500916 23870.3790659112
560000 26438.296439 24158.1634966072
570000 25399.753123 23466.5352499432
580000 25724.41391 23023.9016888743
590000 25980.261694 22717.4758171952
600000 26133.627772 22503.1363715951
610000 25121.656771 21731.1584121771
620000 25419.673688 21693.3621631744
630000 25621.930681 21290.6045149017
640000 25760.459844 21216.1973008174
650000 24838.332073 21193.2768529008
660000 25110.928478 21132.4901464652
670000 25353.255998 21759.529997114
680000 25474.984839 21638.2889514225
690000 24524.290955 20344.4208774553
700000 24780.115416 20355.4157350385
710000 24986.021025 20107.5452002991
720000 24947.695597 18454.1936897091
730000 24201.973091 19729.1191942438
740000 24436.725228 19667.2884811139
750000 24627.779031 19631.6416868352
760000 24627.576761 20006.6622118792
770000 23779.786576 18037.4204284224
780000 23980.054497 17819.4197756281
790000 24086.646558 17058.7332194981
800000 24187.977106 18062.2134935389
810000 23276.494146 16538.4044483426
820000 23515.024079 17062.7281419451
830000 23706.501854 18073.0839431473
840000 23665.578332 16526.8290361975
850000 22833.407779 16480.5667333476
860000 23043.063789 16325.8442613183
870000 23200.64405 16080.615339555
880000 23199.151375 16408.0215510527
890000 22399.052817 15951.0812256701
900000 22589.813144 15875.9075539774
910000 22664.446248 15082.7685737617
920000 22766.094317 16138.4680545572
930000 21954.310907 15227.2012616917
940000 22108.186836 14940.877084217
950000 22231.937709 15501.9172026798
960000 22213.030552 14250.5764327878
970000 21485.747883 14360.0532033626
980000 21669.026232 14772.9144484548
990000 21838.356369 15374.1845975346
1000000 21891.293005 16244.4068495772
1010000 21260.394491 16949.3823672092
1020000 21399.231105 16397.3403565783
1030000 21463.539583 15064.3530256853
1040000 21542.586306 15407.0919598295
1050000 20848.217057 13996.5603398328
1060000 20998.270456 14209.1674707835
1070000 21069.132036 14301.8600654682
1080000 21165.91917 14550.9839236503
1090000 20560.923109 15099.0972660629
1100000 20742.879059 15686.895825937
1110000 20874.443607 16737.2840627265
1120000 21017.793401 17677.5421822346
1130000 20322.059686 15435.5765426425
1140000 20490.080303 15346.656027563
1150000 20618.948193 15391.2987559
1160000 20740.383413 15143.7539830738
1170000 19722.964498 10761.0453384024
1180000 19886.135024 10807.4604934586
1190000 19939.006746 10235.2338209124
1200000 20030.797351 10054.7607399189
1210000 19348.889713 12444.8653580789
1220000 19499.788547 12395.5827118201
1230000 19593.100368 12923.2735578611
1240000 19702.055037 13201.9867639426
1250000 19039.246421 12828.8556829763
1260000 19175.751331 12725.8642070236
1270000 19277.076247 12885.937857583
1280000 19381.319805 12880.8837009038
1290000 18735.967632 12509.1121128232
1300000 18874.240413 12622.4456055208
1310000 18978.737063 12725.6658237332
1320000 19062.765006 12492.3289382653
1330000 18415.58611 11869.774324609
1340000 18546.566741 11856.6823642815
1350000 18595.829212 11197.2365286158
1360000 18705.236461 11554.1017932867
1370000 18115.820816 11754.0788143213
1380000 18243.889953 11795.2555923847
1390000 18272.06017 11509.1188088933
1400000 18360.728217 11290.5492939956
1410000 17813.635489 11336.7662964213
1420000 17938.90406 11377.1985038303
1430000 18028.347774 12318.6957521516
1440000 18118.824155 12400.5745297637
1450000 17528.06149 11199.3244623384
1460000 17641.263718 11102.0321075771
1470000 17723.619113 11047.755298826
1480000 17772.208725 10524.2912397105
1490000 17278.697859 11399.7236112178
1500000 17379.016124 11266.1013722935
1510000 17475.530467 11539.4756842434
1520000 17523.785974 11550.1449558754
1530000 17119.773167 12751.064474271
1540000 17208.61224 12582.2169260407
1550000 17295.470268 12452.1060821821
1560000 17375.185522 13140.7469358894
1570000 16911.160579 11534.8369419711
