#files c_throughput i_throughput
10000 1755.372977 1755.372977
20000 3224.409554 3224.409554
30000 3017.516381 3017.516381
40000 4019.732061 4019.732061
50000 3294.981289 4220.3895891928
60000 3949.295261 4449.438691551
70000 3573.05267 4145.4471594867
80000 3955.863443 3893.9926698854
90000 3565.237649 3972.5236413809
100000 3955.83547 3965.6865004348
110000 3651.879113 3798.53050117
120000 3983.789694 4040.8420010878
130000 3762.10214 4295.8140529184
140000 3956.093913 3956.7401682646
150000 3299.546708 2607.6790529292
160000 3519.111094 2606.8898152161
170000 3248.205386 2249.5362166505
180000 3318.632651 2121.929912469
190000 3106.21623 2546.6552006888
200000 3247.782309 2482.24342701
210000 3047.464079 2413.5406382795
220000 3149.596109 2562.2925357442
230000 3053.182672 2824.1485317835
240000 3145.517209 2717.6542049649
250000 2978.324978 2661.3360107829
260000 3015.883697 2444.9885226661
270000 2917.887879 2325.3844128377
280000 3011.263664 2397.3397693524
290000 2843.826743 2217.8516964743
300000 2862.426051 2151.0025293737
310000 2773.936373 2080.9639616844
320000 2837.592227 2021.4837236288
330000 2719.215826 2063.6377419606
340000 2710.008178 1936.6075695719
350000 2696.990477 2219.7884716728
360000 2716.69468 2026.1057654331
370000 2670.562319 2327.0583960165
380000 2643.423498 2186.7361103586
390000 2612.615274 2051.1317388198
400000 2618.688693 1976.8476503173
410000 2573.190351 1924.2168355863
420000 2538.342249 1842.5246697527
430000 2528.6525 1925.3600513924
440000 2510.990033 1779.2421374539
450000 2448.144678 1634.1612944918
460000 2424.047031 1645.8890975991
470000 2421.246535 1662.2448845722
480000 2452.273458 1950.5489968969
490000 2374.312716 1772.8260782877
500000 2334.861013 1640.6746920965
510000 2301.031685 1453.2336338122
520000 2307.799439 1351.9844984666
530000 2283.465819 1554.7378483138
540000 2253.934111 1572.5999631059
550000 2212.556907 1484.7002604839
560000 2227.532173 1533.9532539569
570000 2220.69217 1627.7759156844
580000 2176.356452 1485.9189813845
590000 2128.556646 1398.5057477042
600000 2152.674291 1463.9258109
610000 2120.454231 1290.4273113938
620000 2082.787469 1282.9751049541
630000 2059.204751 1390.8100889703
640000 2056.378628 1230.6307967394
650000 2046.666342 1337.1032996521
660000 2017.046568 1354.4129233678
670000 1994.207274 1332.0124216154
680000 2002.981361 1415.0680857411
690000 1983.00102 1317.1831733813
700000 1943.95853 1216.5857463923
710000 1930.029457 1254.0390668479
720000 1932.148152 1206.6980545702
730000 1920.508168 1244.1575549449
740000 1873.860323 1148.8734373515
750000 1868.492331 1193.2068947926
760000 1866.092502 1155.2047643243
770000 1847.273563 1089.2418524086
780000 1793.687972 1001.2129421691
790000 1800.632526 1071.1920077359
800000 1803.852136 1104.1426549238
810000 1795.247131 1164.115795083
820000 1734.80655 1057.7270961598
830000 1744.677548 1081.1426788606
840000 1757.145689 1157.6526339607
