#files c_throughput i_throughput
10000 50.099771 50.099771
20000 86.043538 86.043538
30000 129.064892 129.064892
40000 151.182626 151.182626
50000 102.504155 138.8005027761
60000 108.742645 125.2658024593
70000 120.011093 114.0126697677
80000 130.048465 114.0983927815
90000 115.763271 138.0912413612
100000 117.85515 134.7991659421
110000 118.522518 116.0044807925
120000 129.29704 127.8199429709
130000 114.924351 113.0805243399
140000 116.040258 111.7385086607
150000 117.411027 114.4592160341
160000 118.509025 94.7838878218
170000 111.548112 101.8259479464
180000 115.584041 114.0151478111
190000 119.359501 127.2804788031
200000 117.92266 115.6340988256
210000 112.358622 115.9388788118
220000 117.706586 128.3096362605
230000 120.678124 127.3614924039
240000 116.951638 112.326915893
250000 111.897629 109.5381685319
260000 114.426166 99.2178481432
270000 116.901492 99.0735334576
280000 117.637403 121.9270373939
290000 113.779395 127.1427790665
300000 114.681148 116.3666373709
310000 118.50383 130.5856789705
320000 116.186809 106.9547501154
330000 115.336265 128.0380834595
340000 117.245937 140.875542791
350000 117.627026 111.2478655567
360000 113.661946 96.8284618673
370000 114.027945 104.2699372677
380000 115.777034 104.6343799543
390000 116.261993 105.5448027676
400000 112.889786 106.3852525522
410000 113.312044 107.0927176843
420000 116.075707 118.9918882017
430000 116.440419 118.2092091185
440000 111.475385 99.0636567053
450000 112.971777 109.5983475652
460000 115.481881 109.5948372113
470000 117.990717 137.6990999848
480000 112.29146 122.1259472885
490000 113.684307 122.3669049684
500000 115.034892 110.1326265527
510000 116.369345 100.1920483099
520000 112.118273 110.0809403848
530000 113.395403 109.9718989255
540000 114.624362 109.7294107579
550000 116.746935 121.7852676014
560000 112.016782 110.7139250555
570000 114.016564 122.939683311
580000 115.168703 123.0579889467
590000 116.309153 110.6062650486
600000 112.670038 122.6867707381
610000 113.834769 111.3057821247
620000 115.700669 124.0060646761
630000 115.252457 101.6329130797
640000 114.143694 142.0034916772
650000 113.7497 112.4679742381
660000 115.499627 112.4704744088
670000 115.02245 111.5172447792
680000 113.999732 111.7447501047
690000 114.284074 123.7295031258
700000 114.607224 101.6484174785
710000 116.244254 141.4032376931
720000 112.636448 93.6065060382
730000 113.560049 102.3723767657
740000 115.115532 124.8022199842
750000 116.671023 124.8039737297
760000 113.302745 126.8047038678
770000 114.202589 127.3532471754
780000 115.081311 114.4518723575
790000 116.556563 114.4512696313
800000 112.989021 107.3418617332
810000 114.363894 117.5603103062
820000 113.743237 92.7206400656
830000 115.128134 92.6926965205
840000 113.933492 136.8043390555
850000 114.629084 120.2768307267
860000 114.949497 146.8824528492
870000 114.665672 105.8434744935
880000 114.958385 141.732555972
890000 115.355902 133.3190284367
900000 116.13819 149.3415215168
910000 116.419915 174.4767098475
920000 116.202242 152.5046646846
930000 115.960721 131.2750436608
940000 116.2119 117.8954692756
950000 116.016582 107.5405944053
960000 116.325275 119.2287352149
970000 115.987101 116.6038375474
980000 116.665432 128.4453892649
990000 115.87855 112.694170785
1000000 116.547998 122.1615365335
1010000 115.802897 111.5084344067
1020000 116.466194 111.7888991943
1030000 115.684604 111.0830881442
1040000 116.3566 111.767899879
1050000 115.637854 111.6210095547
1060000 116.286872 111.8936873562
1070000 116.132882 129.0051852175
1080000 117.193576 144.1536418921
1090000 116.044951 127.860790148
1100000 117.109426 144.1253617174
1110000 116.036784 113.5239124929
1120000 117.082009 114.1479830208
1130000 116.468631 129.3362596082
1140000 117.064597 115.845108822
1150000 116.343905 125.5664419807
1160000 116.942839 113.1760774346
1170000 116.28129 111.2270847991
1180000 116.850393 111.0587771329
1190000 116.149267 110.8191509554
1200000 117.125243 122.6742080021
1210000 116.16628 112.9000572831
1220000 117.126297 125.8954982347
1230000 116.137148 115.7777609461
1240000 117.081313 115.7785658886
1250000 116.082556 113.6057299742
1260000 117.010623 113.5891124298
1270000 116.505458 129.094581302
1280000 117.134665 118.8130396873
1290000 116.624416 136.5419868248
1300000 117.183691 122.9102002048
1310000 116.638502 121.0265713405
1320000 117.151851 117.7044782965
1330000 116.914239 127.1006413573
1340000 117.067187 113.4029678105
1350000 116.875674 125.2141399924
1360000 117.062096 114.1754328837
1370000 116.884693 115.9107208412
1380000 117.40667 130.0395739294
1390000 116.82565 115.1620932731
1400000 117.307094 126.293948305
1410000 116.728934 111.6338428187
1420000 117.235614 111.6248066582
1430000 116.726791 113.3923982225
1440000 117.198993 113.5370540404
1450000 116.965496 125.9640382536
1460000 117.090359 112.1571790368
1470000 116.866307 122.0828673636
1480000 117.017047 110.8233168906
1490000 116.817294 111.6873988896
1500000 117.262465 123.9102177466
1510000 116.737624 112.1974531224
1520000 117.199196 124.3617201913
1530000 116.704617 112.6568814084
1540000 117.172642 113.9008420669
1550000 116.652688 113.5343360133
1560000 117.294888 121.0506826482
1570000 117.059177 132.450932693
1580000 117.510718 132.1954245502
1590000 116.974927 130.9971512652
1600000 117.405232 121.8767513539
1610000 117.221089 123.9502454103
1620000 117.34318 111.0871780285
1630000 117.177061 125.8194006949
1640000 117.345555 115.0072310896
1650000 117.215124 116.9755356902
1660000 117.357512 117.9409147354
1670000 117.212741 118.6854170295
1680000 117.636353 130.9403495844
1690000 117.161154 114.9773926485
1700000 117.564241 126.8364378524
1710000 117.088973 112.1450669899
1720000 117.49847 111.9855650078
1730000 117.05917 112.906807668
1740000 117.451941 112.8697721333
1750000 117.289526 126.5564032128
1760000 117.408691 113.6738545014
1770000 117.252826 126.2888334462
1780000 117.635361 126.2090186434
1790000 117.172208 112.2596557461
1800000 117.55255 124.2512452002
