#files c_throughput i_throughput
10000 3090.662737 3090.662737
20000 6180.740935 6180.740935
40000 12355.620711 12355.620711
30000 9270.887929 9270.887929
50000 7470.055163 11567.9185745996
60000 8963.367167 11567.1960113346
70000 10456.79774 11571.3386038572
80000 11948.821406 11563.0831229132
90000 8893.524941 11674.2953345091
100000 9879.527071 11668.5127215267
110000 10866.833476 11667.4746400475
120000 11853.218045 11666.5286120234
130000 9503.927864 11239.6395112298
140000 10149.432266 10893.4449506392
150000 10786.446269 10571.3916453634
160000 11504.619428 10571.8750056634
170000 10198.775331 13377.4208511314
180000 10701.648214 13218.927916894
190000 11200.438869 13083.5252298848
200000 11789.265697 13084.1757391429
210000 10387.730448 11275.5779435873
220000 10783.20739 11166.1540514791
230000 11175.03121 11055.9022333106
240000 11658.334439 11045.0067454169
250000 10285.594338 9780.7139482312
260000 10694.220243 10229.9043106703
270000 11048.29903 10371.9565081711
280000 11456.920057 10380.8554154785
290000 10634.064142 13490.6614313248
300000 10950.73636 12973.4498297226
310000 11314.703589 13514.303377801
320000 11608.355419 12791.923699604
330000 10758.030381 11751.20236857
340000 11082.96003 12186.5504951551
350000 11286.463702 11072.2934908421
360000 11607.368009 11599.4747721227
370000 10881.721161 12022.0701102014
380000 11128.492059 11531.1658669456
390000 11374.79805 12211.0409827569
400000 11604.076791 11574.5396041445
410000 10989.646627 12099.6966620904
420000 11256.814192 12641.6297049643
430000 11424.023984 11927.2888626158
440000 11644.972216 12070.3593309176
450000 10934.631292 10400.9325497585
460000 11177.590777 10408.4374923014
470000 11344.638209 10556.0783735147
480000 11555.13788 10651.2833697029
490000 11098.786676 13354.1702865229
500000 11324.65869 13343.6924889645
510000 11471.823481 13212.273677653
520000 11656.584991 13029.2523031958
530000 11188.752846 12422.2560869592
540000 11363.245393 11868.7529513866
550000 11535.384414 12412.2184574304
560000 11625.182928 11231.8314591394
570000 11228.088091 11776.6661332201
580000 11358.575522 11295.9058630525
590000 11554.234726 11819.8175233653
600000 11616.435072 11495.3330418275
610000 11297.344857 12386.0330021625
620000 11452.984547 13022.4441772997
630000 11606.473347 12435.780857379
640000 11685.086837 12821.7086920284
650000 11250.176563 10576.7418031489
660000 11422.755219 10973.8044366422
670000 11564.435247 10940.3355101356
680000 11628.623624 10794.0974528237
690000 11342.694037 13092.2697365707
700000 11481.961142 12555.7553978667
710000 11618.339447 12602.263416967
720000 11638.024465 11800.1967224081
730000 11377.725154 12017.9885181356
740000 11512.029822 12064.9492346474
750000 11637.829986 11995.0028883621
760000 11675.739997 12399.0100603975
770000 11403.563984 11896.6290042131
780000 11433.309426 10149.3656886651
790000 11579.619928 10586.755024174
800000 11668.652623 11535.6086968513
810000 11454.684392 12536.5204565509
820000 11572.637295 15179.8105281585
830000 11690.964646 14431.6439501551
840000 11733.514126 13201.1109904825
850000 11442.397999 11199.1488554408
860000 11555.43102 11213.6443224277
870000 11670.0292 11251.9321754232
880000 11739.883406 11875.2540342073
890000 11528.548929 13724.3538949526
900000 11606.349158 12820.9853832593
910000 11711.237083 12685.4976661538
920000 11749.025741 11953.8223807128
930000 11535.633162 11695.5405404924
940000 11625.335712 12069.5835478219
950000 11726.999838 12097.4278263962
960000 11784.960995 12676.7334599482
970000 11575.987935 12600.8778783936
980000 11601.139701 11060.1759457452
990000 11692.343545 10925.5109608934
1000000 11759.693071 11184.1779702063
1010000 11575.267893 11557.8342571913
1020000 11657.352157 13227.6444585506
1030000 11735.177468 12905.2948149777
