#files c_throughput i_throughput
10000 45010.98268 45010.98268
20000 88635.98089 88635.98089
30000 65071.122737 65071.122737
40000 86510.241731 86510.241731
50000 72478.99921 85527.2864114711
60000 86654.612047 85696.7790861538
70000 75628.990104 86107.2422639736
80000 86028.350643 85551.7984060701
90000 78381.645457 87265.1748679788
100000 86670.584177 86694.5534149562
110000 92502.192722 151750.825145345
120000 91327.745597 104160.427889219
130000 73792.359653 65202.6498369542
140000 63029.901385 37475.1492913907
150000 36579.878872 13738.8397688377
160000 36164.738521 12860.7025158857
170000 29594.631882 10043.7278802602
180000 28751.706334 9902.6323673185
190000 23950.296328 10437.1032756933
200000 22755.937451 9164.3992417608
210000 21862.618015 10359.6025225164
220000 20398.280128 8840.3162619816
230000 18024.143262 8285.7489681691
240000 18115.192699 8969.3479261895
250000 16950.960262 7777.576857528
260000 17122.572727 9092.1261960369
270000 13725.034987 5787.5235164811
280000 13733.302695 5602.3609468786
290000 12125.762386 4363.1944905393
300000 12372.065624 4413.2866404342
310000 11000.536791 4701.2574225453
320000 9951.965904 3399.6098611694
330000 9744.8477 4020.8978129498
340000 9698.675557 3700.9078046756
350000 9843.127545 5421.9930394654
360000 9263.056922 5961.5992514206
370000 9325.576571 6882.5706124237
380000 9398.234042 7439.3760607858
390000 9360.237151 6548.9954096729
400000 4445.004663 782.4022553537
410000 4554.27975 794.4486944031
420000 4573.547661 778.2206696687
430000 2811.775044 359.5095308023
440000 2875.980736 634.8941102852
450000 2940.515566 634.8281718533
460000 3000.705087 650.7782092967
470000 3060.260873 61221.0551901266
480000 3118.139565 42253.9532043103
490000 3181.200389 40180.0469784527
500000 3243.258678 46049.5812931794
510000 3268.359982 16260.9228583713
520000 3305.909059 11918.3936306797
530000 3365.586896 11606.5091582375
540000 3419.232885 10626.3488552346
550000 3427.112764 9002.1539741101
560000 3466.34637 9391.2476036817
570000 3519.42477 8924.5154797863
580000 3573.231733 9116.0049957209
590000 3575.209919 8809.9304060599
600000 3607.836278 8418.791040403
610000 3663.977313 8834.9720065707
620000 3715.568954 8796.2758883597
630000 3707.09466 8131.5174988298
640000 3737.118736 8080.3771632012
650000 3786.196203 7706.3688620585
660000 3834.668433 7621.1655427893
670000 3825.83399 7720.8019345682
680000 3852.135507 7589.363808986
690000 3903.278479 7845.883326125
700000 3951.002445 7910.9871908493
710000 3930.234855 7239.076080068
720000 3958.471456 7458.6121370042
730000 4004.082453 7220.928285516
740000 4049.660018 7192.7413754303
750000 3971.643714 4885.2521549776
760000 3197.816975 717.1833657271
770000 3204.301321 689.797092158
780000 3233.608837 683.9340522504
790000 3081.169691 592.088711933
800000 3113.727916 2076.3451358317
810000 2389.395544 405.2854285793
820000 2418.582847 408.893607393
830000 2411.358344 455.5383107017
840000 2430.745809 451.2319859941
850000 2453.748146 5397.4186338965
860000 2481.726485 5339.4331270703
870000 2301.645385 1183.9179906194
880000 2328.005868 1233.3128908281
890000 2354.404231 1265.5772417866
900000 2379.349442 1260.9663085143
910000 2405.641743 139383.01266258
920000 2430.71155 82631.9999673876
930000 2456.983035 80314.663355122
940000 2460.498406 10577.0718818709
950000 2485.647206 10212.4651922045
960000 2510.526349 10256.5732089573
970000 2533.714811 9250.4885935109
980000 2533.706597 8423.3633264933
990000 2558.421722 8397.9045517265
1000000 2584.076582 8704.1616458629
1010000 2607.02427 8737.833015084
1020000 2600.592837 7362.2184179175
1030000 2624.008689 7178.9144300159
1040000 2649.410519 7201.0906880633
1050000 2670.859764 6996.7341532533
1060000 2649.163546 5058.1458462083
1070000 2670.208351 4884.8363056081
1080000 2691.204679 4562.5017420353
1090000 2705.670628 4112.7831913149
1100000 2351.002809 590.3261786742
1110000 2370.876086 592.9125892605
1120000 2391.000147 595.9834640136
1130000 2409.923156 605.7209438618
1140000 2135.418429 606.3567007529
1150000 2153.003819 606.4639966256
1160000 2170.429581 605.7560392667
1170000 2183.892421 598.3898275119
1180000 1988.638631 672.0708547228
1190000 2004.931106 673.410423322
1200000 2021.521863 676.1808590329
1210000 2037.822134 689.292951193
1220000 2054.410372 84459.1271610144
1230000 2070.694315 85643.0073545552
1240000 2086.317468 54312.1019174066
1250000 2086.634034 7576.1192017988
1260000 2103.285616 7665.2359591947
1270000 2119.403293 7660.4784837689
1280000 2128.441034 5689.5299378791
1290000 2122.370992 4566.2657513779
1300000 2136.789871 4288.8373019514
1310000 2151.131744 4099.832116662
1320000 1968.75844 578.9198414176
1330000 1967.307625 586.1659645886
1340000 1982.073409 591.0998072337
1350000 1994.890079 590.4298368073
1360000 2005.385551 5194.458476325
1370000 1975.250905 2281.5528701781
1380000 1989.620941 2280.5365869216
1390000 2001.954449 2273.6992633661
1400000 2008.702292 2128.3883221968
1410000 1838.952822 546.7622429348
1420000 1851.560922 545.5460731922
1430000 1863.161221 546.5133252978
1440000 1772.759952 346.8448928743
1450000 1784.573491 873.775301466
1460000 1796.364356 872.7483581648
1470000 1808.454779 882.3033429281
1480000 1820.453612 57847.8552921504
1490000 1832.518752 70240.9866651642
1500000 1839.948785 16081.2291885554
1510000 1848.573862 10006.817103505
1520000 1856.486761 6936.4943711651
1530000 1865.460824 5646.4187574413
1540000 1873.024759 5747.616759548
1550000 1881.351283 5689.9012140896
1560000 1888.920424 5619.7327487513
1570000 1897.1478 5416.0863095072
1580000 1904.209335 5304.183020733
1590000 1916.253381 6816.3734876201
1600000 1924.483401 7241.9410099824
1610000 1930.521382 6236.8323128296
1620000 1936.591344 5899.1480615842
1630000 1940.508696 3905.5649048337
1640000 1947.267423 3698.9443578577
1650000 1947.257743 2990.9093786207
1660000 1934.070014 1837.1970755103
1670000 1714.719062 298.6533483599
1680000 1722.087985 299.9533542853
1690000 1725.808879 303.2473932266
1700000 1729.254798 320.5416361683
1710000 1671.589156 815.3586484337
1720000 1681.196405 841.7325832738
1730000 1690.637122 908.4321482175
1740000 1698.056813 961.1163038436
1750000 1704.136506 10166.732139597
1760000 1710.600454 6899.4757417134
1770000 1716.860425 5215.9858212538
1780000 1723.22559 4850.8987474587
1790000 1729.117358 4820.9018286222
1800000 1733.964516 4345.4437400064
1810000 1739.238695 4109.4684410012
1820000 1744.348636 3837.7351323514
1830000 1748.443804 3498.1005491908
1840000 1749.545393 2937.2347501216
1850000 1738.808809 1719.576378713
1860000 1679.599803 624.6364482598
1870000 1685.247724 635.0806106984
1880000 1690.169976 659.9311454207
1890000 1644.17463 467.4744626719
1900000 1650.652746 916.3145325421
1910000 1654.651048 894.9990467427
1920000 1605.784355 479.8280334331
1930000 1613.97246 864.0365664423
1940000 1622.169641 891.4764163786
1950000 1630.248704 956.6041866027
1960000 1637.612138 33691.5563685894
1970000 1643.621173 14462.5970313264
1980000 1648.95481 8279.0961365218
1990000 1654.356485 5927.5732463845
2000000 1659.551258 4830.6508899405
2010000 1662.574299 3847.818027163
2020000 1665.443269 3297.6939705949
2030000 1668.117504 2845.7571454844
2040000 1660.079821 1686.9442002415
2050000 1595.900699 529.2927190844
2060000 1603.197094 555.2304333031
2070000 1610.259056 583.3727813158
2080000 1614.754114 674.9318622395
2090000 1618.967473 6244.9435441436
2100000 1612.602484 2310.7566460266
2110000 1615.331998 1929.9820177844
2120000 1569.3406 637.3077220139
2130000 1576.156744 661.78949347
2140000 1583.136373 808.0108913183
2150000 1589.737906 865.9664411925
2160000 1596.362331 18261.2223261624
2170000 1599.786983 7933.1215079373
2180000 1599.61743 3610.5120809426
2190000 1585.341712 1380.1926653215
2200000 1558.673875 685.1663416519
2210000 1562.815409 693.4337272865
2220000 1568.337791 759.2218071532
2230000 1572.461794 1088.3521189305
2240000 1577.669104 4784.7791866328
2250000 1551.127296 1097.5928564172
2260000 1557.441108 1124.0115921497
2270000 1564.024357 1203.8915546528
2280000 1570.104681 1237.7626399115
2290000 1574.770027 11041.6244959259
2300000 1575.074716 4371.593984663
2310000 1511.753702 521.9026901404
2320000 1517.789944 523.5205842957
2330000 1521.248948 516.4246133159
2340000 1527.221738 555.9739049231
2350000 1518.65542 2062.4104010427
2360000 1524.824961 2085.4654747162
2370000 1517.80064 1340.7672874538
2380000 1506.376715 837.5900053087
2390000 1512.477281 1220.7196428667
2400000 1518.765807 1230.3211495429
2410000 1498.481458 854.2454193784
2420000 1504.661533 1409.1922155536
2430000 1506.501423 1218.7786931527
2440000 1512.131448 1198.1118396011
2450000 1514.89006 4452.2427221096
2460000 1520.565946 4217.8266923289
2470000 1522.343118 4214.913253144
2480000 1526.725108 3712.0783614355
2490000 1492.071863 776.0759635169
2500000 1498.031046 783.7208133521
2510000 1502.990151 842.0093169317
2520000 1508.747266 872.0696569834
2530000 1505.662251 3477.2633765274
2540000 1508.941776 2769.7742473189
2550000 1495.817597 1151.1115918153
2560000 1497.673352 1024.1146820149
2570000 1501.257351 1266.8395286555
2580000 1505.340693 1307.2385313014
2590000 1455.398878 534.5624083148
2600000 1459.517071 554.83755325
2610000 1464.997554 574.0974808524
2620000 1469.1403 575.8863197021
2630000 1472.912116 6669.4559564065
2640000 1449.336615 997.2114607172
2650000 1454.487955 990.7345797286
2660000 1459.107231 1008.1488332253
2670000 1463.461969 1029.2664737094
2680000 1465.444435 5499.2479798193
2690000 1455.613641 1534.2816405483
2700000 1460.922264 1592.6705291168
2710000 1463.549612 1469.423613848
2720000 1467.125812 1589.2990769635
2730000 1406.04806 427.3764704045
2740000 1411.109263 427.4088303178
2750000 1416.109552 443.0777589799
2760000 1419.938937 445.5310801157
2770000 1423.381802 8973.8216718342
2780000 1427.745715 7420.3091212617
2790000 1432.081282 6376.2431186023
2800000 1436.807448 7969.0850680134
2810000 1440.614643 8915.1184509944
2820000 1445.506403 10672.4480075581
2830000 1449.174017 8652.1674782471
2840000 1454.192893 9504.7553386494
2850000 1457.911061 9312.2112131163
2860000 1462.839555 9460.2345852045
2870000 1466.376974 9157.0773557425
2880000 1471.219126 8720.6348381879
2890000 1474.741604 8309.8272679342
2900000 1479.42189 7807.1303793941
2910000 1483.10086 8162.4381593067
2920000 1487.858016 8011.7590700893
2930000 1491.241359 7781.0641980548
2940000 1496.069818 8123.8462676939
2950000 1499.411965 7500.9086661525
2960000 1504.153141 7502.0519514745
2970000 1507.525621 7533.3115316304
2980000 1512.025034 6995.5620046618
2990000 1514.816535 6251.5227154593
3000000 1519.509364 6214.3026811351
3010000 1522.245132 5535.0044851064
3020000 1526.829292 5643.0213229598
3030000 1529.504019 5557.1296396598
3040000 1534.148409 5529.5493251978
3050000 1536.733846 5415.3965473001
3060000 1541.293135 5412.2401297939
3070000 1543.480148 5014.2261663792
3080000 1547.911044 4864.3648361611
3090000 1549.599949 4285.3168565033
3100000 1554.371158 4429.7958886422
3110000 1554.796216 3555.4028108057
3120000 1558.221427 3198.8742695707
3130000 1530.207598 778.0429392593
3140000 1535.068974 782.2425447249
3150000 1476.702528 301.0486174421
3160000 1481.365583 305.6140000819
3170000 1485.514398 452.1467530436
3180000 1489.916255 450.2605305592
3190000 1492.982149 11324.5511936061
3200000 1497.411921 10379.8026182802
3210000 1500.460577 7404.4378347407
3220000 1504.750802 7218.8374626809
3230000 1507.797806 7228.2371201802
3240000 1512.034031 6910.3779016227
3250000 1514.857693 6586.6033682403
3260000 1519.172978 6649.8117639713
3270000 1521.485282 5699.1247742182
3280000 1525.572191 5552.4263865731
3290000 1528.193212 5366.900558405
3300000 1532.335425 5214.3988370234
3310000 1535.081603 5696.7892472859
3320000 1539.130813 5674.8495049777
3330000 1541.863912 5835.5461780393
3340000 1545.713363 5525.5353588124
3350000 1548.198191 5285.0687286974
3360000 1551.990751 5063.4586395446
3370000 1554.155469 4620.7754719801
3380000 1557.933964 4584.3339316124
3390000 1560.181801 4435.5488848052
3400000 1564.069867 4517.4365368241
3410000 1564.372787 3506.5854903691
3420000 1567.422358 3229.3766438886
3430000 1512.336475 420.2117710412
3440000 1516.70999 424.3980209678
3450000 1520.99223 452.136692128
3460000 1525.366395 463.063615617
3470000 1529.174003 33751.8676372707
3480000 1533.138686 22392.9022983267
3490000 1537.189957 18864.6643423969
3500000 1540.462933 10704.3309405989
3510000 1544.290487 10841.5183814823
3520000 1547.516393 8405.0324915039
3530000 1551.459046 8161.4982944404
3540000 1554.843258 8487.9872699244
3550000 1558.7782 8817.8100780898
3560000 1562.056428 9020.0307689064
3570000 1566.030764 9150.9885418886
3580000 1569.395199 9139.3098098984
3590000 1573.23071 8881.4140671999
3600000 1576.51423 8944.7744361528
3610000 1580.381792 8677.8168241398
3620000 1583.742303 8711.0464087496
3630000 1587.572695 8731.7838638935
3640000 1590.822755 8685.6482816387
3650000 1594.558786 8374.6891820144
3660000 1597.525742 7522.3316361832
3670000 1601.175751 7199.139860083
3680000 1604.096498 6664.2786434135
3690000 1607.836586 6694.675843399
3700000 1610.646485 6481.5954356066
3710000 1614.341457 6573.4951565766
3720000 1617.127322 6400.8879668051
3730000 1620.784029 6303.1820084257
3740000 1623.344658 5995.9672853752
3750000 1627.015678 5985.6750490829
3760000 1629.498537 5647.4114209012
3770000 1632.818074 5307.6532723641
3780000 1635.06351 5030.5357419022
3790000 1638.803789 5109.1401652873
3800000 1640.118208 4233.7782082884
3810000 1642.510379 3728.4197136375
3820000 1561.286621 296.5968231443
3830000 1565.330294 298.2726402137
3840000 1569.303827 307.6006666501
3850000 1573.350422 314.0031063196
3860000 1577.324486 83000.1009914752
3870000 1581.111838 45623.5635865092
3880000 1584.278678 18875.2647304131
3890000 1587.946812 14831.8679940065
3900000 1590.820349 9125.3811909646
3910000 1594.478557 8757.2369737516
3920000 1597.366133 8039.1008124
3930000 1600.90706 7760.8204743709
3940000 1603.841943 7943.0441409796
3950000 1607.499204 7967.1770210377
3960000 1610.481034 8242.4856348816
3970000 1614.080356 8427.0505248506
3980000 1616.970752 8348.076546191
