#files c_throughput i_throughput
10000 4547.929032 4547.929032
20000 8895.281631 8895.281631
30000 13133.942573 13133.942573
40000 16696.030811 16696.030811
50000 10432.931172 15421.9007973249
60000 12489.280035 15651.0626888935
70000 14510.857646 15749.1723820095
80000 16219.495184 15769.4071127128
90000 12617.871954 17092.3882035616
100000 13779.825399 16307.4542193736
110000 15104.319355 16268.6871290542
120000 16225.225602 16236.6985940788
130000 13492.808644 15987.0696558004
140000 14483.775482 16604.3863810196
150000 15508.312869 16739.5744864148
160000 16436.166552 17103.2338363656
170000 14020.972406 16064.6957467668
180000 14831.066734 16189.756899086
190000 15653.9882 16225.5349390449
200000 16277.627305 15672.918725263
210000 14130.713813 14616.9393497356
220000 14799.453281 14658.844707171
230000 15442.812579 14512.8507630252
240000 16036.621228 14931.2620660729
250000 14307.797349 15315.4308714344
260000 14878.391751 15328.0607366053
270000 15424.388334 15319.2962609049
280000 15929.98 15318.774113297
290000 14141.649195 13184.7326052583
300000 14624.46352 13164.1043851813
310000 14961.506216 12441.319738067
320000 15260.796763 11793.0091044279
330000 4949.796316 866.5021699309
340000 5030.295249 849.6737454484
350000 5085.403836 831.5215345036
360000 5197.457548 828.2281007861
370000 3289.246174 873.0122873226
380000 3356.557828 876.7939642734
390000 3442.599955 899.643729678
400000 3528.097548 906.8050388651
410000 2764.580577 1116.7939176727
420000 2809.367724 1102.274148197
430000 2869.824737 1094.4372690433
440000 2935.817857 1095.9652368024
450000 2422.876659 1068.8030746172
460000 2423.216053 991.8042500664
470000 2470.878567 990.5695791138
480000 2521.674661 988.2244178701
490000 2216.532479 1131.9779305407
500000 2215.736839 1116.4390996429
510000 2259.019294 1125.304261023
520000 2301.035103 1122.4743217344
530000 1890.279221 674.3560798601
540000 1835.326455 583.370855954
550000 1862.388746 575.0599108182
560000 1883.056223 560.1955543365
570000 1560.742385 471.5370895732
580000 1541.846218 488.1214428904
590000 1535.82714 450.2569508123
600000 1516.83697 407.4519333014
610000 1251.148567 326.9544651397
620000 1219.097999 302.1140573827
630000 1178.920806 266.2597791577
640000 1162.125558 257.8066411747
650000 1071.894553 336.5560788816
660000 1088.171148 408.3736780551
670000 1093.766623 511.6720146474
680000 1108.625551 638.3953716167
690000 1101.222012 1982.7777420581
700000 1115.253311 1892.3393466613
710000 1102.755685 1278.7930165572
720000 1115.812141 1254.0052048014
730000 1098.979406 1061.6834086026
740000 1111.81351 1054.8759021254
750000 952.862388 279.2116456691
760000 944.046219 250.3513996148
770000 953.23751 278.7051798839
780000 952.291417 260.5901302819
790000 894.63408 416.9251541204
800000 902.318394 490.4384714941
810000 902.661741 446.5650945873
820000 901.960752 444.1805806332
830000 857.254492 469.67850722
840000 864.219731 468.5485010183
850000 854.526127 410.857987474
860000 849.310343 386.6385013418
870000 855.259748 815.8671221416
880000 861.550696 809.0772738297
890000 867.036705 1258.5957027368
900000 876.150091 2733.1775517753
910000 885.256709 3732.8794325426
920000 894.285238 5449.238718503
930000 903.245436 12756.4068710514
940000 910.710539 8097.4125486906
950000 919.750523 8099.8363852098
960000 928.701805 8086.5664595523
970000 937.662559 8218.9364610013
980000 946.702581 13285.1238797907
990000 955.249812 11463.5163844705
1000000 964.19583 11652.6516871739
1010000 973.110792 11691.6395100051
1020000 980.821852 8381.8638580677
1030000 989.777764 9390.7116691277
1040000 998.719644 9524.7947001227
1050000 1007.543646 9456.404110158
1060000 1016.255014 12898.7301919913
1070000 1024.174407 9741.150066533
1080000 1033.02918 9671.7916515526
1090000 1041.793229 9674.9184807508
1100000 1050.528201 9883.8034672082
1110000 1057.332898 7893.6843506978
1120000 1066.065652 7808.0139673977
1130000 1074.717294 7742.3011640805
1140000 1083.35556 7701.5001644202
1150000 1092.077444 12393.1283042439
1160000 1100.778679 12470.6818959067
1170000 1109.375797 12469.492639988
1180000 1117.828012 12003.1425690686
1190000 1126.510514 12046.1832764857
1200000 1135.167698 12073.4596524059
1210000 1143.761478 12248.3311035801
1220000 1152.358 12986.1310710267
1230000 1160.66975 11856.9712931793
1240000 1157.149017 2761.1530800022
1250000 1164.070492 2514.8928401736
1260000 1163.897975 1675.7196071641
1270000 1166.577724 1383.0562802222
1280000 1152.863555 1034.1369357402
1290000 1152.014312 870.3291384831
1300000 1145.427302 763.6719115088
1310000 1151.952209 823.9687407618
1320000 1135.840022 771.3570644804
1330000 1120.975202 599.7975455578
1340000 1114.578074 594.3444985418
1350000 1120.704301 593.4745625366
1360000 1122.317219 805.7511161953
1370000 1113.427929 909.7638721535
1380000 1112.01128 1032.3661742148
1390000 1113.022797 903.9203311483
1400000 1118.551122 1004.002566839
1410000 1106.311159 907.6174065345
1420000 1106.528372 945.6646806847
1430000 1106.220097 912.429983733
1440000 1112.976301 947.6664807442
1450000 1099.285001 898.2026054155
1460000 1098.272364 868.2874169436
1470000 1098.055325 868.8087943309
1480000 1103.176583 837.6570802476
1490000 1089.600203 825.8515438542
1500000 1090.82657 874.4425808854
1510000 1091.675489 899.5926615329
1520000 1095.771712 877.7720040409
1530000 1089.662158 1091.975011705
1540000 1088.619886 1011.85970215
1550000 1090.372431 1043.3591073835
1560000 1094.783578 1058.5112982136
1570000 1085.908579 959.4862242984
1580000 1086.569739 1013.113676286
1590000 1087.229427 977.9907287819
1600000 1092.471789 1009.3479785636
1610000 1085.275698 1061.004802286
1620000 1085.205529 1033.9298081235
1630000 1086.116061 1043.6343261288
